"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",19900102,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",930,934,950,966,990,1010
"2",19900103,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",916,920,935,969,988,1000
"3",19900104,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",935,928,940,NA,972,988
"4",19900105,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",947,943,955,974,997,1013
"5",19900108,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",942,943,953,967,1004,1020
"6",19900109,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",944,943,955,970,996,1011
"7",19900110,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",966,962,972,991,1013,1029
"8",19900111,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",992,991,1000,1012,1035,1048
"9",19900112,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",1001,994,1002,1020,1039,1057
"10",19900115,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",983,976,988,1008,1031,1050
"11",19900116,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",963,957,967,988,1005,1025
"12",19900117,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",960,959,970,985,1006,1023
"13",19900118,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",944,945,963,978,1005,1026
"14",19900119,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",936,934,951,970,997,1015
"15",19900122,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",941,938,958,972,998,1016
"16",19900123,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",963,958,972,NA,1003,1018
"17",19900124,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",967,964,980,995,1016,NA
"18",19900125,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",966,966,982,997,1020,1039
"19",19900126,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",984,978,994,1006,1032,1053
"20",19900129,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",984,976,988,1002,1025,1044
"21",19900130,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",979,973,988,NA,1026,1047
"22",19900131,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",966,961,976,993,1019,1034
"23",19900201,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",965,964,980,998,NA,1034
"24",19900202,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",960,959,970,988,1011,1027
"25",19900206,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",968,969,978,998,1025,1038
"26",19900207,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",946,945,959,975,1005,1018
"27",19900208,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",944,945,958,972,1000,1018
"28",19900209,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",964,965,972,989,1014,NA
"29",19900212,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",965,969,983,999,1026,1045
"30",19900213,"CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01",963,974,986,1002,1022,1052
"31",19900214,"CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01",974,987,1005,1030,1053,NA
"32",19900215,"CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01",979,988,1007,1032,1052,1065
