"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900102","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"2","19900103","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"3","19900104","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"4","19900105","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"5","19900108","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"6","19900109","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"7","19900110","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"8","19900111","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"9","19900112","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"10","19900115","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"11","19900116","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"12","19900117","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"13","19900118","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"14","19900119","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"15","19900122","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"16","19900123","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"17","19900124","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"18","19900125","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"19","19900126","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"20","19900129","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"21","19900130","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"22","19900131","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"23","19900201","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"24","19900202","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"25","19900206","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"26","19900207","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"27","19900208","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"28","19900209","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"29","19900212","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"30","19900213","CCAH90.b01","CCAH90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01"
"31","19900214","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"32","19900215","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"33","19900216","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"34","19900220","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"35","19900221","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"36","19900222","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"37","19900223","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"38","19900226","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"39","19900227","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"40","19900228","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"41","19900301","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
