"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900102","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"2","19900103","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"3","19900104","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"4","19900105","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"5","19900108","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"6","19900109","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"7","19900110","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"8","19900111","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"9","19900112","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"10","19900115","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"11","19900116","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"12","19900117","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"13","19900118","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"14","19900119","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"15","19900122","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"16","19900123","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"17","19900124","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"18","19900125","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"19","19900126","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"20","19900129","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"21","19900131","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"22","19900201","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"23","19900202","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"24","19900205","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"25","19900206","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"26","19900207","KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01"
"27","19900208","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"28","19900209","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"29","19900212","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"30","19900213","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"31","19900214","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"32","19900215","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"33","19900216","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"34","19900220","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"35","19900221","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"36","19900222","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"37","19900223","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"38","19900226","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"39","19900227","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"40","19900228","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"41","19900301","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"42","19900302","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"43","19900305","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"44","19900306","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"45","19900307","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"46","19900308","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"47","19900309","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"48","19900312","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"49","19900313","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"50","19900314","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"51","19900315","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"52","19900316","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"53","19900319","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"54","19900320","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"55","19900321","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"56","19900322","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"57","19900323","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
"58","19900326","KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01"
