"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"1","19900102","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"2","19900103","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"3","19900104","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"4","19900105","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"5","19900108","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"6","19900109","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"7","19900110","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"8","19900111","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"9","19900112","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"10","19900115","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"11","19900116","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"12","19900117","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"13","19900118","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"14","19900119","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"15","19900122","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"16","19900123","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
"17","19900124","CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01"
