"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value"
"1",19900102,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",68.42,68.8,68.7,63.5,NA
"2",19900103,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",68.62,69.05,69,63.95,NA
"3",19900104,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",67.35,67.9,67.8,63.15,63.82
"4",19900105,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.95,67.45,67.38,63.1,63.82
"5",19900108,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66,67,66.8,63.2,NA
"6",19900109,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.88,67.6,67.55,63.65,NA
"7",19900110,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",65.51,66.45,66.55,63.5,NA
"8",19900111,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.54,67.55,67.63,64.25,NA
"9",19900112,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.4,67.5,67.65,64.46,NA
"10",19900115,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",65.95,66.95,67.2,63.91,NA
"11",19900116,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66,66.95,67.15,63.9,NA
"12",19900117,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.75,67.53,67.8,64.4,NA
"13",19900118,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.25,67.3,67.35,64.02,NA
"14",19900119,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",67,67.96,68.25,64.33,NA
"15",19900122,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.65,67.7,68,64.5,NA
"16",19900123,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.8,67.95,68.05,64.62,NA
"17",19900124,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",65.8,67.35,67.7,64.66,65.6
"18",19900125,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",65.25,66.7,67.25,64.45,NA
"19",19900126,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",64.85,66.15,66.65,64.15,64.8
"20",19900129,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",64.7,66.1,66.7,63.85,64.7
"21",19900130,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",65.6,67,67.45,64.3,65.1
"22",19900131,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",67.3,68.45,68.7,65.43,66
"23",19900201,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",67.03,68.15,68.45,65.1,65.75
"24",19900202,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",67,68.24,68.52,65.15,66
"25",19900205,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",67.68,68.88,69.08,65.4,65.95
"26",19900206,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.75,68.25,68.55,64.95,65.8
"27",19900207,"CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01",66.65,68.05,68.2,64.95,NA
"28",19900208,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",68.36,68.65,64.92,NA,NA
"29",19900209,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",68.73,68.95,65,65.7,NA
"30",19900212,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",68.5,68.7,65.2,65.65,NA
"31",19900213,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",69.35,69.5,65.5,66.15,NA
"32",19900214,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.6,70.9,66.15,66.75,67
"33",19900215,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.75,71.1,66.2,66.78,67.35
"34",19900216,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.55,70.75,66.1,66.75,67.5
"35",19900220,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.15,70.4,NA,66.4,67.1
"36",19900221,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.65,70.85,65.9,NA,NA
"37",19900222,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.8,71.05,65.55,66.5,NA
"38",19900223,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.15,70.46,65.4,66.2,66.65
"39",19900226,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.11,70.5,64.95,NA,66.4
"40",19900227,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.63,70.9,64.8,65.5,66.1
"41",19900228,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.48,70.89,64.71,NA,NA
"42",19900301,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",69.82,70.3,64.65,65.8,66
"43",19900302,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",69.46,70,64.95,66,NA
"44",19900305,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.75,72.33,66,66.2,66.85
"45",19900306,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",72.05,72.75,66,67.07,67.57
"46",19900307,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.7,72.18,65.51,66.5,66.6
"47",19900308,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",72.1,72.48,65.85,66.5,67.1
"48",19900309,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.97,72.28,65.6,66.4,67
"49",19900312,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.35,71.8,65.35,66.25,NA
"50",19900313,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.55,72,65.42,66.14,66.53
"51",19900314,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.85,72.15,65.4,NA,NA
"52",19900315,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.62,72.05,65.65,66.2,NA
"53",19900316,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.37,71.8,65.35,66.25,66.98
"54",19900319,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.52,71.88,65.75,66.65,66.98
"55",19900320,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.76,71.1,65.15,66.55,66.5
"56",19900321,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.3,70.7,64.83,65.9,NA
"57",19900322,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.4,70.84,64.88,65.7,NA
"58",19900323,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.75,71.2,64.58,65.4,NA
"59",19900326,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.52,70.91,64.55,NA,66.14
"60",19900327,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.73,71.08,64.31,65.25,65.9
"61",19900328,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",70.64,70.95,63.92,65.05,65.7
"62",19900329,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",71.78,71.9,64.8,65.5,66
"63",19900330,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",72.84,72.5,65,66,66.45
"64",19900402,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",73.86,73.4,65.35,66.25,66.68
"65",19900403,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",73.52,73.05,65.02,66,66.55
"66",19900404,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",74.43,73.67,65.2,66.1,66.5
"67",19900405,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",73.4,72.86,65.26,66.1,66.6
"68",19900406,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",73.75,73.25,65.26,66.3,66.75
"69",19900409,"CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01",73.08,72.55,64.92,66,66.5
