"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"1","19900102","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"2","19900103","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"3","19900104","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"4","19900105","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"5","19900108","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"6","19900109","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"7","19900110","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"8","19900111","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"9","19900112","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"10","19900115","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"11","19900116","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"12","19900117","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"13","19900118","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"14","19900119","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"15","19900122","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"16","19900123","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"17","19900124","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"18","19900125","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"19","19900126","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"20","19900129","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"21","19900130","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"22","19900131","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"23","19900201","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"24","19900202","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"25","19900205","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"26","19900206","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"27","19900207","CTAH90.b01","CTAH90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01"
"28","19900208","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"29","19900209","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"30","19900212","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"31","19900213","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"32","19900214","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"33","19900215","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"34","19900216","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"35","19900220","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"36","19900221","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"37","19900222","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"38","19900223","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"39","19900226","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"40","19900227","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"41","19900228","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"42","19900301","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"43","19900302","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"44","19900305","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"45","19900306","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"46","19900307","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"47","19900308","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"48","19900309","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"49","19900312","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"50","19900313","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"51","19900314","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"52","19900315","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"53","19900316","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"54","19900319","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"55","19900320","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"56","19900321","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"57","19900322","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"58","19900323","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"59","19900326","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"60","19900327","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"61","19900328","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"62","19900329","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"63","19900330","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"64","19900402","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"65","19900403","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"66","19900404","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"67","19900405","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"68","19900406","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"69","19900409","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"70","19900410","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"71","19900411","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"72","19900412","CTAK90.b01","CTAK90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01"
"73","19900416","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"74","19900417","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"75","19900418","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"76","19900419","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"77","19900420","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"78","19900423","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"79","19900424","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"80","19900425","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"81","19900426","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"82","19900430","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"83","19900501","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"84","19900502","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"85","19900503","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"86","19900504","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"87","19900507","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"88","19900508","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"89","19900509","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"90","19900510","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"91","19900511","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"92","19900514","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"93","19900515","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"94","19900516","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"95","19900517","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"96","19900518","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"97","19900521","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"98","19900522","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"99","19900523","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"100","19900524","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"101","19900525","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"102","19900529","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"103","19900530","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"104","19900531","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"105","19900601","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"106","19900604","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"107","19900605","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"108","19900606","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"109","19900607","CTAN90.b01","CTAN90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01"
"110","19900608","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"111","19900611","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"112","19900612","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"113","19900613","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"114","19900614","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"115","19900615","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"116","19900618","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"117","19900619","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"118","19900620","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"119","19900621","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"120","19900622","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"121","19900625","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"122","19900626","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"123","19900627","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"124","19900628","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"125","19900629","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"126","19900702","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"127","19900703","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"128","19900705","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"129","19900706","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"130","19900709","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"131","19900710","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"132","19900711","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"133","19900712","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"134","19900713","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"135","19900716","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"136","19900717","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"137","19900718","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"138","19900719","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"139","19900720","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"140","19900723","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"141","19900724","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
"142","19900725","CTAZ90.b01","CTAZ90.b01","CTAH91.b01","CTAK91.b01","CTAN91.b01","CTAZ91.b01"
