"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900102","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"2","19900103","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"3","19900104","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"4","19900105","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"5","19900108","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"6","19900109","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"7","19900110","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"8","19900111","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"9","19900112","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"10","19900115","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"11","19900116","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"12","19900117","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"13","19900118","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"14","19900119","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"15","19900122","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"16","19900123","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"17","19900124","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"18","19900125","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"19","19900126","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"20","19900129","GCAG90.b01","GCAG90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01"
"21","19900130","GCAJ90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01","GCAJ91.b01"
"22","19900131","GCAJ90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01","GCAJ91.b01"
"23","19900201","GCAJ90.b01","GCAJ90.b01","GCAM90.b01","GCAQ90.b01","GCAZ90.b01","GCAG91.b01","GCAJ91.b01"
