"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900216","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"2","19900220","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"3","19900221","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"4","19900222","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"5","19900223","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"6","19900226","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"7","19900227","CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01"
"8","19900228","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"9","19900301","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"10","19900302","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"11","19900305","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"12","19900306","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"13","19900307","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"14","19900308","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"15","19900309","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"16","19900312","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"17","19900313","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"18","19900314","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"19","19900315","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"20","19900316","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"21","19900319","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"22","19900320","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"23","19900321","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"24","19900322","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"25","19900323","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"26","19900326","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"27","19900327","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"28","19900328","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"29","19900329","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"30","19900330","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"31","19900402","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"32","19900403","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"33","19900404","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"34","19900405","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"35","19900406","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"36","19900409","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"37","19900410","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"38","19900411","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"39","19900412","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"40","19900416","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"41","19900417","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"42","19900418","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"43","19900419","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"44","19900420","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"45","19900423","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"46","19900424","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"47","19900425","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"48","19900426","CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01"
"49","19900430","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"50","19900501","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"51","19900502","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"52","19900503","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"53","19900504","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"54","19900507","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"55","19900508","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"56","19900509","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"57","19900510","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
"58","19900511","CPAN90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01","CPAN91.b01"
