"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",20020304,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05968,0.06705,0.06323,0.06108,NA,0.0511
"2",20020305,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05885,0.06668,0.06308,0.0605,NA,0.05065
"3",20020306,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05798,0.0662,0.0627,0.06008,NA,0.0511
"4",20020307,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05833,0.06708,0.0637,0.06085,NA,0.05115
"5",20020308,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05813,0.06678,0.06375,0.0609,NA,0.05105
"6",20020311,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.0576,0.06598,0.0632,0.0603,NA,0.0507
"7",20020312,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05723,0.0658,0.06325,0.06025,NA,0.0505
"8",20020313,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05728,0.06593,0.06315,0.06,NA,0.05025
"9",20020314,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05605,0.065,0.0629,0.05998,NA,0.05045
"10",20020315,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05475,0.06433,0.06288,0.0601,NA,0.05035
"11",20020318,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05385,0.06303,0.0615,0.05885,NA,0.0497
"12",20020319,"HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01",0.05255,0.0623,0.06078,0.0581,NA,0.0491
"13",20020320,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06283,0.06138,0.05928,NA,0.04948,NA
"14",20020321,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06275,0.06138,0.05918,NA,0.04935,NA
"15",20020322,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06198,0.06045,0.05845,NA,0.04905,NA
"16",20020325,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.0624,0.0607,0.05843,NA,0.0484,NA
"17",20020326,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06118,0.05985,0.0576,NA,0.04833,NA
"18",20020327,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06083,0.0591,0.0569,NA,0.0473,NA
"19",20020328,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.0605,0.0589,0.05655,NA,0.0474,NA
"20",20020401,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06075,0.05895,0.05663,NA,0.0475,NA
"21",20020402,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.06053,0.05883,0.05663,NA,0.04755,NA
"22",20020403,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05978,0.05835,0.05595,NA,0.0476,NA
"23",20020404,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05778,0.05645,0.05405,NA,0.0472,NA
"24",20020405,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05685,0.05598,0.05405,NA,0.04695,NA
"25",20020408,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05538,0.0544,0.05295,NA,0.04595,NA
"26",20020409,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05588,0.05518,0.0535,NA,0.047,NA
"27",20020412,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05285,0.05288,0.05145,NA,0.04718,NA
"28",20020415,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.0543,0.05465,0.05345,NA,0.04918,NA
"29",20020416,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05463,0.05533,0.05408,NA,0.04893,NA
"30",20020417,"HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEJ03.b01",0.05598,0.05595,0.05435,NA,0.04865,NA
