"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","20020304","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"2","20020305","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"3","20020306","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"4","20020307","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"5","20020308","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"6","20020311","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"7","20020312","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"8","20020313","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"9","20020314","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"10","20020315","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"11","20020318","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"12","20020319","HEJ02.b01","HEJ02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01"
"13","20020320","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"14","20020321","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"15","20020322","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"16","20020325","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"17","20020326","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"18","20020327","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"19","20020328","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"20","20020401","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"21","20020402","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"22","20020403","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"23","20020404","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"24","20020405","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"25","20020408","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"26","20020409","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"27","20020412","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"28","20020415","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"29","20020416","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"30","20020417","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
