"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",20020304,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7468,0.7033,0.7,0.7193,NA,0.7373
"2",20020305,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.742,0.6998,0.6975,0.7175,NA,0.735
"3",20020306,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7518,0.705,0.7013,0.7215,NA,0.7393
"4",20020307,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7543,0.7053,0.7008,0.7208,NA,0.7388
"5",20020308,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7588,0.705,0.7008,0.722,NA,0.7405
"6",20020311,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7573,0.7045,0.6985,0.7218,NA,0.7405
"7",20020312,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7563,0.7015,0.6943,0.719,NA,0.7385
"8",20020313,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.745,0.6908,0.6863,0.711,NA,0.733
"9",20020314,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.732,0.6823,0.6823,0.708,NA,0.732
"10",20020315,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7235,0.675,0.6743,0.701,NA,0.7253
"11",20020318,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7215,0.67,0.67,0.6983,NA,0.7243
"12",20020319,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7123,0.6665,0.6673,0.695,NA,0.7205
"13",20020320,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7095,0.6665,0.6663,0.6935,NA,0.7183
"14",20020321,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7053,0.6648,0.663,0.6895,NA,0.714
"15",20020322,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.6978,0.6635,0.6603,0.6873,NA,0.7115
"16",20020325,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.697,0.6605,0.6588,0.6873,NA,0.7115
"17",20020326,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7038,0.6615,0.6585,0.6868,NA,0.7135
"18",20020327,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.699,0.6548,0.654,0.6833,NA,0.711
"19",20020328,"GLEJ02.b01","GLEJ02.b01","GLEM02.b01","GLEQ02.b01","GLEV02.b01","GLEZ03.b01","GLEG03.b01",0.7043,0.658,0.655,0.6835,NA,0.71
