,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL5,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value,CL5.value
1,19900426,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.558,1.613,1.65,1.675,1.69,NA
2,19900427,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.555,NA,NA,1.67,NA,NA
3,19900430,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.57,1.63,1.65,1.68,1.704,NA
4,19900501,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.565,1.625,1.651,1.674,1.705,NA
5,19900502,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.576,1.63,1.65,1.675,1.705,1.895
6,19900503,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.575,1.625,1.645,1.675,1.7,1.9
7,19900504,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.575,1.625,1.65,1.675,1.705,1.903
8,19900507,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.581,1.63,1.655,1.675,1.695,1.905
9,19900508,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.583,1.629,1.657,1.676,1.702,1.905
10,19900509,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.576,1.634,1.661,1.685,1.705,1.91
11,19900510,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.574,1.63,1.665,1.68,1.708,1.91
12,19900511,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.565,1.633,1.665,1.684,1.71,1.91
13,19900514,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.556,1.62,1.655,1.675,1.705,1.903
14,19900515,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.552,1.617,1.653,1.678,1.706,NA
15,19900516,NGAM90.b01,NGAM90.b01,NGAN90.b01,NGAQ90.b01,NGAU90.b01,NGAV90.b01,NGAX90.b01,1.575,1.63,1.663,1.68,1.715,1.912
