"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL0.value","CL1.value","CL2.value","CL3.value"
"1",19940103,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",125,NA,NA,NA
"2",19940104,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",127.5,NA,NA,NA
"3",19940105,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",127.75,NA,NA,NA
"4",19940106,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",126.5,NA,NA,NA
"5",19940107,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",125.5,NA,NA,NA
"6",19940110,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",123,NA,NA,NA
"7",19940111,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124,NA,NA,NA
"8",19940112,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",123.5,NA,NA,NA
"9",19940113,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",123.75,NA,NA,NA
"10",19940114,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124,NA,NA,NA
"11",19940117,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",125.1,NA,NA,NA
"12",19940118,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",125.3,NA,NA,NA
"13",19940120,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124.25,NA,NA,NA
"14",19940121,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",123.5,NA,NA,NA
"15",19940124,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",123.55,NA,NA,NA
"16",19940125,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124.1,NA,NA,NA
"17",19940126,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124.5,NA,NA,NA
"18",19940127,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124.15,NA,NA,NA
"19",19940128,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",124,NA,NA,NA
"20",19940131,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",123.5,NA,NA,NA
"21",19940201,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",126.5,NA,NA,NA
"22",19940202,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",128,NA,NA,NA
"23",19940203,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",128.25,NA,NA,NA
"24",19940204,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",130.25,NA,NA,NA
"25",19940207,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",132.4,NA,NA,NA
"26",19940208,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",131.5,NA,NA,NA
"27",19940209,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",132.5,NA,NA,NA
"28",19940210,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",135.5,NA,NA,NA
"29",19940211,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",133,NA,NA,NA
"30",19940214,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",133.5,NA,NA,NA
"31",19940217,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",135.65,NA,NA,NA
"32",19940218,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",135.9,NA,NA,NA
"33",19940222,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",134.75,NA,NA,NA
"34",19940223,"PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01",133,NA,NA,NA
"35",19940224,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134.75,NA,NA,NA
"36",19940225,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.75,NA,NA,NA
"37",19940228,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",136.9,NA,NA,NA
"38",19940301,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",136.5,NA,NA,NA
"39",19940302,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",136.75,NA,NA,NA
"40",19940303,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",130.5,NA,NA,NA
"41",19940304,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",129.6,NA,NA,NA
"42",19940307,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",131.75,NA,NA,NA
"43",19940308,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",132.5,NA,NA,NA
"44",19940309,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",132.5,NA,NA,NA
"45",19940310,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133.5,NA,NA,NA
"46",19940311,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134,NA,NA,NA
"47",19940314,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.25,NA,NA,NA
"48",19940315,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134.5,NA,NA,NA
"49",19940316,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133.75,NA,NA,NA
"50",19940317,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134,NA,NA,NA
"51",19940318,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134,NA,NA,NA
"52",19940321,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134,NA,NA,NA
"53",19940322,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134.75,NA,NA,NA
"54",19940323,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.75,NA,NA,NA
"55",19940324,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.5,NA,NA,NA
"56",19940325,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135,NA,NA,NA
"57",19940328,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.25,NA,NA,NA
"58",19940329,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133.15,NA,NA,NA
"59",19940330,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133,NA,NA,NA
"60",19940331,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.5,NA,NA,NA
"61",19940404,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.5,NA,NA,NA
"62",19940405,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.5,NA,NA,NA
"63",19940406,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",135.5,NA,NA,NA
"64",19940407,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133.25,NA,NA,NA
"65",19940408,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134,NA,NA,NA
"66",19940411,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133,NA,NA,NA
"67",19940412,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",132,NA,NA,NA
"68",19940413,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",132.8,NA,NA,NA
"69",19940414,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",131.75,NA,NA,NA
"70",19940415,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",132.5,NA,NA,NA
"71",19940418,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133,NA,NA,NA
"72",19940419,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",132.5,NA,NA,NA
"73",19940420,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134,NA,NA,NA
"74",19940421,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134.3,NA,NA,NA
"75",19940422,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",133.5,NA,NA,NA
"76",19940425,"PAM94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01",134.5,NA,NA,NA
