"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"1","19940103","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"2","19940104","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"3","19940105","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"4","19940106","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"5","19940107","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"6","19940110","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"7","19940111","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"8","19940112","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"9","19940113","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"10","19940114","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"11","19940117","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"12","19940118","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"13","19940120","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"14","19940121","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"15","19940124","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"16","19940125","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"17","19940126","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"18","19940127","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"19","19940128","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"20","19940131","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
"21","19940201","PAH94.b01","PAH94.b01","PAM94.b01","PAU94.b01","PAZ94.b01","PAH95.b01"
