"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900102","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"2","19900103","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"3","19900104","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"4","19900105","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"5","19900108","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"6","19900109","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"7","19900110","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"8","19900111","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"9","19900112","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"10","19900115","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"11","19900116","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"12","19900117","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"13","19900118","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"14","19900119","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"15","19900122","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"16","19900123","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"17","19900124","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"18","19900125","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"19","19900126","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"20","19900129","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"21","19900130","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"22","19900131","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"23","19900201","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"24","19900202","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"25","19900205","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
"26","19900206","SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01"
