"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900102","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"2","19900103","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"3","19900104","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"4","19900105","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"5","19900108","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"6","19900109","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"7","19900110","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"8","19900111","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"9","19900112","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"10","19900115","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"11","19900116","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"12","19900117","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"13","19900118","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"14","19900119","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"15","19900122","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"16","19900123","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"17","19900124","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"18","19900125","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"19","19900126","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"20","19900129","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"21","19900130","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"22","19900131","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"23","19900201","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"24","19900202","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"25","19900205","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"26","19900206","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"27","19900207","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
"28","19900208","SSAH90.b01","SSAH90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01"
