,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5075,20100615,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.71,16.44,16.49,16.6,16.66
5076,20100616,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,16.04,16.73,16.77,16.72,16.8
5077,20100617,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.69,16.45,16.49,16.45,16.45
5078,20100618,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.36,16.09,16.05,16.07,16.09
5079,20100621,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.84,16.55,16.47,16.51,16.48
5080,20100622,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.8,16.48,16.35,16.33,16.45
5081,20100623,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.88,16.49,16.33,16.24,16.22
5082,20100624,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.93,16.44,16.28,16.19,16.2
5083,20100625,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,16.45,16.87,16.67,16.47,16.33
5084,20100628,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,16,16.46,16.19,15.99,16.02
5085,20100629,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.32,15.96,15.85,15.69,15.7
5086,20100630,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,15.9,16.43,16.04,15.77,15.9
