"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"1","19900102","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"2","19900103","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"3","19900104","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"4","19900105","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"5","19900108","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"6","19900109","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"7","19900110","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"8","19900111","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"9","19900112","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"10","19900115","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"11","19900116","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"12","19900117","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"13","19900118","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"14","19900119","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"15","19900122","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"16","19900123","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"17","19900124","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"18","19900125","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"19","19900126","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"20","19900129","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"21","19900130","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"22","19900131","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"23","19900201","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"24","19900202","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"25","19900205","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"26","19900206","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"27","19900207","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"28","19900208","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"29","19900209","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"30","19900212","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"31","19900213","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"32","19900214","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"33","19900215","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"34","19900216","SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01"
"35","19900220","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"36","19900221","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"37","19900222","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"38","19900223","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"39","19900226","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"40","19900227","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"41","19900228","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"42","19900301","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"43","19900302","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"44","19900305","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"45","19900306","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"46","19900307","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"47","19900308","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"48","19900309","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"49","19900312","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"50","19900313","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"51","19900314","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"52","19900315","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"53","19900316","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"54","19900319","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"55","19900320","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"56","19900321","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"57","19900322","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"58","19900323","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
"59","19900326","SBAK90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01","SBAK91.b01"
