"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",19900102,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.086,3.872,3.596,3.644,3.754,3.81
"2",19900103,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.1,3.886,3.606,3.66,3.76,3.81
"3",19900104,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.092,3.88,3.604,3.654,3.764,3.81
"4",19900105,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.096,3.88,3.612,3.664,3.774,3.82
"5",19900108,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.1,3.892,3.614,3.67,3.774,3.824
"6",19900109,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.066,3.862,3.594,3.652,3.756,3.81
"7",19900110,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.054,3.856,3.586,3.634,3.752,3.804
"8",19900111,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.046,3.844,3.57,3.62,3.73,3.78
"9",19900112,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.014,3.82,3.576,3.62,3.73,3.78
"10",19900115,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.994,3.786,3.552,3.604,3.712,3.77
"11",19900116,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.982,3.766,3.53,3.58,3.692,3.754
"12",19900117,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",4.01,3.8,3.55,3.594,3.704,3.76
"13",19900118,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.976,3.766,3.526,3.574,3.686,3.744
"14",19900119,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.92,3.72,3.522,3.576,3.682,3.74
"15",19900122,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.924,3.736,3.55,3.604,3.716,3.774
"16",19900123,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.926,3.744,3.532,3.59,3.696,3.754
"17",19900124,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.914,3.732,3.534,3.586,3.696,3.744
"18",19900125,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.854,3.696,3.504,3.566,3.672,3.73
"19",19900126,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.812,3.662,3.486,3.544,3.66,3.72
"20",19900129,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.786,3.656,3.5,3.554,3.674,3.734
"21",19900130,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.76,3.63,3.474,3.536,3.65,3.724
"22",19900131,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.756,3.626,3.474,3.54,3.654,3.72
"23",19900201,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.752,3.644,3.484,3.544,3.664,3.72
"24",19900202,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.79,3.676,3.494,3.566,3.676,3.734
"25",19900205,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.834,3.692,3.486,3.546,3.656,3.72
"26",19900206,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.826,3.67,3.464,3.522,3.626,3.69
"27",19900207,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.83,3.664,3.48,3.542,3.644,3.706
"28",19900208,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.824,3.66,3.482,3.544,3.652,3.72
"29",19900209,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.866,3.674,3.476,3.546,3.654,3.72
"30",19900212,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.9,3.69,3.486,3.544,3.662,3.73
"31",19900213,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.854,3.652,3.474,3.54,3.656,3.73
"32",19900214,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.872,3.656,3.462,3.532,3.644,3.71
"33",19900215,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.862,3.652,3.456,3.514,3.634,3.702
"34",19900216,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.84,3.63,3.444,3.506,3.624,3.694
"35",19900220,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.822,3.606,3.422,3.484,3.604,3.68
"36",19900221,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.844,3.644,3.444,3.506,3.624,3.706
"37",19900222,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.894,3.662,3.452,3.51,3.63,3.704
"38",19900223,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.94,3.666,3.466,3.53,3.646,3.72
"39",19900226,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.962,3.66,3.456,3.516,3.634,3.71
"40",19900227,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.942,3.634,3.464,3.526,3.644,3.71
"41",19900228,"WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01",3.932,3.622,3.45,3.514,3.634,3.714
"42",19900301,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.572,3.402,3.47,3.59,3.67,NA
"43",19900302,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.552,3.394,3.454,3.576,3.664,NA
"44",19900305,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.512,3.366,3.432,3.556,3.63,NA
"45",19900306,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.51,3.38,3.45,3.574,3.654,NA
"46",19900307,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.53,3.39,3.462,3.582,3.654,NA
"47",19900308,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.554,3.42,3.482,3.604,3.69,NA
"48",19900309,"WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01",3.536,3.404,3.46,3.59,3.676,NA
