"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"1","19900102","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"2","19900103","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"3","19900104","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"4","19900105","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"5","19900108","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"6","19900109","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"7","19900110","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"8","19900111","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"9","19900112","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"10","19900115","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"11","19900116","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"12","19900117","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"13","19900118","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"14","19900119","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"15","19900122","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"16","19900123","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"17","19900124","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"18","19900125","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"19","19900126","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"20","19900129","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"21","19900130","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"22","19900131","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"23","19900201","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"24","19900202","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"25","19900205","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"26","19900206","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"27","19900207","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"28","19900208","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"29","19900209","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"30","19900212","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"31","19900213","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"32","19900214","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"33","19900215","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"34","19900216","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"35","19900220","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"36","19900221","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"37","19900222","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"38","19900223","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"39","19900226","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"40","19900227","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"41","19900228","WHAH90.b01","WHAH90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01"
"42","19900301","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"43","19900302","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"44","19900305","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"45","19900306","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"46","19900307","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"47","19900308","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"48","19900309","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"49","19900312","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
"50","19900313","WHAK90.b01","WHAK90.b01","WHAN90.b01","WHAU90.b01","WHAZ90.b01","WHAH91.b01","WHAK91.b01"
