"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",19900102,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2262,2222,2184,2150,2112,2078
"2",19900103,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2365,2296,2250,2200,2172,2130
"3",19900104,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2311,2228,2182,2142,2110,2075
"4",19900105,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2345,2242,2186,2143,2108,2065
"5",19900108,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2187,2126,2083,2045,2008,1985
"6",19900109,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2174,2101,2062,2028,1993,1973
"7",19900110,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2274,2193,2142,2094,2055,2030
"8",19900111,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2295,2200,2150,2103,2060,2023
"9",19900112,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2331,2220,2159,2107,2062,2033
"10",19900115,"CLAG90.b01","CLAG90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01",2248,2164,2105,2060,2025,1990
"11",19900116,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2161,2103,2060,2018,1979,1950
"12",19900117,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2125,2071,2030,1995,1962,1917
"13",19900118,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2146,2087,2044,2008,1977,1948
"14",19900119,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2215,2140,2092,2048,2015,1983
"15",19900122,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2190,2127,2068,2028,1992,1962
"16",19900123,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2142,2090,2053,2019,1984,1953
"17",19900124,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2162,2096,2060,2027,1992,1958
"18",19900125,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2191,2121,2079,2042,2012,1975
"19",19900126,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2228,2148,2105,2067,2035,2005
"20",19900129,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2273,2189,2143,2097,2065,2035
"21",19900130,"CLAH90.b01","CLAH90.b01","CLAJ90.b01","CLAK90.b01","CLAM90.b01","CLAN90.b01","CLAQ90.b01",2251,2181,2142,2108,2075,2042
