,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL5,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value,CL5.value
1,19900102,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.763,0.6555,0.6075,0.578,0.562,0.555
2,19900103,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.779,0.672,0.6215,0.5895,0.574,0.5715
3,19900104,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.728,0.6523,0.605,0.5765,0.561,0.557
4,19900105,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.704,0.631,0.5915,0.5665,0.5545,0.548
5,19900108,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.6425,0.5935,0.562,0.5415,0.53,0.527
6,19900109,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.6415,0.592,0.559,0.5415,0.53,0.527
7,19900110,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.6675,0.6187,0.5837,0.565,0.55,0.546
8,19900111,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.687,0.628,0.584,0.561,0.54,0.539
9,19900112,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.704,0.633,0.59,0.564,0.55,0.545
10,19900115,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.655,0.6065,0.567,0.546,0.5325,0.529
11,19900116,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.6425,0.595,0.5655,0.544,0.532,0.528
12,19900117,HOAG90.b01,HOAG90.b01,HOAH90.b01,HOAJ90.b01,HOAK90.b01,HOAM90.b01,HOAN90.b01,0.6075,0.5775,0.5525,0.537,0.524,0.52
