YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL,,ADJUSTED LC PRICE,,20 D TRUE RANGE
19900102,CLG90,21.82,22.68,21.82,22.62,7.97,0.86,,30.59,,
19900103,CLG90,23.22,23.8,23,23.65,7.97,1.18,,31.62,,
19900104,CLG90,23.81,23.88,22.83,23.11,7.97,1.05,,31.08,,
19900105,CLG90,23.3,23.68,23.06,23.45,7.97,0.62,,31.42,,
19900108,CLG90,22.54,22.6,21.59,21.87,7.97,1.86,,29.84,,
19900109,CLG90,21.8,22.12,21.7,21.74,7.97,0.42,,29.71,,
19900110,CLG90,22.51,22.78,22.28,22.74,7.97,1.04,,30.71,,
19900111,CLG90,22.62,22.95,22.52,22.95,7.97,0.43,,30.92,,
19900112,CLG90,23.26,23.39,23.04,23.31,7.97,0.44,,31.28,,
19900115,CLG90,22.85,22.9,22.43,22.48,7.97,0.88,,30.45,,
19900116,CLH90,21.12,21.83,21.11,21.61,8.85,0.72,,30.46,,
19900117,CLH90,21.39,21.48,21.1,21.25,8.85,0.51,,30.1,,
19900118,CLH90,21.5,21.66,21.41,21.46,8.85,0.41,,30.31,,
19900119,CLH90,21.78,22.22,21.71,22.15,8.85,0.76,,31,,
19900122,CLH90,22.26,22.3,21.55,21.9,8.85,0.75,,30.75,,
19900123,CLH90,21.46,21.56,21.3,21.42,8.85,0.6,,30.27,,
19900124,CLH90,21.25,21.86,21.25,21.62,8.85,0.61,,30.47,,
19900125,CLH90,21.93,22.2,21.67,21.91,8.85,0.58,,30.76,,
19900126,CLH90,22.02,22.4,21.93,22.28,8.85,0.49,,31.13,,
19900129,CLH90,22.5,22.75,22.38,22.73,8.85,0.47,,31.58,,
19900130,CLH90,22.72,22.76,22.38,22.51,8.85,0.38,,31.36,,
19900131,CLH90,22.19,22.6,22.15,22.54,8.85,0.45,,31.39,,
19900201,CLH90,22.72,22.74,22.46,22.66,8.85,0.28,,31.51,,
19900202,CLH90,22.86,23.03,22.66,22.98,8.85,0.37,,31.83,,
19900205,CLH90,22.92,23.05,22.55,22.55,8.85,0.5,,31.4,,
19900206,CLH90,22.48,22.72,22.3,22.53,8.85,0.42,,31.38,,
19900207,CLH90,22.35,22.43,22.12,22.28,8.85,0.41,,31.13,,
19900208,CLH90,22.23,22.46,22.16,22.2,8.85,0.3,,31.05,,
19900209,CLH90,21.9,22.02,21.75,21.77,8.85,0.45,,30.62,,0.5165
19900212,CLH90,21.72,21.95,21.72,21.88,8.85,0.23,,30.73,,0.517
19900213,CLJ90,22.01,22.24,21.93,22.08,9.05,0.56,,31.13,,0.4845
19900214,CLJ90,21.7,21.88,21.68,21.74,9.05,0.4,,30.79,,0.4765
19900215,CLJ90,22.08,22.33,22.07,22.31,9.05,0.59,,31.36,,0.471
19900216,CLJ90,22.42,22.42,22.02,22.11,9.05,0.4,,31.16,,0.48
19900220,CLJ90,22.06,22.19,21.98,22.09,9.05,0.21,,31.14,,0.462
19900221,CLJ90,22.13,22.16,21.75,21.85,9.05,0.41,,30.9,,0.435
19900222,CLJ90,21.84,21.96,21.63,21.72,9.05,0.33,,30.77,,0.4255
19900223,CLJ90,21.58,21.66,21.46,21.59,9.05,0.26,,30.64,,0.4115
19900226,CLJ90,21.6,21.79,21.48,21.76,9.05,0.31,,30.81,,0.3955
19900227,CLJ90,21.8,21.85,21.59,21.68,9.05,0.26,,30.73,,0.3865
19900228,CLJ90,21.56,21.71,21.46,21.55,9.05,0.25,,30.6,,0.376
19900301,CLJ90,21.67,21.75,21.24,21.29,9.05,0.51,,30.34,,0.3695
19900302,CLJ90,21.17,21.35,21.07,21.22,9.05,0.28,,30.27,,0.3725
19900305,CLJ90,21.34,21.43,21.2,21.39,9.05,0.23,,30.44,,0.3725
19900306,CLJ90,21.5,21.56,21.31,21.44,9.05,0.25,,30.49,,0.3655
19900307,CLJ90,21.12,21.17,20.95,21.01,9.05,0.49,,30.06,,0.353
19900308,CLJ90,20.82,20.84,20.64,20.7,9.05,0.37,,29.75,,0.3565
19900309,CLJ90,20.9,20.98,20.62,20.62,9.05,0.36,,29.67,,0.3545
19900312,CLK90,20.51,20.57,20.3,20.36,8.87,0.5,,29.23,,0.3575
19900313,CLK90,20.54,20.71,20.46,20.58,8.87,0.35,,29.45,,0.36
19900314,CLK90,20.36,20.58,20.22,20.45,8.87,0.36,,29.32,,0.366
19900315,CLK90,20.43,20.69,20.37,20.65,8.87,0.32,,29.52,,0.356
19900316,CLK90,20.6,20.6,20.36,20.42,8.87,0.29,,29.29,,0.352
19900319,CLK90,19.98,20.02,19.83,19.86,8.87,0.59,,28.73,,0.337
19900320,CLK90,20.08,20.12,19.71,19.72,8.87,0.41,,28.59,,0.3465
