YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,HOG90,0.745,0.764,0.7435,0.763,0.1849,0.0205
19900103,HOG90,0.783,0.785,0.756,0.779,0.1849,0.029
19900104,HOG90,0.772,0.772,0.7145,0.728,0.1849,0.0645
19900105,HOG90,0.719,0.72,0.7025,0.704,0.1849,0.0255
19900108,HOG90,0.6575,0.664,0.63,0.6425,0.1849,0.074
19900109,HOG90,0.653,0.668,0.64,0.6415,0.1849,0.028
19900110,HOG90,0.6595,0.67,0.643,0.6675,0.1849,0.0285
19900111,HOG90,0.655,0.6885,0.654,0.687,0.1849,0.0345
19900112,HOG90,0.6985,0.705,0.687,0.704,0.1849,0.018
19900115,HOG90,0.671,0.674,0.648,0.655,0.1849,0.056
19900116,HOG90,0.628,0.654,0.627,0.6425,0.1849,0.028
19900117,HOG90,0.623,0.6235,0.605,0.6075,0.1849,0.0375
19900118,HOH90,0.585,0.5875,0.579,0.5835,0.2154,0.0285
19900119,HOH90,0.589,0.601,0.5885,0.5985,0.2154,0.0175
19900122,HOH90,0.598,0.599,0.578,0.5855,0.2154,0.021
19900123,HOH90,0.5725,0.577,0.567,0.5685,0.2154,0.0185
19900124,HOH90,0.56,0.5755,0.559,0.572,0.2154,0.0165
19900125,HOH90,0.581,0.582,0.5625,0.572,0.2154,0.0195
19900126,HOH90,0.571,0.5815,0.57,0.5785,0.2154,0.0115
19900129,HOH90,0.575,0.5875,0.574,0.5875,0.2154,0.0135
19900130,HOH90,0.5955,0.5955,0.584,0.585,0.2154,0.0115
19900131,HOH90,0.5725,0.578,0.571,0.5745,0.2154,0.014
19900201,HOH90,0.582,0.5825,0.5675,0.5695,0.2154,0.015
19900202,HOH90,0.571,0.584,0.5665,0.582,0.2154,0.0175
19900205,HOH90,0.5785,0.58,0.5635,0.5635,0.2154,0.0185
19900206,HOH90,0.5625,0.5665,0.5535,0.563,0.2154,0.013
19900207,HOH90,0.5555,0.558,0.5505,0.556,0.2154,0.0125
19900208,HOH90,0.558,0.565,0.5565,0.56,0.2154,0.009
19900209,HOH90,0.551,0.555,0.547,0.55,0.2154,0.013
19900212,HOH90,0.557,0.56,0.5555,0.5575,0.2154,0.01
19900213,HOH90,0.567,0.5795,0.566,0.5705,0.2154,0.022
19900214,HOH90,0.571,0.575,0.566,0.569,0.2154,0.009
19900215,HOH90,0.5825,0.593,0.582,0.59,0.2154,0.024
19900216,HOH90,0.5865,0.5865,0.57,0.5705,0.2154,0.02
19900220,HOJ90,0.563,0.5725,0.5615,0.5685,0.2224,0.011
19900221,HOJ90,0.5685,0.569,0.5635,0.5655,0.2224,0.0055
19900222,HOJ90,0.5755,0.577,0.568,0.569,0.2224,0.0115
19900223,HOJ90,0.567,0.572,0.566,0.5715,0.2224,0.006
19900226,HOJ90,0.579,0.5795,0.574,0.578,0.2224,0.008
19900227,HOJ90,0.576,0.578,0.571,0.577,0.2224,0.007
19900228,HOJ90,0.5685,0.5715,0.565,0.5675,0.2224,0.012
19900301,HOJ90,0.565,0.5675,0.544,0.5515,0.2224,0.0235
19900302,HOJ90,0.546,0.5565,0.545,0.5515,0.2224,0.0115
19900305,HOJ90,0.563,0.5755,0.5565,0.574,0.2224,0.024
19900306,HOJ90,0.5805,0.582,0.57,0.5775,0.2224,0.012
19900307,HOJ90,0.567,0.57,0.5585,0.56,0.2224,0.019
19900308,HOJ90,0.557,0.5575,0.549,0.5495,0.2224,0.011
19900309,HOJ90,0.552,0.557,0.546,0.547,0.2224,0.011
19900312,HOJ90,0.529,0.531,0.5215,0.5285,0.2224,0.0255
19900313,HOJ90,0.5395,0.544,0.5325,0.539,0.2224,0.0155
19900314,HOJ90,0.537,0.5425,0.534,0.5405,0.2224,0.0085
19900315,HOJ90,0.5425,0.5495,0.5415,0.547,0.2224,0.009
19900316,HOK90,0.532,0.5345,0.5255,0.531,0.2364,0.0215
19900319,HOK90,0.5215,0.53,0.518,0.5265,0.2364,0.013
19900320,HOK90,0.5325,0.5345,0.5245,0.527,0.2364,0.01
19900321,HOK90,0.536,0.537,0.532,0.535,0.2364,0.01
19900322,HOK90,0.5335,0.5345,0.5275,0.531,0.2364,0.0075
19900323,HOK90,0.5305,0.5365,0.5305,0.533,0.2364,0.006
19900326,HOK90,0.54,0.541,0.53,0.533,0.2364,0.011
19900327,HOK90,0.531,0.535,0.5281,0.535,0.2364,0.0069
19900328,HOK90,0.54,0.54,0.531,0.534,0.2364,0.009
19900329,HOK90,0.5315,0.5405,0.5315,0.537,0.2364,0.009
19900330,HOK90,0.539,0.5445,0.5375,0.544,0.2364,0.0075
19900402,HOK90,0.5455,0.5475,0.543,0.5465,0.2364,0.0045
19900403,HOK90,0.551,0.5595,0.5502,0.555,0.2364,0.013
19900404,HOK90,0.553,0.554,0.5425,0.5435,0.2364,0.0125
19900405,HOK90,0.54,0.5405,0.5305,0.5345,0.2364,0.013
19900406,HOK90,0.537,0.5395,0.53,0.5345,0.2364,0.0095
19900409,HOK90,0.5355,0.5385,0.533,0.536,0.2364,0.0055
19900410,HOK90,0.535,0.535,0.5225,0.523,0.2364,0.0135
19900411,HOK90,0.5175,0.532,0.502,0.5275,0.2364,0.03
19900412,HOK90,0.5425,0.545,0.5335,0.542,0.2364,0.0175
19900416,HOK90,0.543,0.547,0.5375,0.5465,0.2364,0.0095
19900417,HOK90,0.5525,0.5525,0.5325,0.538,0.2364,0.02
19900418,HOM90,0.502,0.5045,0.496,0.4995,0.2649,0.042
19900419,HOM90,0.507,0.5165,0.5055,0.513,0.2649,0.017
19900420,HOM90,0.511,0.512,0.5045,0.5095,0.2649,0.0085
19900423,HOM90,0.5145,0.5215,0.513,0.5205,0.2649,0.012
19900424,HOM90,0.5185,0.5195,0.511,0.5115,0.2649,0.0095
