"","Date","Security_ID","Month0_Raw_Price","Month1_Raw_Price","Month5_Raw_Price","Month1_Minus_Month0","Month5_Minus_Month0","TR20","Adj.Price","AdjustedLCPrice30","AdjustedLCPrice60","AdjustedLCPrice90","Return30","Return60","Return90"
"1",19900129,40,22.73,21.89,20.35,-1.14441416893733,-3.2425068119891,0.734,31.58,29.45,27.2,24.86,-2.90190735694823,-5.96730245231607,-9.15531335149863
"2",19900130,40,22.51,21.81,20.42,-0.985915492957746,-2.94366197183099,0.71,31.36,29.32,27.16,24.91,-2.87323943661972,-5.91549295774648,-9.08450704225352
"3",19900131,40,22.54,21.75,20.38,-1.17297698589458,-3.20712694877506,0.6735,31.39,29.52,27.02,25.65,-2.77654046028211,-6.48849294729028,-8.52264291017075
"4",19900201,40,22.66,21.92,20.55,-1.16535433070866,-3.32283464566929,0.635,31.51,29.29,27.33,25.79,-3.49606299212598,-6.58267716535433,-9.00787401574803
"5",19900202,40,22.98,22.21,20.85,-1.23694779116466,-3.42168674698795,0.6225,31.83,28.73,27.28,25.64,-4.97991967871486,-7.30923694779116,-9.9437751004016
"6",19900205,40,22.55,21.84,20.6,-1.28043282236249,-3.51668169522092,0.5545,31.4,28.59,26.58,25.28,-5.06762849413887,-8.69251577998197,-11.0369702434626
"7",19900206,40,22.53,21.87,20.5,-1.190261496844,-3.6609558160505,0.5545,31.38,28.85,26.63,24.75,-4.56266907123535,-8.56627592425609,-11.9567177637511
"8",19900207,40,22.28,21.64,20.41,-1.22370936902486,-3.5755258126195,0.523,31.13,28.98,26.64,24.59,-4.11089866156789,-8.58508604206501,-12.5047801147228
"9",19900208,40,22.2,21.77,20.67,-0.832526621490803,-2.9622458857696,0.5165,31.05,29.13,27.06,24.35,-3.71732817037753,-7.72507260406582,-12.97192642788
"10",19900209,40,21.77,21.5,20.56,-0.522243713733075,-2.34042553191489,0.517,30.62,29.33,27.24,24.42,-2.49516441005803,-6.53771760154739,-11.9922630560928
"11",19900212,40,21.88,21.7,20.9,-0.371517027863777,-2.02270381836945,0.4845,30.73,29.39,27.77,25.05,-2.765737874097,-6.109391124871,-11.7234262125903
"12",19900213,40,22.08,21.93,21.17,-0.314795383001049,-1.90975865687303,0.4765,31.13,29.09,27.42,25.02,-4.28121720881428,-7.78593913955928,-12.8226652675761
"13",19900214,40,21.74,21.62,20.86,-0.254777070063694,-1.86836518046709,0.471,30.79,29.15,28.15,24.92,-3.48195329087049,-5.60509554140127,-12.4628450106157
"14",19900215,40,22.31,22.12,21.2,-0.395833333333333,-2.3125,0.48,31.36,29.13,28.11,24.4,-4.64583333333333,-6.77083333333333,-14.5
"15",19900216,40,22.11,21.9,21.06,-0.454545454545454,-2.27272727272727,0.462,31.16,29.28,27.79,24.79,-4.06926406926407,-7.2943722943723,-13.7878787878788
"16",19900220,40,22.09,21.91,20.94,-0.413793103448276,-2.64367816091954,0.435,31.14,29.23,27.78,24.83,-4.39080459770116,-7.72413793103448,-14.5057471264368
"17",19900221,40,21.85,21.68,20.72,-0.399529964747356,-2.65569917743831,0.4255,30.9,28.76,27.88,24.36,-5.02937720329026,-7.09753231492362,-15.3701527614571
"18",19900222,40,21.72,21.65,20.79,-0.170109356014581,-2.26002430133657,0.4115,30.77,28.33,27.33,24.41,-5.92952612393682,-8.35965978128796,-15.4556500607533
"19",19900223,40,21.59,21.59,20.87,0,-1.8204804045512,0.3955,30.64,28.07,27.14,23.94,-6.49810366624526,-8.84955752212389,-16.9405815423514
"20",19900226,40,21.76,21.85,21.41,0.232858990944372,-0.905562742561449,0.3865,30.81,27.6,26.24,24.13,-8.30530401034929,-11.8240620957309,-17.2833117723156
"21",19900227,40,21.68,21.73,21.32,0.132978723404255,-0.957446808510638,0.376,30.73,27.07,26.24,23.89,-9.73404255319149,-11.9414893617021,-18.1914893617021
"22",19900228,40,21.55,21.61,21.09,0.162381596752368,-1.24492557510149,0.3695,30.6,26.88,25.93,24.56,-10.0676589986468,-12.638700947226,-16.3464140730717
"23",19900301,40,21.29,21.35,20.8,0.161073825503356,-1.31543624161074,0.3725,30.34,27.11,26.1,25.13,-8.67114093959731,-11.3825503355705,-13.986577181208
"24",19900302,40,21.22,21.26,20.76,0.10738255033557,-1.23489932885906,0.3725,30.27,27.28,26.35,25.6,-8.02684563758389,-10.5234899328859,-12.5369127516778
"25",19900305,40,21.39,21.47,20.95,0.218878248974008,-1.20383036935704,0.3655,30.44,26.92,25.62,25.8,-9.63064295485636,-13.187414500684,-12.6949384404925
"26",19900306,40,21.44,21.57,21.05,0.368271954674221,-1.10481586402266,0.353,30.49,26.42,25.69,26.31,-11.5297450424929,-13.5977337110482,-11.8413597733711
"27",19900307,40,21.01,21.2,21.02,0.532959326788219,0.0280504908835905,0.3565,30.06,27.4,25.57,26.24,-7.46143057503507,-12.5946704067321,-10.7152875175316
"28",19900308,40,20.7,20.91,20.8,0.592383638928068,0.282087447108604,0.3545,29.75,27.32,24.98,26.23,-6.85472496473907,-13.4555712270804,-9.92947813822285
"29",19900309,40,20.62,20.83,20.65,0.587412587412587,0.0839160839160839,0.3575,29.67,27.92,25.07,26.57,-4.89510489510489,-12.8671328671329,-8.67132867132867
"30",19900312,40,20.36,20.46,20.25,0.277777777777778,-0.305555555555555,0.36,29.23,27.55,25.29,26.55,-4.66666666666666,-10.9444444444444,-7.44444444444444
"31",19900313,40,20.58,20.62,20.44,0.109289617486339,-0.382513661202186,0.366,29.45,27.2,24.86,26.96,-6.14754098360655,-12.5409836065574,-6.80327868852458
"32",19900314,40,20.45,20.61,20.44,0.449438202247191,-0.0280898876404494,0.356,29.32,27.16,24.91,27.28,-6.06741573033708,-12.3876404494382,-5.73033707865169
"33",19900315,40,20.65,20.76,20.65,0.3125,0,0.352,29.52,27.02,25.65,26.77,-7.10227272727272,-10.9943181818182,-7.81249999999999
"34",19900316,40,20.42,20.59,20.62,0.504451038575668,0.593471810089021,0.337,29.29,27.33,25.79,26.91,-5.8160237388724,-10.3857566765579,-7.06231454005934
"35",19900319,40,19.86,20.17,20.5,0.894660894660894,1.84704184704185,0.3465,28.73,27.28,25.64,26.84,-4.18470418470417,-8.9177489177489,-5.45454545454544
