"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value"
"1",19900102,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.436,2.48,2.454,2.514,2.514
"2",19900103,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.444,2.49,2.47,2.534,2.534
"3",19900104,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.442,2.49,2.482,2.55,2.55
"4",19900105,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.44,2.484,2.476,2.542,2.542
"5",19900108,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.45,2.494,2.49,2.55,2.55
"6",19900109,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.446,2.494,2.48,2.546,2.546
"7",19900110,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.44,2.49,2.47,2.534,2.534
"8",19900111,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.444,2.492,2.456,2.516,2.516
"9",19900112,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.484,2.532,2.494,2.56,2.56
"10",19900115,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.502,2.55,2.494,2.56,2.56
"11",19900116,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.49,2.536,2.492,2.554,2.554
"12",19900117,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.476,2.522,2.48,2.544,2.544
"13",19900118,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.482,2.526,2.496,2.56,2.56
"14",19900119,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.476,2.522,2.494,2.56,2.56
"15",19900122,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.464,2.51,2.47,2.534,2.534
"16",19900123,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.466,2.51,2.484,2.544,2.544
"17",19900124,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.46,2.502,2.474,2.536,2.536
"18",19900125,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.446,2.486,2.452,2.516,2.516
"19",19900126,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.436,2.476,2.456,2.522,2.522
"20",19900129,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.452,2.492,2.46,2.524,2.524
"21",19900130,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.44,2.482,2.454,2.52,2.52
"22",19900131,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.436,2.476,2.44,2.502,2.502
"23",19900201,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.432,2.472,2.432,2.496,2.496
"24",19900202,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.422,2.464,2.412,2.474,2.474
"25",19900205,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.414,2.454,2.4,2.464,2.464
"26",19900206,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.432,2.472,2.424,2.49,2.49
"27",19900207,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.446,2.49,2.436,2.502,2.502
"28",19900208,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.444,2.482,2.436,2.5,2.5
"29",19900209,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.45,2.484,2.44,2.502,2.502
"30",19900212,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.476,2.52,2.47,2.532,2.532
"31",19900213,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.48,2.52,2.46,2.524,2.524
"32",19900214,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.49,2.534,2.474,2.542,2.542
"33",19900215,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.49,2.534,2.486,2.554,2.554
"34",19900216,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.476,2.522,2.482,2.544,2.544
"35",19900220,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.482,2.526,2.49,2.552,2.552
"36",19900221,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.5,2.546,2.502,2.564,2.564
"37",19900222,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.524,2.572,2.532,2.594,2.594
"38",19900223,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.532,2.58,2.546,2.606,2.606
"39",19900226,"CNAH90.b01","CNAH90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01",2.53,2.572,2.53,2.59,2.59
"40",19900227,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.556,2.516,2.58,2.58,2.6
"41",19900228,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.576,2.526,2.59,2.59,2.61
"42",19900301,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.57,2.524,2.584,2.584,2.606
"43",19900302,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.57,2.53,2.592,2.592,2.61
"44",19900305,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.566,2.532,2.594,2.594,2.614
"45",19900306,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.556,2.52,2.58,2.58,2.6
"46",19900307,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.536,2.504,2.566,2.566,2.59
"47",19900308,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.544,2.524,2.586,2.586,2.61
"48",19900309,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.55,2.54,2.6,2.6,2.62
"49",19900312,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.584,2.572,2.626,2.626,2.65
"50",19900313,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.564,2.56,2.614,2.614,2.64
"51",19900314,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.552,2.526,2.584,2.584,2.604
"52",19900315,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.576,2.536,2.592,2.592,2.612
"53",19900316,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.584,2.55,2.606,2.606,2.626
"54",19900319,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.616,2.586,2.636,2.636,2.656
"55",19900320,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.642,2.592,2.644,2.644,2.664
"56",19900321,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.616,2.572,2.624,2.624,2.642
"57",19900322,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.63,2.576,2.63,2.63,2.652
"58",19900323,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.622,2.562,2.616,2.616,2.642
"59",19900326,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.644,2.572,2.622,2.622,2.644
"60",19900327,"CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01",2.644,2.562,2.614,2.614,2.636
