,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL5,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value,CL5.value
1,19900102,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.756,5.9,6.022,6.134,6.224,6.334
2,19900103,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.814,5.946,6.07,6.166,6.264,6.36
3,19900104,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.764,5.902,6.024,6.15,6.254,6.352
4,19900105,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.77,5.902,6.016,6.144,6.25,6.344
5,19900108,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.834,5.962,6.076,6.166,6.264,6.364
6,19900109,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.826,5.962,6.08,6.182,6.282,6.384
7,19900110,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.796,5.932,6.052,6.142,6.234,6.34
8,19900111,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.82,5.954,6.072,6.142,6.23,6.334
9,19900112,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.776,5.912,6.032,6.136,6.23,6.334
10,19900115,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.756,5.892,6.02,6.116,6.22,6.32
11,19900116,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.68,5.814,5.93,6.014,6.11,6.22
12,19900117,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.674,5.812,5.924,6.004,6.09,6.2
13,19900118,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.702,5.836,5.952,6.022,6.12,6.23
14,19900119,SSAH90.b01,SSAH90.b01,SSAK90.b01,SSAN90.b01,SSAX90.b01,SSAF91.b01,SSAH91.b01,5.654,5.786,5.892,5.992,6.1,6.21
