YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,CH90,2.39,2.39,2.376,2.376,-0.358,0.02
19900103,CH90,2.374,2.384,2.37,2.384,-0.358,0.014
19900104,CH90,2.386,2.394,2.376,2.382,-0.358,0.018
19900105,CH90,2.376,2.384,2.374,2.376,-0.358,0.01
19900108,CH90,2.382,2.39,2.374,2.39,-0.358,0.016
19900109,CH90,2.386,2.39,2.38,2.386,-0.358,0.01
19900110,CH90,2.384,2.384,2.374,2.38,-0.358,0.012
19900111,CH90,2.38,2.384,2.38,2.384,-0.358,0.004
19900112,CH90,2.42,2.44,2.412,2.422,-0.358,0.056
19900115,CH90,2.422,2.442,2.414,2.436,-0.358,0.028
19900116,CH90,2.43,2.43,2.42,2.424,-0.358,0.016
19900117,CH90,2.416,2.424,2.412,2.414,-0.358,0.012
19900118,CH90,2.414,2.422,2.412,2.42,-0.358,0.01
19900119,CH90,2.414,2.42,2.414,2.416,-0.358,0.006
19900122,CH90,2.414,2.414,2.402,2.404,-0.358,0.014
19900123,CH90,2.404,2.41,2.396,2.41,-0.358,0.014
19900124,CH90,2.406,2.416,2.402,2.406,-0.358,0.014
19900125,CH90,2.404,2.404,2.39,2.392,-0.358,0.016
19900126,CH90,2.392,2.394,2.382,2.382,-0.358,0.012
19900129,CH90,2.374,2.394,2.36,2.394,-0.358,0.034
19900130,CH90,2.396,2.396,2.382,2.384,-0.358,0.014
19900131,CH90,2.382,2.386,2.376,2.382,-0.358,0.01
19900201,CH90,2.384,2.384,2.372,2.374,-0.358,0.012
19900202,CH90,2.374,2.376,2.366,2.366,-0.358,0.01
19900205,CH90,2.364,2.372,2.362,2.364,-0.358,0.01
19900206,CH90,2.366,2.384,2.364,2.376,-0.358,0.02
19900207,CH90,2.384,2.394,2.38,2.392,-0.358,0.018
19900208,CH90,2.392,2.394,2.384,2.39,-0.358,0.01
19900209,CH90,2.39,2.4,2.384,2.394,-0.358,0.016
19900212,CH90,2.404,2.424,2.402,2.42,-0.358,0.03
19900213,CH90,2.412,2.426,2.412,2.416,-0.358,0.014
19900214,CH90,2.414,2.43,2.412,2.43,-0.358,0.018
19900215,CH90,2.43,2.442,2.424,2.426,-0.358,0.018
19900216,CH90,2.426,2.426,2.41,2.412,-0.358,0.016
19900220,CH90,2.412,2.414,2.404,2.414,-0.358,0.01
19900221,CH90,2.414,2.432,2.41,2.43,-0.358,0.022
19900222,CH90,2.426,2.464,2.42,2.45,-0.358,0.044
19900223,CH90,2.45,2.462,2.444,2.456,-0.358,0.018
19900226,CH90,2.452,2.462,2.45,2.46,-0.358,0.012
19900227,CK90,2.526,2.526,2.512,2.514,-0.426,0.016
19900228,CK90,2.51,2.534,2.506,2.532,-0.426,0.028
19900301,CK90,2.534,2.552,2.524,2.526,-0.426,0.028
19900302,CK90,2.524,2.526,2.514,2.524,-0.426,0.012
19900305,CK90,2.52,2.524,2.514,2.52,-0.426,0.01
19900306,CK90,2.516,2.526,2.51,2.51,-0.426,0.016
19900307,CK90,2.504,2.512,2.49,2.492,-0.426,0.022
19900308,CK90,2.49,2.5,2.48,2.494,-0.426,0.02
19900309,CK90,2.492,2.512,2.49,2.504,-0.426,0.022
19900312,CK90,2.5,2.536,2.49,2.536,-0.426,0.046
19900313,CK90,2.526,2.54,2.512,2.514,-0.426,0.028
19900314,CK90,2.5,2.514,2.494,2.506,-0.426,0.02
19900315,CK90,2.5,2.536,2.496,2.532,-0.426,0.04
19900316,CK90,2.53,2.536,2.524,2.536,-0.426,0.012
19900319,CK90,2.534,2.572,2.534,2.57,-0.426,0.038
19900320,CK90,2.58,2.592,2.56,2.592,-0.426,0.032
19900321,CK90,2.584,2.592,2.572,2.572,-0.426,0.02
19900322,CK90,2.574,2.604,2.566,2.586,-0.426,0.038
19900323,CK90,2.58,2.584,2.572,2.584,-0.426,0.014
19900326,CK90,2.576,2.614,2.572,2.606,-0.426,0.042
19900327,CK90,2.61,2.616,2.604,2.612,-0.426,0.012
19900328,CK90,2.606,2.612,2.586,2.592,-0.426,0.026
19900329,CK90,2.6,2.604,2.582,2.6,-0.426,0.022
19900330,CK90,2.602,2.614,2.6,2.612,-0.426,0.014
19900402,CK90,2.63,2.646,2.622,2.634,-0.426,0.034
19900403,CK90,2.634,2.664,2.626,2.664,-0.426,0.038
19900404,CK90,2.672,2.69,2.664,2.682,-0.426,0.026
19900405,CK90,2.68,2.702,2.674,2.702,-0.426,0.028
19900406,CK90,2.714,2.73,2.68,2.692,-0.426,0.05
19900409,CK90,2.69,2.702,2.682,2.694,-0.426,0.02
19900410,CK90,2.696,2.726,2.692,2.726,-0.426,0.034
19900411,CK90,2.74,2.74,2.704,2.712,-0.426,0.036
19900412,CK90,2.706,2.706,2.686,2.694,-0.426,0.026
19900416,CK90,2.686,2.722,2.674,2.722,-0.426,0.048
19900417,CK90,2.72,2.75,2.714,2.74,-0.426,0.036
19900418,CK90,2.744,2.754,2.734,2.736,-0.426,0.02
