YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,SH90,5.82,5.82,5.75,5.756,-0.096,0.072
19900103,SH90,5.75,5.82,5.742,5.814,-0.096,0.078
19900104,SH90,5.83,5.842,5.764,5.764,-0.096,0.078
19900105,SH90,5.754,5.794,5.744,5.77,-0.096,0.05
19900108,SH90,5.784,5.836,5.78,5.834,-0.096,0.066
19900109,SH90,5.83,5.844,5.814,5.826,-0.096,0.03
19900110,SH90,5.82,5.824,5.78,5.796,-0.096,0.046
19900111,SH90,5.81,5.832,5.802,5.82,-0.096,0.036
19900112,SH90,5.85,5.864,5.77,5.776,-0.096,0.094
19900115,SH90,5.77,5.784,5.756,5.756,-0.096,0.028
19900116,SH90,5.744,5.752,5.68,5.68,-0.096,0.076
19900117,SH90,5.674,5.714,5.67,5.674,-0.096,0.044
19900118,SH90,5.684,5.71,5.67,5.702,-0.096,0.04
19900119,SH90,5.704,5.704,5.654,5.654,-0.096,0.05
19900122,SH90,5.644,5.67,5.616,5.66,-0.096,0.054
19900123,SH90,5.664,5.684,5.654,5.672,-0.096,0.03
19900124,SH90,5.67,5.714,5.65,5.66,-0.096,0.064
19900125,SH90,5.644,5.654,5.582,5.582,-0.096,0.078
19900126,SH90,5.59,5.61,5.574,5.584,-0.096,0.036
19900129,SH90,5.564,5.634,5.534,5.634,-0.096,0.1
19900130,SH90,5.64,5.644,5.57,5.584,-0.096,0.074
19900131,SH90,5.59,5.632,5.58,5.61,-0.096,0.052
19900201,SH90,5.614,5.67,5.594,5.596,-0.096,0.076
19900202,SH90,5.59,5.614,5.584,5.602,-0.096,0.03
19900205,SH90,5.614,5.632,5.582,5.582,-0.096,0.05
19900206,SH90,5.584,5.626,5.574,5.626,-0.096,0.052
19900207,SH90,5.634,5.684,5.634,5.676,-0.096,0.058
19900208,SH90,5.67,5.684,5.644,5.646,-0.096,0.04
19900209,SH90,5.66,5.7,5.644,5.666,-0.096,0.056
19900212,SH90,5.68,5.694,5.65,5.652,-0.096,0.044
19900213,SH90,5.64,5.664,5.634,5.64,-0.096,0.03
19900214,SH90,5.64,5.674,5.632,5.666,-0.096,0.042
19900215,SH90,5.684,5.714,5.676,5.71,-0.096,0.048
19900216,SH90,5.7,5.712,5.68,5.696,-0.096,0.032
19900220,SH90,5.69,5.706,5.66,5.662,-0.096,0.046
19900221,SK90,5.78,5.854,5.772,5.832,-0.208,0.082
19900222,SK90,5.82,5.834,5.796,5.802,-0.208,0.038
19900223,SK90,5.814,5.814,5.774,5.776,-0.208,0.04
19900226,SK90,5.77,5.77,5.726,5.742,-0.208,0.05
19900227,SK90,5.73,5.762,5.73,5.746,-0.208,0.032
19900228,SK90,5.74,5.81,5.736,5.806,-0.208,0.074
19900301,SK90,5.804,5.87,5.8,5.81,-0.208,0.07
19900302,SK90,5.814,5.826,5.774,5.826,-0.208,0.052
19900305,SK90,5.83,5.85,5.814,5.842,-0.208,0.036
19900306,SK90,5.844,5.932,5.83,5.914,-0.208,0.102
19900307,SK90,5.914,5.942,5.894,5.904,-0.208,0.048
19900308,SK90,5.9,5.944,5.882,5.944,-0.208,0.062
19900309,SK90,5.95,6.002,5.936,6.002,-0.208,0.066
19900312,SK90,5.99,5.99,5.922,5.95,-0.208,0.08
19900313,SK90,5.944,5.972,5.9,5.9,-0.208,0.072
19900314,SK90,5.88,5.882,5.84,5.84,-0.208,0.06
19900315,SK90,5.83,5.96,5.826,5.96,-0.208,0.134
19900316,SK90,5.96,5.984,5.904,5.932,-0.208,0.08
19900319,SK90,5.9,6.03,5.88,6,-0.208,0.15
19900320,SK90,6.004,6.036,5.976,6.026,-0.208,0.06
19900321,SK90,6.034,6.062,6.01,6.022,-0.208,0.052
19900322,SK90,6.044,6.062,6.02,6.05,-0.208,0.042
19900323,SK90,6.034,6.034,5.95,5.98,-0.208,0.1
19900326,SK90,5.964,6.05,5.942,6.034,-0.208,0.108
19900327,SK90,6.03,6.056,6.002,6.002,-0.208,0.054
19900328,SK90,5.98,5.992,5.884,5.886,-0.208,0.118
19900329,SK90,5.89,5.936,5.88,5.894,-0.208,0.056
19900330,SN90,6.03,6.086,6.02,6.082,-0.344,0.066
19900402,SN90,6.064,6.084,5.98,5.98,-0.344,0.104
19900403,SN90,5.98,6.006,5.95,5.994,-0.344,0.056
19900404,SN90,5.994,6.082,5.994,6.046,-0.344,0.088
19900405,SN90,6.05,6.096,6.034,6.096,-0.344,0.062
19900406,SN90,6.154,6.154,6.042,6.084,-0.344,0.112
19900409,SN90,6.09,6.106,6.052,6.056,-0.344,0.054
19900410,SN90,6.054,6.066,6.02,6.05,-0.344,0.046
19900411,SN90,6.04,6.08,6.026,6.066,-0.344,0.054
19900412,SN90,6.06,6.06,6.002,6.012,-0.344,0.064
19900416,SN90,6.01,6.054,5.964,6.052,-0.344,0.09
19900417,SN90,6.05,6.11,6.04,6.106,-0.344,0.07
19900418,SN90,6.124,6.146,6.082,6.082,-0.344,0.064
19900419,SN90,6.092,6.154,6.076,6.146,-0.344,0.078
19900420,SN90,6.15,6.204,6.122,6.194,-0.344,0.082
19900423,SN90,6.21,6.244,6.172,6.204,-0.344,0.072
19900424,SN90,6.174,6.19,6.13,6.132,-0.344,0.074
19900425,SN90,6.134,6.262,6.126,6.262,-0.344,0.136
19900426,SN90,6.242,6.434,6.242,6.424,-0.344,0.192
19900427,SN90,6.4,6.55,6.38,6.51,-0.344,0.17
19900430,SN90,6.49,6.524,6.45,6.484,-0.344,0.074
19900501,SN90,6.48,6.714,6.41,6.434,-0.344,0.304
19900502,SN90,6.43,6.524,6.404,6.516,-0.344,0.12
19900503,SN90,6.51,6.516,6.43,6.44,-0.344,0.086
19900504,SN90,6.474,6.474,6.404,6.404,-0.344,0.07
19900507,SN90,6.39,6.584,6.35,6.506,-0.344,0.234
19900508,SN90,6.51,6.56,6.454,6.464,-0.344,0.106
19900509,SN90,6.444,6.61,6.444,6.594,-0.344,0.166
19900510,SN90,6.584,6.642,6.566,6.604,-0.344,0.076
19900511,SN90,6.6,6.63,6.35,6.436,-0.344,0.28
19900514,SN90,6.42,6.48,6.324,6.356,-0.344,0.156
19900515,SN90,6.36,6.384,6.224,6.25,-0.344,0.16
19900516,SN90,6.29,6.31,6.24,6.252,-0.344,0.07
19900517,SN90,6.244,6.33,6.244,6.31,-0.344,0.086
19900518,SN90,6.33,6.33,6.2,6.206,-0.344,0.13
19900521,SN90,6.18,6.18,6.104,6.104,-0.344,0.102
19900522,SN90,6.124,6.17,6.09,6.09,-0.344,0.08
19900523,SN90,6.08,6.144,6.076,6.086,-0.344,0.068
19900524,SN90,6.12,6.184,6.12,6.154,-0.344,0.098
19900525,SN90,6.174,6.22,6.174,6.19,-0.344,0.066
19900529,SN90,6.21,6.23,6.044,6.06,-0.344,0.186
19900530,SN90,6.06,6.092,6.044,6.052,-0.344,0.048
19900531,SN90,6.054,6.104,6.04,6.072,-0.344,0.064
19900601,SN90,6.084,6.094,6,6.02,-0.344,0.094
19900604,SN90,6.01,6.01,5.884,5.926,-0.344,0.136
19900605,SN90,5.94,5.97,5.906,5.926,-0.344,0.064
19900606,SN90,5.95,6.03,5.94,5.94,-0.344,0.104
19900607,SN90,5.95,6.074,5.946,6.026,-0.344,0.134
19900608,SN90,6.024,6.07,5.992,6,-0.344,0.078
19900611,SN90,5.96,6.09,5.95,6.082,-0.344,0.14
19900612,SN90,6.07,6.102,6.04,6.074,-0.344,0.062
19900613,SX90,6.274,6.294,6.21,6.232,-0.512,0.084
19900614,SX90,6.19,6.19,6.05,6.086,-0.512,0.182
19900615,SX90,6.094,6.13,6.036,6.036,-0.512,0.094
