YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,WH90,4.08,4.106,4.072,4.086,-0.27,0.034
19900103,WH90,4.074,4.1,4.07,4.1,-0.27,0.03
19900104,WH90,4.096,4.11,4.084,4.092,-0.27,0.026
19900105,WH90,4.08,4.104,4.076,4.096,-0.27,0.028
19900108,WH90,4.114,4.12,4.1,4.1,-0.27,0.024
19900109,WH90,4.09,4.09,4.062,4.066,-0.27,0.038
19900110,WH90,4.06,4.062,4.032,4.054,-0.27,0.034
19900111,WH90,4.06,4.072,4.03,4.046,-0.27,0.042
19900112,WH90,4.074,4.074,4.006,4.014,-0.27,0.068
19900115,WH90,4.01,4.014,3.976,3.994,-0.27,0.038
19900116,WH90,3.994,4.01,3.976,3.982,-0.27,0.034
19900117,WH90,3.98,4.01,3.972,4.01,-0.27,0.038
19900118,WH90,4.02,4.02,3.96,3.976,-0.27,0.06
19900119,WH90,3.97,3.97,3.92,3.92,-0.27,0.056
19900122,WH90,3.914,3.942,3.912,3.924,-0.27,0.03
19900123,WH90,3.93,3.936,3.914,3.926,-0.27,0.022
19900124,WH90,3.916,3.934,3.914,3.914,-0.27,0.02
19900125,WH90,3.89,3.9,3.842,3.854,-0.27,0.072
19900126,WH90,3.854,3.864,3.812,3.812,-0.27,0.052
19900129,WH90,3.806,3.822,3.716,3.786,-0.27,0.106
19900130,WH90,3.802,3.802,3.752,3.76,-0.27,0.05
19900131,WH90,3.77,3.79,3.75,3.756,-0.27,0.04
19900201,WH90,3.754,3.774,3.732,3.752,-0.27,0.042
19900202,WH90,3.742,3.794,3.742,3.79,-0.27,0.052
19900205,WH90,3.8,3.836,3.8,3.834,-0.27,0.046
19900206,WH90,3.82,3.842,3.812,3.826,-0.27,0.03
19900207,WH90,3.84,3.85,3.826,3.83,-0.27,0.024
19900208,WH90,3.826,3.83,3.804,3.824,-0.27,0.026
19900209,WH90,3.834,3.88,3.834,3.866,-0.27,0.056
19900212,WH90,3.874,3.902,3.874,3.9,-0.27,0.036
19900213,WH90,3.894,3.894,3.852,3.854,-0.27,0.048
19900214,WH90,3.85,3.876,3.83,3.872,-0.27,0.046
19900215,WH90,3.882,3.89,3.842,3.862,-0.27,0.048
19900216,WH90,3.862,3.876,3.84,3.84,-0.27,0.036
19900220,WH90,3.82,3.834,3.81,3.822,-0.27,0.03
19900221,WH90,3.81,3.85,3.802,3.844,-0.27,0.048
19900222,WH90,3.854,3.9,3.844,3.894,-0.27,0.056
19900223,WH90,3.89,3.94,3.884,3.94,-0.27,0.056
19900226,WH90,3.94,3.966,3.934,3.962,-0.27,0.032
19900227,WH90,3.962,3.982,3.914,3.942,-0.27,0.068
19900228,WH90,3.94,3.96,3.912,3.932,-0.27,0.048
19900301,WK90,3.62,3.62,3.57,3.572,0.04,0.052
19900302,WK90,3.56,3.594,3.544,3.552,0.04,0.05
19900305,WK90,3.55,3.55,3.51,3.512,0.04,0.042
19900306,WK90,3.496,3.544,3.496,3.51,0.04,0.048
19900307,WK90,3.506,3.534,3.504,3.53,0.04,0.03
19900308,WK90,3.524,3.554,3.52,3.554,0.04,0.034
19900309,WK90,3.55,3.55,3.524,3.536,0.04,0.03
19900312,WK90,3.522,3.53,3.494,3.526,0.04,0.042
19900313,WK90,3.52,3.53,3.482,3.486,0.04,0.048
19900314,WK90,3.484,3.51,3.472,3.51,0.04,0.038
19900315,WK90,3.506,3.534,3.506,3.526,0.04,0.028
19900316,WK90,3.54,3.544,3.524,3.542,0.04,0.02
19900319,WK90,3.544,3.59,3.542,3.59,0.04,0.048
19900320,WK90,3.594,3.614,3.584,3.61,0.04,0.03
19900321,WK90,3.62,3.63,3.572,3.592,0.04,0.058
19900322,WK90,3.594,3.594,3.57,3.586,0.04,0.024
19900323,WK90,3.584,3.584,3.556,3.566,0.04,0.03
19900326,WK90,3.564,3.596,3.554,3.59,0.04,0.042
19900327,WK90,3.59,3.59,3.55,3.55,0.04,0.04
19900328,WK90,3.55,3.55,3.494,3.5,0.04,0.056
19900329,WK90,3.47,3.53,3.47,3.53,0.04,0.06
19900330,WK90,3.53,3.532,3.494,3.516,0.04,0.038
19900402,WK90,3.534,3.564,3.532,3.556,0.04,0.048
19900403,WK90,3.56,3.614,3.554,3.614,0.04,0.06
19900404,WK90,3.634,3.744,3.634,3.696,0.04,0.13
19900405,WN90,3.442,3.454,3.424,3.442,0.29,0.03
19900406,WN90,3.45,3.456,3.402,3.406,0.29,0.054
19900409,WN90,3.404,3.442,3.386,3.386,0.29,0.056
19900410,WN90,3.384,3.404,3.37,3.384,0.29,0.034
19900411,WN90,3.394,3.402,3.374,3.394,0.29,0.028
19900412,WN90,3.384,3.41,3.376,3.392,0.29,0.034
19900416,WN90,3.39,3.43,3.382,3.43,0.29,0.048
19900417,WN90,3.45,3.45,3.416,3.426,0.29,0.034
19900418,WN90,3.424,3.43,3.41,3.412,0.29,0.02
19900419,WN90,3.4,3.426,3.396,3.424,0.29,0.03
19900420,WN90,3.434,3.44,3.412,3.412,0.29,0.028
19900423,WN90,3.41,3.41,3.382,3.382,0.29,0.03
19900424,WN90,3.364,3.37,3.326,3.332,0.29,0.056
19900425,WN90,3.32,3.344,3.32,3.334,0.29,0.024
19900426,WN90,3.336,3.36,3.324,3.354,0.29,0.036
19900427,WN90,3.344,3.414,3.336,3.41,0.29,0.078
19900430,WN90,3.4,3.456,3.4,3.456,0.29,0.056
19900501,WN90,3.464,3.54,3.41,3.416,0.29,0.13
19900502,WN90,3.446,3.476,3.44,3.474,0.29,0.06
19900503,WN90,3.474,3.5,3.46,3.466,0.29,0.04
