"","Date","Security_ID","Month0_Raw_Price","Month1_Raw_Price","Month5_Raw_Price","Month1_Minus_Month0","Month5_Minus_Month0","TR20","Adj.Price","AdjustedLCPrice30","AdjustedLCPrice60","AdjustedLCPrice90","Return30","Return60","Return90"
"1",19900129,60,5.634,5.754,6.17,0.119999999999999,0.536,0.0575,5.538,5.692,5.918,5.682,2.67826086956522,6.60869565217389,2.50434782608694
"2",19900130,60,5.584,5.716,6.15,0.132000000000001,0.566000000000001,0.0576,5.488,5.632,6.08,5.656,2.5,10.2777777777778,2.91666666666667
"3",19900131,60,5.61,5.734,6.16,0.124,0.55,0.0563,5.514,5.752,6.166,5.738,4.22735346358791,11.5808170515098,3.97868561278862
"4",19900201,60,5.596,5.72,6.13,0.124,0.534,0.0562,5.5,5.724,6.14,5.73,3.98576512455516,11.3879003558719,4.09252669039145
"5",19900202,60,5.602,5.724,6.12,0.122,0.518,0.0552,5.506,5.792,6.09,5.72,5.18115942028985,10.5797101449275,3.87681159420291
"6",19900205,60,5.582,5.712,6.12,0.13,0.538,0.0544,5.486,5.818,6.172,5.574,6.10294117647059,12.6102941176471,1.61764705882353
"7",19900206,60,5.626,5.746,6.11,0.12,0.484,0.0555,5.53,5.814,6.096,5.524,5.11711711711711,10.1981981981982,-0.108108108108128
"8",19900207,60,5.676,5.79,6.15,0.114,0.474,0.0561,5.58,5.842,6.06,5.632,4.67023172905525,8.55614973262031,0.926916221033861
"9",19900208,60,5.646,5.762,6.12,0.116,0.474,0.0563,5.55,5.772,6.162,5.604,3.94316163410303,10.8703374777975,0.959147424511534
"10",19900209,60,5.666,5.784,6.15,0.117999999999999,0.484,0.0544,5.57,5.826,6.12,5.662,4.70588235294116,10.1102941176471,1.69117647058824
"11",19900212,60,5.652,5.78,6.16,0.128,0.508,0.0552,5.556,5.794,6.25,5.718,4.31159420289854,12.5724637681159,2.93478260869565
"12",19900213,60,5.64,5.762,6.16,0.122,0.52,0.0529,5.544,5.678,6.26,5.678,2.53308128544424,13.5349716446125,2.53308128544426
"13",19900214,60,5.666,5.79,6.17,0.124,0.504,0.0528,5.57,5.686,6.092,5.842,2.19696969696969,9.88636363636362,5.15151515151515
"14",19900215,60,5.71,5.832,6.2,0.122,0.49,0.0532,5.614,5.738,6.012,5.8,2.33082706766917,7.48120300751879,3.49624060150377
"15",19900216,60,5.696,5.814,6.18,0.118,0.484,0.0523,5.6,5.636,5.906,5.81,0.688336520076491,5.85086042065009,4.01529636711283
"16",19900220,60,5.662,5.78,6.134,0.118,0.472,0.0519,5.566,5.65,5.908,5.81,1.61849710982658,6.58959537572253,4.70134874759153
"17",19900221,60,5.832,5.94,6.244,0.108000000000001,0.412,0.0545,5.624,5.702,5.966,5.992,1.43119266055046,6.27522935779816,6.75229357798164
"18",19900222,60,5.802,5.912,6.244,0.11,0.442,0.0532,5.594,5.752,5.862,6.208,2.96992481203008,5.03759398496242,11.5413533834587
"19",19900223,60,5.776,5.886,6.224,0.11,0.448,0.0513,5.568,5.74,5.76,6.252,3.35282651072124,3.74269005847954,13.3333333333334
"20",19900226,60,5.742,5.856,6.214,0.114,0.472,0.052,5.534,5.712,5.746,6.04,3.42307692307692,4.07692307692307,9.73076923076922
"21",19900227,60,5.746,5.862,6.194,0.116,0.448,0.0486,5.538,5.706,5.742,5.934,3.45679012345677,4.19753086419753,8.14814814814813
"22",19900228,60,5.806,5.924,6.27,0.118,0.464,0.0486,5.598,5.722,5.81,5.902,2.5514403292181,4.36213991769547,6.2551440329218
"23",19900301,60,5.81,5.93,6.264,0.12,0.454000000000001,0.0495,5.602,5.668,5.846,5.902,1.33333333333333,4.92929292929294,6.06060606060606
"24",19900302,60,5.826,5.952,6.29,0.126,0.464,0.0483,5.618,5.708,5.716,5.822,1.86335403726708,2.02898550724637,4.22360248447204
"25",19900305,60,5.842,5.966,6.294,0.124000000000001,0.452,0.0486,5.634,5.762,5.708,5.792,2.63374485596708,1.52263374485596,3.25102880658437
"26",19900306,60,5.914,6.04,6.37,0.126,0.456,0.0512,5.706,5.738,5.728,5.812,0.625000000000001,0.429687500000005,2.0703125
"27",19900307,60,5.904,6.026,6.39,0.122,0.486,0.051,5.696,5.802,5.676,5.672,2.07843137254902,-0.392156862745107,-0.470588235294101
"28",19900308,60,5.944,6.074,6.44,0.13,0.496,0.0512,5.736,5.85,5.582,5.648,2.2265625,-3.0078125,-1.71875
"29",19900309,60,6.002,6.132,6.48,0.13,0.478000000000001,0.0525,5.794,5.86,5.582,5.672,1.25714285714285,-4.03809523809523,-2.3238095238095
"30",19900312,60,5.95,6.082,6.444,0.132,0.494,0.0537,5.742,5.788,5.596,5.678,0.856610800744868,-2.71880819366853,-1.19180633147112
"31",19900313,60,5.9,6.03,6.4,0.13,0.5,0.0551,5.692,5.918,5.682,5.51,4.10163339382938,-0.1814882032668,-3.30308529945554
"32",19900314,60,5.84,5.97,6.324,0.13,0.484,0.0566,5.632,6.08,5.656,5.542,7.91519434628976,0.424028268551237,-1.59010600706714
"33",19900315,60,5.96,6.084,6.42,0.124,0.46,0.0612,5.752,6.166,5.738,5.482,6.76470588235294,-0.228758169934644,-4.41176470588236
"34",19900316,60,5.932,6.064,6.42,0.132,0.488,0.0628,5.724,6.14,5.73,5.48,6.62420382165604,0.0955414012738748,-3.88535031847133
"35",19900319,60,6,6.14,6.5,0.14,0.5,0.0687,5.792,6.09,5.72,5.58,4.33770014556041,-1.0480349344978,-3.08588064046579
"36",19900320,60,6.026,6.16,6.53,0.134,0.504,0.0694,5.818,6.172,5.574,5.482,5.10086455331412,-3.51585014409222,-4.84149855907781
"37",19900321,60,6.022,6.154,6.514,0.132,0.492,0.0679,5.814,6.096,5.524,5.532,4.15316642120766,-4.27098674521356,-4.15316642120766
"38",19900322,60,6.05,6.176,6.51,0.126,0.46,0.0681,5.842,6.06,5.632,5.588,3.20117474302496,-3.08370044052863,-3.72980910425845
"39",19900323,60,5.98,6.114,6.46,0.133999999999999,0.48,0.0711,5.772,6.162,5.604,5.452,5.48523206751054,-2.36286919831225,-4.50070323488045
"40",19900326,60,6.034,6.174,6.51,0.140000000000001,0.476,0.074,5.826,6.12,5.662,5.438,3.97297297297298,-2.2162162162162,-5.24324324324323
"41",19900327,60,6.002,6.136,6.47,0.134,0.468,0.0751,5.794,6.25,5.718,5.462,6.07190412782957,-1.01198402130492,-4.4207723035952
"42",19900328,60,5.886,6.02,6.38,0.133999999999999,0.494,0.0773,5.678,6.26,5.678,5.572,7.52910737386804,1.14900183661077e-14,-1.3712807244502
"43",19900329,60,5.894,6.034,6.406,0.14,0.512,0.0766,5.686,6.092,5.842,5.58,5.30026109660574,2.03655352480418,-1.38381201044386
"44",19900330,60,6.082,6.214,NA,0.132000000000001,NA,0.0773,5.738,6.012,5.8,5.56,3.54463130659767,0.802069857697298,-2.30271668822767
"45",19900402,60,5.98,6.094,6.39,0.114,0.409999999999999,0.0807,5.636,5.906,5.81,5.622,3.34572490706319,2.15613382899629,-0.173482032218095
"46",19900403,60,5.994,6.114,6.43,0.12,0.436,0.0784,5.65,5.908,5.81,5.748,3.29081632653061,2.04081632653063,1.25
"47",19900404,60,6.046,6.15,6.45,0.104,0.404,0.0804,5.702,5.966,5.992,5.682,3.28358208955223,3.60696517412934,-0.248756218905467
"48",19900405,60,6.096,6.184,6.494,0.0880000000000001,0.398,0.0804,5.752,5.862,6.208,5.744,1.3681592039801,5.67164179104478,-0.0995024875621891
"49",19900406,60,6.084,6.174,6.46,0.0900000000000007,0.376,0.0827,5.74,5.76,6.252,5.758,0.24183796856107,6.19105199516326,0.217654171704955
"50",19900409,60,6.056,6.166,6.48,0.11,0.424,0.0814,5.712,5.746,6.04,5.758,0.417690417690415,4.02948402948402,0.565110565110557
"51",19900410,60,6.05,6.15,6.464,0.100000000000001,0.414000000000001,0.0801,5.706,5.742,5.934,5.774,0.449438202247197,2.84644194756554,0.848938826466911
"52",19900411,60,6.066,6.17,6.51,0.104,0.444,0.0798,5.722,5.81,5.902,5.732,1.10275689223058,2.25563909774436,0.125313283208017
"53",19900412,60,6.012,6.13,6.47,0.118,0.458,0.0763,5.668,5.846,5.902,5.742,2.33289646133684,3.06684141546527,0.969855832241151
"54",19900416,60,6.052,6.182,6.51,0.130000000000001,0.458,0.0768,5.708,5.716,5.822,5.78,0.104166666666667,1.484375,0.937500000000001
"55",19900417,60,6.106,6.234,6.56,0.128,0.454,0.0728,5.762,5.708,5.792,5.902,-0.741758241758245,0.412087912087916,1.92307692307692
"56",19900418,60,6.082,6.21,6.524,0.128,0.442,0.073,5.738,5.728,5.812,5.932,-0.13698630136986,1.01369863013698,2.65753424657535
"57",19900419,60,6.146,6.25,6.57,0.104,0.424,0.0743,5.802,5.676,5.672,5.822,-1.69582772543742,-1.74966352624494,0.269179004037679
"58",19900420,60,6.194,6.3,6.614,0.106,0.42,0.0763,5.85,5.582,5.648,5.832,-3.51245085190039,-2.64744429882044,-0.235910878112699
"59",19900423,60,6.204,6.32,6.63,0.116000000000001,0.426,0.0749,5.86,5.582,5.672,5.682,-3.71161548731642,-2.51001335113483,-2.37650200267021
"60",19900424,60,6.132,6.26,6.58,0.128,0.448,0.0732,5.788,5.596,5.678,5.658,-2.62295081967212,-1.50273224043714,-1.775956284153
