YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,SIH90,5.24,5.345,5.23,5.245,-1.328,0.115
19900103,SIH90,5.23,5.255,5.18,5.235,-1.328,0.075
19900104,SIH90,5.265,5.333,5.265,5.33,-1.328,0.098
19900105,SIH90,5.34,5.38,5.28,5.335,-1.328,0.1
19900108,SIH90,5.335,5.375,5.32,5.355,-1.328,0.055
19900109,SIH90,5.31,5.325,5.27,5.285,-1.328,0.085
19900110,SIH90,5.32,5.38,5.32,5.36,-1.328,0.095
19900111,SIH90,5.365,5.41,5.345,5.37,-1.328,0.065
19900112,SIH90,5.39,5.445,5.385,5.42,-1.328,0.075
19900115,SIH90,5.39,5.39,5.28,5.3,-1.328,0.14
19900116,SIH90,5.285,5.34,5.255,5.285,-1.328,0.085
19900117,SIH90,5.275,5.3,5.255,5.294,-1.328,0.045
19900118,SIH90,5.32,5.33,5.25,5.26,-1.328,0.08
19900119,SIH90,5.23,5.275,5.22,5.26,-1.328,0.055
19900122,SIH90,5.235,5.26,5.201,5.26,-1.328,0.059
19900123,SIH90,5.31,5.355,5.295,5.325,-1.328,0.095
19900124,SIH90,5.385,5.41,5.305,5.305,-1.328,0.105
19900125,SIH90,5.25,5.29,5.245,5.265,-1.328,0.06
19900126,SIH90,5.3,5.34,5.23,5.29,-1.328,0.11
19900129,SIH90,5.27,5.27,5.22,5.25,-1.328,0.07
19900130,SIH90,5.245,5.28,5.23,5.25,-1.328,0.05
19900131,SIH90,5.23,5.25,5.2,5.24,-1.328,0.05
19900201,SIH90,5.235,5.315,5.235,5.28,-1.328,0.08
19900202,SIH90,5.328,5.359,5.296,5.322,-1.328,0.079
19900205,SIH90,5.35,5.405,5.34,5.39,-1.328,0.083
19900206,SIH90,5.34,5.36,5.311,5.33,-1.328,0.079
19900207,SIH90,5.32,5.435,5.32,5.395,-1.328,0.115
19900208,SIH90,5.335,5.365,5.315,5.35,-1.328,0.08
19900209,SIH90,5.325,5.33,5.265,5.29,-1.328,0.085
19900212,SIH90,5.29,5.344,5.29,5.305,-1.328,0.054
19900213,SIH90,5.35,5.39,5.325,5.325,-1.328,0.085
19900214,SIH90,5.3,5.35,5.291,5.33,-1.328,0.059
19900215,SIH90,5.341,5.384,5.325,5.33,-1.328,0.059
19900216,SIH90,5.34,5.384,5.315,5.35,-1.328,0.069
19900220,SIH90,5.36,5.37,5.32,5.33,-1.328,0.05
19900221,SIH90,5.35,5.37,5.295,5.32,-1.328,0.075
19900222,SIH90,5.28,5.295,5.265,5.285,-1.328,0.055
19900223,SIH90,5.26,5.28,5.24,5.25,-1.328,0.045
19900226,SIH90,5.23,5.239,5.13,5.135,-1.328,0.12
19900227,SIK90,5.23,5.245,5.15,5.175,-1.413,0.11
19900228,SIK90,5.18,5.2,5.15,5.164,-1.413,0.05
19900301,SIK90,5.21,5.235,5.195,5.2,-1.413,0.071
19900302,SIK90,5.22,5.225,5.18,5.2,-1.413,0.045
19900305,SIK90,5.195,5.21,5.17,5.195,-1.413,0.04
19900306,SIK90,5.2,5.22,5.185,5.195,-1.413,0.035
19900307,SIK90,5.18,5.21,5.18,5.195,-1.413,0.03
19900308,SIK90,5.2,5.225,5.195,5.215,-1.413,0.03
19900309,SIK90,5.155,5.169,5.145,5.155,-1.413,0.07
19900312,SIK90,5.17,5.19,5.075,5.105,-1.413,0.115
19900313,SIK90,5.095,5.119,5.085,5.105,-1.413,0.034
19900314,SIK90,5.12,5.148,5.12,5.14,-1.413,0.043
19900315,SIK90,5.138,5.175,5.13,5.17,-1.413,0.045
19900316,SIK90,5.15,5.185,5.15,5.159,-1.413,0.035
19900319,SIK90,5.17,5.18,5.15,5.155,-1.413,0.03
19900320,SIK90,5.155,5.165,5.082,5.1,-1.413,0.083
19900321,SIK90,5.08,5.12,5.065,5.11,-1.413,0.055
19900322,SIK90,5.1,5.13,5.095,5.121,-1.413,0.035
19900323,SIK90,5.125,5.15,5.065,5.084,-1.413,0.085
19900326,SIK90,4.96,5.01,4.9,5.005,-1.413,0.184
19900327,SIK90,4.99,5.005,4.965,4.995,-1.413,0.04
19900328,SIK90,5.02,5.028,4.945,4.96,-1.413,0.083
19900329,SIK90,4.975,5.01,4.968,4.985,-1.413,0.05
19900330,SIK90,4.985,4.995,4.951,4.98,-1.413,0.044
19900402,SIK90,4.967,4.984,4.955,4.975,-1.413,0.029
19900403,SIK90,5.01,5.04,5.005,5.027,-1.413,0.065
19900404,SIK90,5.029,5.08,5.027,5.08,-1.413,0.053
19900405,SIK90,5.175,5.25,5.16,5.16,-1.413,0.17
19900406,SIK90,5.2,5.21,5.13,5.18,-1.413,0.08
19900409,SIK90,5.155,5.171,5.13,5.145,-1.413,0.05
19900410,SIK90,5.13,5.148,5.085,5.105,-1.413,0.063
19900411,SIK90,5.1,5.14,5.09,5.13,-1.413,0.05
19900412,SIK90,5.15,5.15,5.1,5.12,-1.413,0.05
19900416,SIK90,5.09,5.09,5.03,5.07,-1.413,0.09
19900417,SIK90,5.055,5.13,5.04,5.115,-1.413,0.09
19900418,SIK90,5.095,5.125,5.091,5.1,-1.413,0.034
19900419,SIK90,5.095,5.109,5.072,5.08,-1.413,0.037
19900420,SIK90,5.075,5.11,5.05,5.1,-1.413,0.06
19900423,SIK90,5.09,5.12,5.061,5.105,-1.413,0.059
19900424,SIK90,5.095,5.11,5.085,5.1,-1.413,0.025
19900425,SIN90,5.07,5.08,4.976,5,-1.494,0.124
19900426,SIN90,5.01,5.035,5,5.005,-1.494,0.035
19900427,SIN90,5.005,5.02,4.98,4.98,-1.494,0.04
19900430,SIN90,4.99,4.995,4.97,4.975,-1.494,0.025
19900501,SIN90,5.03,5.13,5.02,5.09,-1.494,0.155
19900502,SIN90,5.08,5.085,5.055,5.07,-1.494,0.035
19900503,SIN90,5.07,5.105,5.065,5.08,-1.494,0.04
19900504,SIN90,5.11,5.131,5.075,5.09,-1.494,0.056
19900507,SIN90,5.095,5.105,5.085,5.095,-1.494,0.02
19900508,SIN90,5.085,5.1,5.04,5.05,-1.494,0.06
19900509,SIN90,5.054,5.07,5.015,5.055,-1.494,0.055
19900510,SIN90,5.085,5.175,5.085,5.145,-1.494,0.12
19900511,SIN90,5.09,5.13,5.08,5.115,-1.494,0.065
19900514,SIN90,5.1,5.288,5.095,5.273,-1.494,0.193
19900515,SIN90,5.08,5.115,5.055,5.065,-1.494,0.218
19900516,SIN90,5.06,5.08,5.051,5.051,-1.494,0.029
19900517,SIN90,5.075,5.099,5.065,5.095,-1.494,0.048
19900518,SIN90,5.097,5.114,5.087,5.11,-1.494,0.027
19900521,SIN90,5.19,5.2,5.15,5.16,-1.494,0.09
19900522,SIN90,5.17,5.245,5.165,5.225,-1.494,0.085
19900523,SIN90,5.15,5.32,5.15,5.29,-1.494,0.17
19900524,SIN90,5.278,5.31,5.26,5.275,-1.494,0.05
19900525,SIN90,5.279,5.295,5.245,5.28,-1.494,0.05
19900529,SIN90,5.27,5.275,5.18,5.225,-1.494,0.1
19900530,SIN90,5.17,5.205,5.151,5.165,-1.494,0.074
19900531,SIN90,5.09,5.115,5.075,5.105,-1.494,0.09
19900601,SIN90,5.105,5.135,5.03,5.05,-1.494,0.105
19900604,SIN90,5.05,5.084,5.04,5.08,-1.494,0.044
19900605,SIN90,5.075,5.12,5.065,5.11,-1.494,0.055
19900606,SIN90,5.11,5.125,5.08,5.085,-1.494,0.045
19900607,SIN90,5.02,5.035,5.005,5.03,-1.494,0.08
19900608,SIN90,5.035,5.054,5.015,5.015,-1.494,0.039
19900611,SIN90,5.025,5.045,5,5.03,-1.494,0.045
19900612,SIN90,5.035,5.08,5.03,5.05,-1.494,0.05
19900613,SIN90,5.01,5.019,4.935,4.94,-1.494,0.115
19900614,SIN90,4.92,4.93,4.78,4.796,-1.494,0.16
19900615,SIN90,4.82,4.83,4.762,4.825,-1.494,0.068
19900618,SIN90,4.83,4.859,4.83,4.845,-1.494,0.034
19900619,SIN90,4.84,4.855,4.835,4.845,-1.494,0.02
19900620,SIN90,4.817,4.86,4.765,4.835,-1.494,0.095
19900621,SIN90,4.855,4.864,4.825,4.833,-1.494,0.039
19900622,SIN90,4.815,4.83,4.795,4.82,-1.494,0.038
19900625,SIN90,4.85,4.855,4.83,4.835,-1.494,0.035
19900626,SIN90,4.8,4.8,4.735,4.778,-1.494,0.1
19900627,SIN90,4.8,4.855,4.8,4.82,-1.494,0.077
19900628,SIU90,4.89,4.935,4.881,4.89,-1.579,0.115
19900629,SIU90,4.915,4.99,4.87,4.96,-1.579,0.12
19900702,SIU90,4.97,5.045,4.961,5.005,-1.579,0.085
19900703,SIU90,5.025,5.055,4.995,5.04,-1.579,0.06
19900705,SIU90,4.945,4.975,4.935,4.965,-1.579,0.105
19900706,SIU90,4.95,4.954,4.925,4.942,-1.579,0.04
19900709,SIU90,4.935,4.974,4.9,4.925,-1.579,0.074
19900710,SIU90,4.83,4.895,4.83,4.875,-1.579,0.095
19900711,SIU90,4.865,4.9,4.855,4.865,-1.579,0.045
19900712,SIU90,4.885,4.925,4.865,4.895,-1.579,0.06
19900713,SIU90,4.95,5.015,4.93,5.005,-1.579,0.12
19900716,SIU90,4.961,4.975,4.925,4.945,-1.579,0.08
19900717,SIU90,4.9,4.9,4.815,4.89,-1.579,0.13
19900718,SIU90,4.86,4.929,4.852,4.91,-1.579,0.077
19900719,SIU90,4.935,4.949,4.905,4.915,-1.579,0.044
19900720,SIU90,4.9,4.92,4.9,4.915,-1.579,0.02
19900723,SIU90,4.94,4.985,4.915,4.955,-1.579,0.07
19900724,SIU90,4.93,4.945,4.85,4.86,-1.579,0.105
19900725,SIU90,4.915,4.945,4.865,4.88,-1.579,0.085
19900726,SIU90,4.87,4.894,4.851,4.875,-1.579,0.043
19900727,SIU90,4.87,4.89,4.83,4.845,-1.579,0.06
19900730,SIU90,4.87,4.889,4.84,4.855,-1.579,0.049
