,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL5,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value,CL5.value
1,19900102,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,401.7,406.2,411,NA,425,432
2,19900103,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,397,401.8,407.2,410.8,420.3,425
3,19900104,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,399.3,404.2,409.6,413,423.5,425.5
4,19900105,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,407.6,412.9,417.2,420.4,431,436.3
5,19900108,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,406.9,411.8,417,420.8,431.1,436.5
6,19900109,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,405.3,410.2,415.2,420,428.5,435.3
7,19900110,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,413.1,417.7,423.3,426.2,437,NA
8,19900111,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,414.3,419.6,424.8,430.5,438.9,445.5
9,19900112,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,418,423.8,428.5,433,444,448.1
10,19900115,GCAG90.b01,GCAG90.b01,GCAJ90.b01,GCAM90.b01,GCAQ90.b01,GCAZ90.b01,GCAG91.b01,414.6,420.2,424.8,429.5,438.5,444.5
