"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",19900102,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.33,5.405,5.485,5.6,NA,NA
"2",19900103,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.32,5.4,5.48,5.59,NA,NA
"3",19900104,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.41,5.48,5.54,5.68,NA,NA
"4",19900105,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.425,5.495,5.56,5.69,NA,NA
"5",19900108,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.45,5.52,5.6,5.73,NA,NA
"6",19900109,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.37,5.435,5.525,5.645,NA,NA
"7",19900110,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.445,5.52,5.61,5.725,NA,NA
"8",19900111,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.455,5.535,5.612,5.73,NA,NA
"9",19900112,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.515,5.605,5.68,5.785,NA,NA
"10",19900115,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.375,5.465,5.555,5.67,NA,NA
"11",19900116,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.346,5.44,5.555,5.63,NA,NA
"12",19900117,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.368,5.445,5.515,5.645,NA,NA
"13",19900118,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.341,5.42,5.525,5.65,NA,NA
"14",19900119,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.34,5.43,5.5,5.63,NA,NA
"15",19900122,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.344,5.41,5.47,5.605,NA,NA
"16",19900123,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.415,5.495,5.57,5.69,NA,NA
"17",19900124,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.35,5.46,5.63,5.66,NA,NA
"18",19900125,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.35,5.445,5.53,5.64,NA,NA
"19",19900126,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.375,5.45,5.525,5.645,NA,NA
"20",19900129,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.345,5.42,5.5,5.63,NA,NA
"21",19900130,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.34,5.41,5.525,5.62,NA,NA
"22",19900131,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.32,5.415,5.46,5.62,NA,NA
"23",19900201,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.361,5.455,5.57,5.66,NA,NA
"24",19900202,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.415,5.51,5.575,5.69,NA,NA
"25",19900205,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.48,5.57,5.65,5.78,NA,NA
"26",19900206,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.41,5.505,5.605,5.7,NA,NA
"27",19900207,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.482,5.575,5.67,5.79,NA,NA
"28",19900208,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.44,5.505,5.595,5.73,NA,NA
"29",19900209,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.375,5.45,5.55,5.67,NA,NA
"30",19900212,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.4,5.47,5.595,5.73,NA,NA
"31",19900213,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.415,5.485,5.575,5.7,NA,NA
"32",19900214,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.41,5.505,5.57,5.71,NA,NA
"33",19900215,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.405,5.5,5.61,5.72,NA,NA
"34",19900216,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.435,5.525,5.6,5.73,NA,NA
"35",19900220,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.425,5.515,5.6,5.71,NA,NA
"36",19900221,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.405,5.485,5.6,5.7,NA,NA
"37",19900222,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.38,5.46,5.54,5.665,NA,NA
"38",19900223,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.34,5.425,5.52,5.635,NA,NA
"39",19900226,"SIAH90.b01","SIAH90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01",5.22,5.29,5.395,5.5,NA,NA
"40",19900227,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.255,5.335,5.47,NA,NA,NA
"41",19900228,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.245,5.32,5.45,NA,NA,NA
"42",19900301,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.285,5.39,5.485,NA,NA,NA
"43",19900302,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.285,5.35,5.475,NA,NA,NA
"44",19900305,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.285,5.355,5.49,NA,NA,NA
"45",19900306,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.28,5.365,5.49,NA,NA,NA
"46",19900307,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.27,5.37,5.475,NA,NA,NA
"47",19900308,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.295,5.39,5.5,NA,NA,NA
"48",19900309,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.24,5.325,5.44,NA,NA,NA
"49",19900312,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.19,5.25,5.385,NA,NA,NA
"50",19900313,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.185,5.27,5.39,NA,NA,NA
"51",19900314,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.225,5.315,5.42,NA,NA,NA
"52",19900315,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.25,5.33,5.43,NA,NA,NA
"53",19900316,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.24,5.335,5.445,NA,NA,NA
"54",19900319,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.245,5.33,5.45,NA,NA,NA
"55",19900320,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.175,5.26,5.37,NA,NA,NA
"56",19900321,"SIAK90.b01","SIAK90.b01","SIAN90.b01","SIAU90.b01","SIAZ90.b01","SIAH91.b01","SIAK91.b01",5.19,5.265,5.41,NA,NA,NA
