,Date,Security_ID,Month0_Raw_Price,Month1_Raw_Price,Month3_Raw_Price,Month1_Minus_Month0,Month3_Minus_Month0,TR20,Adj.Price,AdjustedLCPrice30,AdjustedLCPrice60,AdjustedLCPrice90,Return30,Return60,Return90
1,19900129,50,418,423.9,434,5.9,16,5.44,356.3,330.6,301.4,279.3,-4.724264706,-10.09191176,-14.15441176
2,19900130,50,424.4,430.8,446,6.4,21.6,5.6,356.5,331.8,301,279.9,-4.410714286,-9.910714286,-13.67857143
3,19900131,50,419,424.5,440,5.5,21,5.685,351.3,331.9,300,282.1,-3.412489006,-9.023746702,-12.17238347
4,19900201,50,421.8,427,443.2,5.2,21.4,5.735,354,333.9,297.1,281.9,-3.504795118,-9.921534438,-12.57192677
5,19900202,50,423.7,429.5,445,5.8,21.3,5.41,356.1,335.4,299.6,276.9,-3.826247689,-10.44362292,-14.63955638
6,19900205,50,428.4,434.3,450.3,5.9,21.9,5.615,360.8,327,299.7,271.4,-6.019590383,-10.88156723,-15.92163847
7,19900206,50,426.7,432.3,448.5,5.6,21.8,5.625,358.8,325.7,300.3,273.7,-5.884444444,-10.4,-15.12888889
8,19900207,50,428,433.3,450.4,5.3,22.4,5.43,360.4,326.4,300.3,274.9,-6.261510129,-11.06813996,-15.74585635
9,19900208,50,424.2,430,446,5.8,21.8,5.67,356.5,320.5,301,273.6,-6.349206349,-9.788359788,-14.62081129
10,19900209,50,421.3,427.2,442,5.9,20.7,5.62,353.6,301.3,298.5,275.3,-9.306049822,-9.804270463,-13.93238434
11,19900212,50,423.6,429.9,445.5,6.3,21.9,5.61,355.9,301.1,299.4,274.9,-9.768270945,-10.07130125,-14.43850267
12,19900213,50,422.7,428.1,444,5.4,21.3,5.485,355,301,298.8,275,-9.845031905,-10.2461258,-14.58523245
13,19900214,50,420.9,425.9,440.7,5,19.8,5.595,353.2,303,297.5,278.2,-8.972296693,-9.955317248,-13.40482574
14,19900215,50,416.5,423,439.5,6.5,23,5.57,350.1,301,298.4,274.8,-8.81508079,-9.281867145,-13.51885099
15,19900216,50,420.7,426.3,441.7,5.6,21,5.63,353.1,300.4,298.2,275.3,-9.360568384,-9.751332149,-13.81882771
16,19900220,50,423.4,429.3,445.5,5.9,22.1,5.435,355.8,306.2,296.7,276.5,-9.126034959,-10.87396504,-14.59061638
17,19900221,50,422.9,428.5,447.5,5.6,24.6,5.28,355.1,306.6,297.6,281.3,-9.185606061,-10.89015152,-13.97727273
18,19900222,50,420.6,426.8,443.2,6.2,22.6,4.815,352.6,306.1,299.1,282.5,-9.657320872,-11.11111111,-14.55867082
19,19900223,50,418.4,425,441.3,6.6,22.9,4.765,351,310.1,300.8,286.8,-8.583420776,-10.53515215,-13.47324239
20,19900226,50,409.7,415.3,432.5,5.6,22.8,4.985,342.1,307.4,303.2,285.5,-6.960882648,-7.803410231,-11.35406219
21,19900227,50,411.5,416.9,433,5.4,21.5,4.845,343.8,304.5,291.8,285.8,-8.111455108,-10.73271414,-11.97110423
22,19900228,50,408.9,414.1,430,5.2,21.1,4.675,341.2,305.5,293.9,283,-7.636363636,-10.11764706,-12.44919786
23,19900301,50,408,413.3,429.5,5.3,21.5,4.435,340.3,306.3,295.6,278.5,-7.666290868,-10.0789177,-13.93461105
24,19900302,50,405,410.3,425.7,5.3,20.7,4.475,337.4,305.3,294.9,277.7,-7.173184358,-9.497206704,-13.34078212
25,19900305,50,406.9,412.2,427,5.3,20.1,4.45,339.2,305.6,292.8,278.6,-7.550561798,-10.42696629,-13.61797753
26,19900306,50,407.2,412.6,428,5.4,20.8,4.23,339.4,306.6,290.6,289.4,-7.754137116,-11.53664303,-11.82033097
27,19900307,50,401.4,406.9,422,5.5,20.6,4.395,333.7,307.3,285.5,286.8,-6.006825939,-10.96700796,-10.67121729
28,19900308,50,403.4,408.8,424.7,5.4,21.3,4.295,335.7,306.1,282.8,285.6,-6.891734575,-12.31664726,-11.66472643
29,19900309,50,400.4,406,421.5,5.6,21.1,4.165,332.8,308.8,285.3,284.7,-5.762304922,-11.40456182,-11.54861945
30,19900312,50,401.3,406.8,422.5,5.5,21.2,4.11,333.6,308,282.5,285.3,-6.228710462,-12.43309002,-11.75182482
31,19900313,50,398.4,403.9,420,5.5,21.6,4.065,330.6,301.4,279.3,284.6,-7.183271833,-12.6199262,-11.31611316
32,19900314,50,399.6,405.2,420.5,5.6,20.9,4,331.8,301,279.9,292.5,-7.7,-12.975,-9.825
33,19900315,50,399.6,405.2,421.5,5.6,21.9,3.9,331.9,300,282.1,290.4,-8.179487179,-12.76923077,-10.64102564
34,19900316,50,401.6,407.1,423,5.5,21.4,3.84,333.9,297.1,281.9,295.4,-9.583333333,-13.54166667,-10.02604167
35,19900319,50,403.1,408.7,425,5.6,21.9,3.72,335.4,299.6,276.9,291.6,-9.623655914,-15.72580645,-11.77419355
36,19900320,50,394.7,400.1,415.2,5.4,20.5,4.025,327,299.7,271.4,289,-6.782608696,-13.8136646,-9.440993789
37,19900321,50,393.5,398.8,414.2,5.3,20.7,3.995,325.7,300.3,273.7,290.3,-6.357947434,-13.01627034,-8.861076345
