"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",19900216,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.108,1.059,1.024,1.005,0.99,NA
"2",19900220,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.132,1.082,1.043,1.024,0.995,NA
"3",19900221,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.118,1.064,1.028,1.01,0.985,NA
"4",19900222,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.141,1.075,1.037,1.018,0.993,NA
"5",19900223,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.137,1.068,1.032,1.012,0.99,NA
"6",19900226,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.135,1.069,1.034,1.017,0.995,NA
"7",19900227,"CPAH90.b01","CPAH90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01",1.121,1.071,1.034,1.015,0.989,NA
"8",19900228,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.0795,1.04,1.017,0.992,NA,NA
"9",19900301,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.094,1.05,1.024,0.999,NA,NA
"10",19900302,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.123,1.075,1.04,1.007,NA,NA
"11",19900305,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.16,1.113,1.068,1.034,NA,NA
"12",19900306,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.149,1.11,1.068,1.035,NA,NA
"13",19900307,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.158,1.115,1.075,1.035,NA,NA
"14",19900308,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.155,1.112,1.073,1.036,NA,NA
"15",19900309,"CPAK90.b01","CPAK90.b01","CPAN90.b01","CPAU90.b01","CPAZ90.b01","CPAH91.b01","CPAK91.b01",1.1715,1.126,1.08,1.045,NA,NA
