YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900216,HGH90,1.092,1.116,1.0855,1.1135,0,-999
19900220,HGH90,1.1285,1.15,1.121,1.13,0,0.0365
19900221,HGH90,1.11,1.143,1.102,1.142,0,0.041
19900222,HGH90,1.1525,1.1525,1.1255,1.148,0,0.027
19900223,HGH90,1.135,1.145,1.1315,1.14,0,0.0165
19900226,HGH90,1.13,1.1435,1.127,1.1385,0,0.0165
19900227,HGH90,1.135,1.1375,1.116,1.119,0,0.0225
19900228,HGK90,1.0685,1.085,1.0675,1.0825,0.051,0.0175
19900301,HGK90,1.092,1.099,1.087,1.092,0.051,0.0165
19900302,HGK90,1.115,1.141,1.113,1.137,0.051,0.049
19900305,HGK90,1.143,1.171,1.139,1.168,0.051,0.034
19900306,HGK90,1.167,1.174,1.143,1.1535,0.051,0.031
19900307,HGK90,1.152,1.165,1.1465,1.1465,0.051,0.0185
19900308,HGK90,1.151,1.16,1.151,1.159,0.051,0.0135
19900309,HGK90,1.178,1.179,1.155,1.155,0.051,0.024
19900312,HGK90,1.14,1.158,1.133,1.1495,0.051,0.025
19900313,HGK90,1.145,1.155,1.1225,1.127,0.051,0.0325
19900314,HGK90,1.135,1.1875,1.133,1.174,0.051,0.0605
19900315,HGK90,1.195,1.199,1.179,1.1955,0.051,0.025
19900316,HGK90,1.204,1.205,1.186,1.1975,0.051,0.019
19900319,HGK90,1.203,1.207,1.1815,1.191,0.051,0.0255
19900320,HGK90,1.186,1.1895,1.168,1.173,0.051,0.023
19900321,HGK90,1.176,1.224,1.176,1.212,0.051,0.051
19900322,HGK90,1.203,1.204,1.176,1.181,0.051,0.036
19900323,HGK90,1.166,1.183,1.162,1.179,0.051,0.021
19900326,HGK90,1.157,1.163,1.136,1.147,0.051,0.043
19900327,HGK90,1.163,1.163,1.12,1.1225,0.051,0.043
19900328,HGK90,1.127,1.174,1.118,1.165,0.051,0.056
19900329,HGK90,1.19,1.191,1.171,1.179,0.051,0.026
19900330,HGK90,1.207,1.227,1.195,1.226,0.051,0.048
19900402,HGK90,1.231,1.233,1.206,1.209,0.051,0.027
19900403,HGK90,1.22,1.2485,1.216,1.2485,0.051,0.0395
19900404,HGK90,1.236,1.237,1.198,1.203,0.051,0.0505
19900405,HGK90,1.209,1.218,1.1825,1.189,0.051,0.0355
19900406,HGK90,1.195,1.23,1.185,1.211,0.051,0.045
19900409,HGK90,1.2,1.202,1.1665,1.167,0.051,0.0445
19900410,HGK90,1.18,1.195,1.168,1.1935,0.051,0.028
19900411,HGK90,1.18,1.2015,1.1735,1.183,0.051,0.028
19900412,HGK90,1.188,1.1995,1.163,1.1685,0.051,0.0365
19900416,HGK90,1.162,1.176,1.1555,1.165,0.051,0.0205
19900417,HGK90,1.158,1.17,1.145,1.1625,0.051,0.025
19900418,HGK90,1.169,1.174,1.148,1.162,0.051,0.026
19900419,HGK90,1.152,1.169,1.15,1.166,0.051,0.019
19900420,HGK90,1.147,1.15,1.1225,1.1255,0.051,0.0435
19900423,HGK90,1.134,1.142,1.119,1.121,0.051,0.023
19900424,HGK90,1.128,1.155,1.119,1.155,0.051,0.036
19900425,HGK90,1.174,1.207,1.168,1.2,0.051,0.052
19900426,HGK90,1.202,1.21,1.184,1.2,0.051,0.026
19900430,HGN90,1.09,1.095,1.073,1.089,0.139,0.039
19900501,HGN90,1.106,1.145,1.104,1.133,0.139,0.056
19900502,HGN90,1.114,1.129,1.109,1.123,0.139,0.024
19900503,HGN90,1.14,1.144,1.115,1.118,0.139,0.029
19900504,HGN90,1.12,1.12,1.098,1.114,0.139,0.022
19900507,HGN90,1.101,1.117,1.096,1.0965,0.139,0.021
19900508,HGN90,1.103,1.124,1.102,1.123,0.139,0.0275
19900509,HGN90,1.1365,1.175,1.136,1.175,0.139,0.052
19900510,HGN90,1.175,1.192,1.171,1.184,0.139,0.021
19900511,HGN90,1.175,1.189,1.171,1.1765,0.139,0.018
19900514,HGN90,1.167,1.177,1.14,1.15,0.139,0.037
19900515,HGN90,1.147,1.151,1.127,1.141,0.139,0.024
19900516,HGN90,1.135,1.15,1.131,1.144,0.139,0.019
19900517,HGN90,1.154,1.164,1.139,1.149,0.139,0.025
19900518,HGN90,1.14,1.1495,1.132,1.1485,0.139,0.0175
19900521,HGN90,1.134,1.1375,1.122,1.1345,0.139,0.0265
19900522,HGN90,1.142,1.168,1.14,1.1615,0.139,0.0335
19900523,HGN90,1.155,1.163,1.1415,1.1505,0.139,0.0215
19900524,HGN90,1.159,1.169,1.1555,1.1655,0.139,0.0185
19900525,HGN90,1.157,1.157,1.141,1.1525,0.139,0.0245
19900529,HGN90,1.152,1.158,1.123,1.125,0.139,0.035
19900530,HGN90,1.115,1.128,1.112,1.115,0.139,0.016
19900531,HGN90,1.127,1.13,1.099,1.1085,0.139,0.031
19900601,HGN90,1.105,1.124,1.103,1.118,0.139,0.021
19900604,HGN90,1.123,1.13,1.1115,1.1115,0.139,0.0185
19900605,HGN90,1.105,1.138,1.102,1.131,0.139,0.036
19900606,HGN90,1.124,1.129,1.1155,1.121,0.139,0.0155
19900607,HGN90,1.113,1.13,1.109,1.1215,0.139,0.021
19900608,HGN90,1.127,1.134,1.1145,1.1175,0.139,0.0195
19900611,HGN90,1.12,1.125,1.094,1.0965,0.139,0.031
19900612,HGN90,1.107,1.1115,1.092,1.106,0.139,0.0195
19900613,HGN90,1.091,1.097,1.089,1.096,0.139,0.017
19900614,HGN90,1.1,1.108,1.089,1.108,0.139,0.019
19900615,HGN90,1.114,1.125,1.106,1.118,0.139,0.019
19900618,HGN90,1.116,1.1515,1.115,1.139,0.139,0.0365
19900619,HGN90,1.142,1.153,1.13,1.13,0.139,0.023
19900620,HGN90,1.118,1.121,1.096,1.0985,0.139,0.034
19900621,HGN90,1.104,1.1095,1.094,1.106,0.139,0.0155
19900622,HGN90,1.112,1.1175,1.107,1.112,0.139,0.0115
19900625,HGN90,1.108,1.108,1.087,1.089,0.139,0.025
19900626,HGU90,1.055,1.069,1.053,1.0685,0.1545,0.0205
19900627,HGU90,1.076,1.081,1.072,1.08,0.1545,0.0125
19900628,HGU90,1.087,1.133,1.086,1.133,0.1545,0.053
19900629,HGU90,1.14,1.16,1.137,1.14,0.1545,0.027
19900702,HGU90,1.14,1.1475,1.128,1.129,0.1545,0.0195
19900703,HGU90,1.14,1.148,1.131,1.131,0.1545,0.019
19900705,HGU90,1.141,1.169,1.14,1.1605,0.1545,0.038
19900706,HGU90,1.165,1.1885,1.165,1.182,0.1545,0.028
19900709,HGU90,1.187,1.191,1.168,1.1735,0.1545,0.023
19900710,HGU90,1.186,1.186,1.162,1.1675,0.1545,0.024
19900711,HGU90,1.2,1.223,1.196,1.22,0.1545,0.0555
19900712,HGU90,1.22,1.245,1.2115,1.2405,0.1545,0.0335
19900713,HGU90,1.233,1.239,1.2265,1.2295,0.1545,0.014
19900716,HGU90,1.215,1.22,1.206,1.22,0.1545,0.0235
19900717,HGU90,1.216,1.218,1.193,1.2,0.1545,0.027
19900718,HGU90,1.203,1.207,1.193,1.193,0.1545,0.014
19900719,HGU90,1.186,1.1905,1.175,1.179,0.1545,0.018
19900720,HGU90,1.177,1.206,1.174,1.198,0.1545,0.032
19900723,HGU90,1.208,1.213,1.179,1.191,0.1545,0.034
19900724,HGU90,1.193,1.208,1.186,1.204,0.1545,0.022
19900725,HGU90,1.205,1.2245,1.1965,1.2165,0.1545,0.028
19900726,HGU90,1.228,1.2385,1.224,1.229,0.1545,0.022
19900727,HGU90,1.257,1.266,1.248,1.259,0.1545,0.037
19900730,HGU90,1.259,1.259,1.231,1.2355,0.1545,0.028
19900731,HGU90,1.254,1.255,1.237,1.246,0.1545,0.0195
19900801,HGU90,1.24,1.291,1.239,1.2885,0.1545,0.052
19900802,HGU90,1.292,1.298,1.269,1.289,0.1545,0.029
19900803,HGU90,1.269,1.27,1.251,1.255,0.1545,0.038
19900806,HGU90,1.243,1.2635,1.228,1.2635,0.1545,0.0355
19900807,HGU90,1.289,1.302,1.273,1.273,0.1545,0.0385
19900808,HGU90,1.286,1.3095,1.286,1.3095,0.1545,0.0365
19900809,HGU90,1.316,1.343,1.316,1.3205,0.1545,0.0335
19900810,HGU90,1.308,1.336,1.296,1.32,0.1545,0.04
19900813,HGU90,1.308,1.309,1.289,1.301,0.1545,0.031
19900814,HGU90,1.292,1.329,1.288,1.3285,0.1545,0.041
19900815,HGU90,1.316,1.35,1.308,1.3355,0.1545,0.042
19900816,HGU90,1.336,1.345,1.318,1.3265,0.1545,0.027
19900817,HGU90,1.317,1.348,1.315,1.333,0.1545,0.033
19900820,HGU90,1.32,1.328,1.31,1.3195,0.1545,0.023
19900821,HGU90,1.31,1.325,1.305,1.3175,0.1545,0.02
19900822,HGU90,1.311,1.311,1.29,1.2915,0.1545,0.0275
19900823,HGU90,1.29,1.305,1.284,1.2965,0.1545,0.021
19900824,HGU90,1.309,1.3125,1.289,1.2905,0.1545,0.0235
19900827,HGU90,1.288,1.308,1.288,1.3035,0.1545,0.02
19900828,HGZ90,1.26,1.267,1.233,1.234,0.205,0.034
19900829,HGZ90,1.226,1.26,1.223,1.2475,0.205,0.037
19900830,HGZ90,1.253,1.264,1.246,1.25,0.205,0.018
19900831,HGZ90,1.249,1.257,1.235,1.248,0.205,0.022
19900904,HGZ90,1.2315,1.243,1.228,1.2375,0.205,0.02
19900905,HGZ90,1.22,1.233,1.207,1.222,0.205,0.0305
19900906,HGZ90,1.23,1.247,1.23,1.234,0.205,0.025
19900907,HGZ90,1.253,1.3035,1.249,1.3035,0.205,0.0695
19900910,HGZ90,1.306,1.307,1.275,1.283,0.205,0.032
19900911,HGZ90,1.29,1.2925,1.2735,1.2855,0.205,0.019
19900912,HGZ90,1.2925,1.311,1.2875,1.2875,0.205,0.0255
19900913,HGZ90,1.283,1.291,1.264,1.2695,0.205,0.027
19900914,HGZ90,1.2755,1.283,1.263,1.2825,0.205,0.02
19900917,HGZ90,1.29,1.295,1.274,1.2775,0.205,0.021
19900918,HGZ90,1.24,1.245,1.221,1.24,0.205,0.0565
19900919,HGZ90,1.226,1.244,1.1975,1.1975,0.205,0.0465
19900920,HGZ90,1.205,1.213,1.172,1.1775,0.205,0.041
19900921,HGZ90,1.175,1.198,1.172,1.1905,0.205,0.026
19900924,HGZ90,1.173,1.189,1.167,1.1805,0.205,0.0235
19900925,HGZ90,1.16,1.182,1.159,1.175,0.205,0.023
19900926,HGZ90,1.175,1.187,1.156,1.176,0.205,0.031
19900927,HGZ90,1.192,1.2075,1.191,1.1985,0.205,0.0315
19900928,HGZ90,1.194,1.196,1.173,1.188,0.205,0.0255
19901001,HGZ90,1.171,1.184,1.168,1.17,0.205,0.02
19901002,HGZ90,1.1875,1.191,1.176,1.1835,0.205,0.021
19901003,HGZ90,1.177,1.219,1.175,1.21,0.205,0.044
19901004,HGZ90,1.215,1.224,1.206,1.206,0.205,0.018
19901005,HGZ90,1.205,1.2255,1.199,1.2205,0.205,0.0265
19901008,HGZ90,1.216,1.226,1.2065,1.2065,0.205,0.0195
19901009,HGZ90,1.209,1.215,1.181,1.181,0.205,0.034
19901010,HGZ90,1.185,1.1975,1.18,1.1935,0.205,0.0175
19901011,HGZ90,1.188,1.189,1.1575,1.1575,0.205,0.036
19901012,HGZ90,1.14,1.1465,1.126,1.135,0.205,0.0315
19901015,HGZ90,1.13,1.15,1.127,1.1425,0.205,0.023
19901016,HGZ90,1.1425,1.146,1.123,1.1335,0.205,0.023
19901017,HGZ90,1.119,1.1265,1.116,1.121,0.205,0.0175
19901018,HGZ90,1.138,1.15,1.127,1.14,0.205,0.029
19901019,HGZ90,1.148,1.175,1.147,1.175,0.205,0.035
19901022,HGZ90,1.162,1.1785,1.161,1.173,0.205,0.0175
19901023,HGZ90,1.176,1.228,1.176,1.2265,0.205,0.055
19901024,HGZ90,1.223,1.225,1.2025,1.2045,0.205,0.024
19901025,HGZ90,1.201,1.206,1.19,1.198,0.205,0.016
19901026,HGZ90,1.2125,1.231,1.194,1.198,0.205,0.037
19901029,HGZ90,1.18,1.18,1.1615,1.172,0.205,0.0365
19901030,HGZ90,1.156,1.165,1.148,1.1565,0.205,0.024
19901031,HGZ90,1.17,1.176,1.1565,1.1575,0.205,0.0195
19901101,HGZ90,1.141,1.145,1.13,1.135,0.205,0.0275
19901102,HGZ90,1.138,1.16,1.138,1.156,0.205,0.025
19901105,HGZ90,1.162,1.162,1.125,1.137,0.205,0.037
19901106,HGZ90,1.143,1.154,1.134,1.1495,0.205,0.02
19901107,HGZ90,1.15,1.164,1.147,1.1495,0.205,0.017
19901108,HGZ90,1.137,1.146,1.1325,1.138,0.205,0.017
19901109,HGZ90,1.146,1.152,1.139,1.149,0.205,0.014
19901112,HGZ90,1.138,1.144,1.1305,1.1435,0.205,0.0185
19901113,HGZ90,1.16,1.175,1.156,1.156,0.205,0.0315
19901114,HGZ90,1.1535,1.1645,1.15,1.151,0.205,0.0145
19901115,HGZ90,1.151,1.175,1.147,1.1645,0.205,0.028
19901116,HGZ90,1.1715,1.1845,1.1645,1.1765,0.205,0.02
19901119,HGZ90,1.18,1.18,1.161,1.161,0.205,0.019
19901120,HGZ90,1.16,1.1725,1.155,1.1645,0.205,0.0175
19901121,HGZ90,1.163,1.164,1.148,1.151,0.205,0.0165
19901123,HGZ90,1.147,1.163,1.145,1.155,0.205,0.018
19901126,HGZ90,1.153,1.167,1.149,1.1645,0.205,0.018
19901127,HGZ90,1.158,1.158,1.122,1.123,0.205,0.0425
19901128,HGZ90,1.123,1.127,1.105,1.1225,0.205,0.022
19901129,HGZ90,1.126,1.13,1.112,1.112,0.205,0.018
19901130,HGH91,1.078,1.089,1.064,1.071,0.2465,0.025
19901203,HGH91,1.083,1.085,1.068,1.073,0.2465,0.017
19901204,HGH91,1.072,1.082,1.065,1.07,0.2465,0.017
19901205,HGH91,1.067,1.076,1.058,1.0715,0.2465,0.018
19901206,HGH91,1.077,1.092,1.077,1.0855,0.2465,0.0205
19901207,HGH91,1.09,1.095,1.06,1.06,0.2465,0.035
19901210,HGH91,1.064,1.083,1.063,1.08,0.2465,0.023
19901211,HGH91,1.075,1.075,1.066,1.075,0.2465,0.014
19901212,HGH91,1.085,1.102,1.085,1.0895,0.2465,0.027
19901213,HGH91,1.084,1.093,1.079,1.0875,0.2465,0.014
19901214,HGH91,1.079,1.086,1.071,1.08,0.2465,0.0165
19901217,HGH91,1.078,1.0935,1.074,1.085,0.2465,0.0195
19901218,HGH91,1.092,1.098,1.084,1.084,0.2465,0.014
19901219,HGH91,1.0815,1.093,1.076,1.089,0.2465,0.017
19901220,HGH91,1.092,1.1125,1.089,1.1005,0.2465,0.0235
19901221,HGH91,1.096,1.1025,1.092,1.1025,0.2465,0.0105
19901226,HGH91,1.101,1.113,1.101,1.111,0.2465,0.012
19901227,HGH91,1.117,1.119,1.106,1.111,0.2465,0.013
19901228,HGH91,1.11,1.144,1.109,1.141,0.2465,0.035
19901231,HGH91,1.149,1.178,1.149,1.1685,0.2465,0.037
19910102,HGH91,1.163,1.195,1.1575,1.193,0.2465,0.0375
19910103,HGH91,1.177,1.178,1.16,1.163,0.2465,0.033
19910107,HGH91,1.154,1.172,1.149,1.168,0.2465,0.023
19910108,HGH91,1.161,1.161,1.141,1.145,0.2465,0.027
19910109,HGH91,1.144,1.155,1.1345,1.1345,0.2465,0.0205
19910110,HGH91,1.136,1.137,1.125,1.131,0.2465,0.012
19910111,HGH91,1.138,1.142,1.122,1.1285,0.2465,0.02
19910114,HGH91,1.109,1.118,1.104,1.106,0.2465,0.0245
19910115,HGH91,1.1,1.102,1.075,1.077,0.2465,0.031
19910116,HGH91,1.064,1.081,1.049,1.0585,0.2465,0.032
19910117,HGH91,1.09,1.0925,1.062,1.0925,0.2465,0.034
19910118,HGH91,1.081,1.092,1.0725,1.0825,0.2465,0.02
19910121,HGH91,1.077,1.086,1.0695,1.084,0.2465,0.0165
19910122,HGH91,1.06,1.063,1.05,1.0595,0.2465,0.034
19910123,HGH91,1.053,1.058,1.045,1.049,0.2465,0.0145
19910124,HGH91,1.045,1.046,1.023,1.031,0.2465,0.026
19910125,HGH91,1.033,1.052,1.033,1.042,0.2465,0.021
19910128,HGH91,1.04,1.056,1.035,1.055,0.2465,0.021
19910129,HGH91,1.059,1.063,1.049,1.0535,0.2465,0.014
19910130,HGH91,1.06,1.071,1.06,1.067,0.2465,0.0175
19910131,HGH91,1.077,1.078,1.063,1.064,0.2465,0.015
19910201,HGH91,1.062,1.071,1.06,1.067,0.2465,0.011
19910204,HGH91,1.059,1.066,1.052,1.058,0.2465,0.015
19910205,HGH91,1.05,1.072,1.047,1.0675,0.2465,0.025
19910206,HGH91,1.0725,1.085,1.064,1.078,0.2465,0.021
19910207,HGH91,1.076,1.086,1.0745,1.0745,0.2465,0.0115
19910208,HGH91,1.086,1.106,1.085,1.0945,0.2465,0.0315
19910211,HGH91,1.101,1.1075,1.087,1.101,0.2465,0.0205
19910212,HGH91,1.108,1.112,1.098,1.1,0.2465,0.014
19910213,HGH91,1.096,1.1115,1.092,1.1095,0.2465,0.0195
19910214,HGH91,1.111,1.1145,1.094,1.096,0.2465,0.0205
19910215,HGH91,1.1055,1.115,1.102,1.108,0.2465,0.019
19910219,HGH91,1.1195,1.127,1.1005,1.1005,0.2465,0.0265
19910220,HGH91,1.099,1.1075,1.094,1.094,0.2465,0.0135
19910221,HGH91,1.1,1.113,1.099,1.1115,0.2465,0.019
19910222,HGH91,1.12,1.122,1.103,1.1055,0.2465,0.019
19910225,HGH91,1.108,1.1365,1.103,1.136,0.2465,0.0335
19910226,HGH91,1.138,1.14,1.1225,1.125,0.2465,0.0175
19910227,HGK91,1.093,1.111,1.093,1.1045,0.2835,0.023
19910228,HGK91,1.1125,1.123,1.108,1.115,0.2835,0.0185
19910301,HGK91,1.103,1.115,1.1025,1.109,0.2835,0.0125
19910304,HGK91,1.103,1.106,1.094,1.0995,0.2835,0.015
19910305,HGK91,1.098,1.104,1.094,1.0975,0.2835,0.01
19910306,HGK91,1.095,1.103,1.089,1.097,0.2835,0.014
19910307,HGK91,1.093,1.1,1.0925,1.096,0.2835,0.0075
19910308,HGK91,1.103,1.105,1.096,1.0985,0.2835,0.009
19910311,HGK91,1.093,1.093,1.073,1.075,0.2835,0.0255
19910312,HGK91,1.076,1.0865,1.076,1.0825,0.2835,0.0115
19910313,HGK91,1.084,1.085,1.077,1.077,0.2835,0.008
19910314,HGK91,1.072,1.077,1.062,1.073,0.2835,0.015
19910315,HGK91,1.065,1.076,1.064,1.071,0.2835,0.012
19910318,HGK91,1.064,1.07,1.057,1.0605,0.2835,0.014
19910319,HGK91,1.057,1.062,1.052,1.0595,0.2835,0.01
19910320,HGK91,1.0525,1.0675,1.0525,1.063,0.2835,0.015
19910321,HGK91,1.068,1.078,1.068,1.0745,0.2835,0.015
19910322,HGK91,1.073,1.082,1.064,1.066,0.2835,0.018
19910325,HGK91,1.057,1.071,1.057,1.062,0.2835,0.014
19910326,HGK91,1.06,1.069,1.057,1.069,0.2835,0.012
19910327,HGK91,1.063,1.071,1.058,1.063,0.2835,0.013
19910328,HGK91,1.07,1.077,1.062,1.062,0.2835,0.015
19910401,HGK91,1.066,1.074,1.0625,1.063,0.2835,0.012
19910402,HGK91,1.075,1.099,1.075,1.097,0.2835,0.036
19910403,HGK91,1.095,1.102,1.089,1.09,0.2835,0.013
19910404,HGK91,1.094,1.102,1.089,1.0935,0.2835,0.013
19910405,HGK91,1.09,1.093,1.084,1.084,0.2835,0.0095
19910408,HGK91,1.085,1.089,1.076,1.076,0.2835,0.013
19910409,HGK91,1.07,1.0815,1.0665,1.0715,0.2835,0.015
19910410,HGK91,1.0915,1.0975,1.0875,1.09,0.2835,0.026
19910411,HGK91,1.093,1.104,1.086,1.087,0.2835,0.018
19910412,HGK91,1.091,1.095,1.086,1.087,0.2835,0.009
19910415,HGK91,1.082,1.088,1.081,1.083,0.2835,0.007
19910416,HGK91,1.082,1.088,1.0815,1.0855,0.2835,0.0065
19910417,HGK91,1.0925,1.11,1.091,1.11,0.2835,0.0245
19910418,HGK91,1.1075,1.118,1.104,1.114,0.2835,0.014
19910422,HGK91,1.108,1.121,1.1025,1.1025,0.2835,0.0185
19910423,HGK91,1.101,1.105,1.087,1.087,0.2835,0.018
19910424,HGK91,1.088,1.095,1.083,1.0905,0.2835,0.012
19910425,HGK91,1.095,1.098,1.078,1.08,0.2835,0.02
19910426,HGN91,1.078,1.081,1.06,1.0645,0.291,0.021
