"","Date","Security_ID","Month0_Raw_Price","Month1_Raw_Price","Month5_Raw_Price","Month1_Minus_Month0","Month5_Minus_Month0","TR20","Adj.Price","AdjustedLCPrice30","AdjustedLCPrice60","AdjustedLCPrice90","Return30","Return60","Return90"
"1",19900316,76,1.1885,1.134,1.0925,-0.0545,-0.0959999999999999,-49.9237,1.2485,1.272,1.235,1.3835,-0.000470718316150447,0.000270412649703444,-0.00270412649703448
"2",19900319,76,1.186,1.129,1.085,-0.0569999999999999,-0.101,0.027575,1.242,1.262,1.247,1.4135,0.72529465095195,0.181323662737991,6.21940163191296
"3",19900320,76,1.183,1.13,1.085,-0.0530000000000002,-0.0980000000000001,0.0269,1.224,1.257,1.257,1.39,1.22676579925651,1.22676579925651,6.17100371747212
"4",19900321,76,1.203,1.142,1.092,-0.0610000000000002,-0.111,0.0274,1.263,1.253,1.278,1.4005,-0.364963503649627,0.547445255474457,5.01824817518249
"5",19900322,76,1.19,1.131,1.087,-0.0589999999999999,-0.103,0.02785,1.232,1.2355,1.269,1.443,0.125673249551169,1.32854578096948,7.57630161579893
"6",19900323,76,1.165,1.105,1.067,-0.0600000000000001,-0.0980000000000001,0.028075,1.23,1.262,1.2375,1.4435,1.13980409617097,0.267141585040074,7.6046304541407
"7",19900326,76,1.148,1.098,1.055,-0.0499999999999998,-0.093,0.0294,1.198,1.314,1.245,1.4095,3.94557823129252,1.59863945578232,7.19387755102041
"8",19900327,76,1.143,1.093,1.058,-0.05,-0.085,0.030425,1.1735,1.323,1.251,1.418,4.91372226787181,2.54724732949877,8.03615447822515
"9",19900328,76,1.164,1.095,1.05,-0.069,-0.114,0.03235,1.216,1.3155,1.228,1.4275,3.0757341576507,0.370942812982999,6.53786707882535
"10",19900329,76,1.178,1.117,1.073,-0.0609999999999999,-0.105,0.032825,1.23,1.289,1.223,1.464,1.7974105102818,-0.21325209444021,7.12871287128714
"11",19900330,76,1.217,1.14,1.092,-0.0770000000000002,-0.125,0.032775,1.277,1.28,1.2345,1.475,0.0915331807780355,-1.29672006102211,6.04118993135012
"12",19900402,76,1.22,1.137,1.092,-0.083,-0.128,0.032425,1.26,1.283,1.2875,1.4745,0.709329221279874,0.848111025443333,6.61526599845798
"13",19900403,76,1.228,1.14,1.093,-0.0880000000000001,-0.135,0.03285,1.2995,1.288,1.2945,1.4555,-0.350076103500756,-0.152207001522067,4.74885844748859
"14",19900404,76,1.215,1.132,1.086,-0.0830000000000002,-0.129,0.03445,1.254,1.2875,1.2835,1.483,0.972423802612484,0.856313497822934,6.64731494920174
"15",19900405,76,1.193,1.117,1.075,-0.0760000000000001,-0.118,0.03555,1.24,1.2735,1.2855,1.49,0.942334739803097,1.27988748241913,7.0323488045007
"16",19900406,76,1.207,1.128,1.085,-0.0790000000000002,-0.122,0.0366,1.262,1.3005,1.315,1.481,1.05191256830601,1.44808743169399,5.98360655737705
"17",19900409,76,1.175,1.104,1.071,-0.071,-0.104,0.037575,1.218,1.2895,1.3365,1.4875,1.90286094477712,3.15369261477046,7.17232202262143
"18",19900410,76,1.178,1.112,1.073,-0.0659999999999998,-0.105,0.03735,1.2445,1.3045,1.328,1.474,1.60642570281125,2.23560910307899,6.14457831325301
"19",19900411,76,1.199,1.13,1.085,-0.0690000000000002,-0.114,0.035725,1.234,1.2915,1.322,1.472,1.60951714485655,2.46326102169349,6.66200139958013
"20",19900412,76,1.192,1.116,1.078,-0.0759999999999998,-0.114,0.0363,1.2195,1.264,1.3745,1.446,1.22589531680441,4.26997245179064,6.23966942148761
"21",19900416,76,1.169,1.1,1.056,-0.069,-0.113,0.036375,1.216,1.254,1.395,1.451,1.0446735395189,4.92096219931272,6.46048109965636
"22",19900417,76,1.158,1.0925,1.057,-0.0654999999999999,-0.101,0.03635,1.2135,1.2475,1.384,1.445,0.935350756533701,4.69050894085282,6.36863823933975
"23",19900418,76,1.166,1.103,1.065,-0.0629999999999999,-0.101,0.0365,1.213,1.257,1.3745,1.458,1.2054794520548,4.42465753424658,6.7123287671233
"24",19900419,76,1.156,1.093,1.057,-0.0629999999999999,-0.099,0.0349,1.217,1.2505,1.3545,1.439,0.959885386819486,3.93982808022923,6.36103151862465
"25",19900420,76,1.132,1.068,1.045,-0.0639999999999998,-0.087,0.035275,1.1765,1.27,1.3475,1.4525,2.65060240963856,4.84762579730688,7.82423812898654
"26",19900423,76,1.133,1.071,1.041,-0.0620000000000001,-0.0920000000000001,0.035375,1.172,1.26,1.3335,1.455,2.48763250883392,4.56537102473499,8.00000000000001
"27",19900424,76,1.1425,1.074,1.042,-0.0685,-0.1005,0.035025,1.206,1.2605,1.3525,1.453,1.55603140613847,4.18272662384012,7.05210563882941
"28",19900425,76,1.197,1.109,1.075,-0.0880000000000001,-0.122,0.035475,1.251,1.2565,1.3455,1.4425,0.155038759689924,2.66384778012686,5.39816772374912
"29",19900426,76,1.202,1.1145,1.071,-0.0874999999999999,-0.131,0.033975,1.251,1.2355,1.3585,1.427,-0.45621780721118,3.16409124356145,5.18027961736571
"30",19900430,76,1.092,1.061,1.023,-0.0310000000000001,-0.0690000000000002,0.034625,1.228,1.245,1.371,1.439,0.490974729241881,4.12996389891697,6.09386281588448
"31",19900501,76,1.132,1.095,1.061,-0.0369999999999999,-0.071,0.035025,1.272,1.235,1.3835,1.5085,-1.05638829407566,3.18344039971449,6.75231977159173
"32",19900502,76,1.121,1.083,1.05,-0.038,-0.071,0.034875,1.262,1.247,1.4135,1.488,-0.430107526881718,4.34408602150538,6.48028673835125
"33",19900503,76,1.135,1.09,1.051,-0.0449999999999999,-0.0840000000000001,0.03435,1.257,1.257,1.39,1.4905,0,3.87190684133916,6.7976710334789
"34",19900504,76,1.102,1.071,1.035,-0.0310000000000001,-0.0670000000000002,0.032925,1.253,1.278,1.4005,1.4925,0.759301442672738,4.47987851176917,7.27410782080486
"35",19900507,76,1.107,1.065,1.03,-0.042,-0.077,0.0322,1.2355,1.269,1.443,1.4745,1.04037267080745,6.44409937888199,7.42236024844721
"36",19900508,76,1.121,1.077,1.035,-0.044,-0.0860000000000001,0.031325,1.262,1.2375,1.4435,1.4875,-0.782122905027932,5.79409417398244,7.19872306464485
"37",19900509,76,1.141,1.0925,1.05,-0.0485,-0.091,0.0317,1.314,1.245,1.4095,1.4825,-2.17665615141956,3.01261829652997,5.31545741324921
"38",19900510,76,1.183,1.121,1.064,-0.0620000000000001,-0.119,0.03135,1.323,1.251,1.418,1.445,-2.29665071770334,3.03030303030304,3.89154704944179
"39",19900511,76,1.178,1.117,1.067,-0.0609999999999999,-0.111,0.03085,1.3155,1.228,1.4275,1.4025,-2.83630470016208,3.63047001620745,2.82009724473258
"40",19900514,76,1.149,1.089,1.047,-0.0600000000000001,-0.102,0.030875,1.289,1.223,1.464,1.3825,-2.13765182186234,5.66801619433199,3.02834008097166
"41",19900515,76,1.131,1.075,1.035,-0.056,-0.0960000000000001,0.03105,1.28,1.2345,1.475,1.3955,-1.46537842190016,6.28019323671498,3.71980676328502
"42",19900516,76,1.147,1.089,1.048,-0.0580000000000001,-0.099,0.03075,1.283,1.2875,1.4745,1.3855,0.14634146341464,6.22764227642277,3.33333333333334
"43",19900517,76,1.154,1.095,1.055,-0.0589999999999999,-0.099,0.0307,1.288,1.2945,1.4555,1.38,0.211726384364819,5.45602605863192,2.99674267100977
"44",19900518,76,1.144,1.088,1.049,-0.0559999999999998,-0.095,0.030625,1.2875,1.2835,1.483,1.381,-0.130612244897959,6.38367346938775,3.05306122448979
"45",19900521,76,1.134,1.084,1.045,-0.0499999999999998,-0.089,0.029775,1.2735,1.2855,1.49,1.4035,0.403022670025189,7.27120067170445,4.36607892527288
"46",19900522,76,1.153,1.098,1.06,-0.0549999999999999,-0.093,0.0303,1.3005,1.315,1.481,1.393,0.478547854785485,5.95709570957096,3.05280528052805
"47",19900523,76,1.154,1.095,1.051,-0.0589999999999999,-0.103,0.029575,1.2895,1.3365,1.4875,1.375,1.58918005071851,6.69484361792054,2.8909551986475
"48",19900524,76,1.164,1.105,1.067,-0.0589999999999999,-0.097,0.0279,1.3045,1.328,1.474,1.3885,0.842293906810039,6.0752688172043,3.01075268817205
"49",19900525,76,1.152,1.098,1.061,-0.0539999999999998,-0.091,0.027825,1.2915,1.322,1.472,1.415,1.09613656783468,6.4869721473495,4.43845462713387
"50",19900529,76,1.138,1.0905,1.05,-0.0474999999999999,-0.0879999999999999,0.027625,1.264,1.3745,1.446,1.411,4,6.58823529411765,5.32126696832579
"51",19900530,76,1.123,1.081,1.048,-0.042,-0.075,0.025625,1.254,1.395,1.451,1.4255,5.50243902439024,7.68780487804878,6.69268292682927
"52",19900531,76,1.11,1.069,1.029,-0.0410000000000001,-0.0810000000000002,0.025975,1.2475,1.384,1.445,1.4115,5.25505293551492,7.60346487006737,6.31376323387873
"53",19900601,76,1.113,1.071,1.032,-0.042,-0.081,0.025575,1.257,1.3745,1.458,1.386,4.59433040078201,7.85923753665689,5.04398826979472
"54",19900604,76,1.126,1.081,1.04,-0.0449999999999999,-0.0859999999999999,0.0254,1.2505,1.3545,1.439,1.3985,4.09448818897638,7.42125984251969,5.82677165354331
"55",19900605,76,1.13,1.085,1.039,-0.0449999999999999,-0.091,0.02615,1.27,1.3475,1.4525,1.3625,2.96367112810708,6.97896749521989,3.53728489483748
"56",19900606,76,1.123,1.08,1.032,-0.0429999999999999,-0.091,0.02555,1.26,1.3335,1.455,1.34,2.87671232876713,7.6320939334638,3.13111545988259
"57",19900607,76,1.123,1.08,1.036,-0.0429999999999999,-0.087,0.024,1.2605,1.3525,1.453,1.3475,3.83333333333334,8.02083333333334,3.62500000000001
