"","Date","Security_ID","Month0_Raw_Price","Month1_Raw_Price","Month5_Raw_Price","Month1_Minus_Month0","Month5_Minus_Month0","TR20","Adj.Price","AdjustedLCPrice30","AdjustedLCPrice60","AdjustedLCPrice90","Return30","Return60","Return90"
"1",20020401,48,0.6703,0.6655,0.6928,-0.00480000000000003,0.0225,-49.940705,0.717,0.678,0.6838,0.7037,0.000780926100262302,0.000664788372530982,0.000266315823935605
"2",20020402,48,0.6653,0.6613,0.688,-0.004,0.0226999999999999,0.00972,0.712,0.6737,0.6813,0.702,-3.940329218107,-3.15843621399176,-1.02880658436214
"3",20020403,48,0.663,0.6583,0.6855,-0.00470000000000004,0.0225,0.00967,0.7097,0.6775,0.6803,0.7132,-3.32988624612203,-3.04033092037228,0.361944157187171
"4",20020404,48,0.648,0.6433,0.6705,-0.00470000000000004,0.0225,0.009995,0.6947,0.674,0.6815,0.7105,-2.07103551775888,-1.32066033016508,1.5807903951976
"5",20020405,48,0.643,0.642,0.6685,-0.001,0.0255,0.010535,0.6897,0.6642,0.6938,0.7117,-2.42050308495491,0.389178927384917,2.08827717133365
"6",20020408,48,0.6323,0.6315,0.6565,-0.000800000000000023,0.0242,0.011185,0.679,0.6495,0.6958,0.712,-2.63746088511399,1.502011622709,2.95037997317837
"7",20020409,48,0.64,0.6383,0.6638,-0.00170000000000003,0.0237999999999999,0.011545,0.6867,0.6407,0.6908,0.7117,-3.98440883499351,0.355132091814647,2.1654395842356
"8",20020410,48,0.625,0.6238,0.6513,-0.00119999999999998,0.0263,0.012285,0.6717,0.648,0.6928,0.7117,-1.92918192918193,1.71754171754173,3.25600325600326
"9",20020411,48,0.6293,0.6293,0.6573,0,0.028,0.01236,0.676,0.66,0.6878,0.71,-1.29449838187702,0.954692556634316,2.75080906148867
"10",20020412,48,0.6213,0.6235,0.6558,0.00220000000000009,0.0345000000000001,0.01221,0.668,0.6675,0.6843,0.702,-0.0409500409500364,1.33497133497134,2.78460278460279
"11",20020415,48,0.6215,0.6263,0.6575,0.00479999999999992,0.0359999999999999,0.01216,0.6682,0.675,0.6845,0.7,0.559210526315783,1.34046052631579,2.61513157894736
"12",20020416,48,0.6258,0.6318,0.6635,0.00600000000000001,0.0377,0.012095,0.6725,0.669,0.6988,0.7067,-0.289375775113679,2.17445225299711,2.82761471682513
"13",20020417,48,0.63,0.6348,0.6663,0.00480000000000003,0.0363,0.011835,0.6767,0.654,0.7,0.6975,-1.91803971271651,1.96873679763414,1.75749894381073
"14",20020418,48,0.6213,0.6258,0.6565,0.00450000000000006,0.0352,0.012215,0.668,0.6555,0.7045,0.696,-1.0233319688907,2.98812934916087,2.29226361031519
"15",20020419,48,0.608,0.6138,0.6445,0.00580000000000003,0.0365,0.012455,0.6547,0.6688,0.6995,0.6952,1.13207547169812,3.59694901645926,3.25170614211161
"16",20020422,48,0.6113,0.6165,0.6453,0.00520000000000009,0.034,0.012455,0.658,0.6658,0.7033,0.699,0.626254516258542,3.63709353673225,3.29185066238459
"17",20020423,48,0.6108,0.6143,0.6415,0.00349999999999995,0.0306999999999999,0.012765,0.6575,0.6578,0.7048,0.6962,0.0235017626322035,3.7054445750098,3.03172737955347
"18",20020424,48,0.6025,0.6068,0.6325,0.00429999999999997,0.0299999999999999,0.013055,0.6492,0.6605,0.703,0.6972,0.865568747606288,4.12102642665646,3.67675220222137
"19",20020425,48,0.6128,0.6175,0.6445,0.00470000000000004,0.0317,0.013455,0.6595,0.6568,0.704,0.695,-0.200668896321065,3.30732069862505,2.63842437755481
"20",20020426,48,0.6278,0.632,0.6595,0.00419999999999998,0.0317,0.01383,0.6745,0.6633,0.6945,0.6957,-0.809833694866232,1.44613159797542,1.53289949385394
"21",20020429,48,0.623,0.6275,0.6555,0.00449999999999995,0.0325,0.01416,0.6697,0.6735,0.6925,0.7057,0.268361581920906,1.61016949152543,2.54237288135593
"22",20020430,48,0.6363,0.6378,0.6665,0.00150000000000006,0.0302,0.0144,0.683,0.673,0.7032,0.7067,-0.694444444444437,1.40277777777779,1.64583333333334
"23",20020501,48,0.6323,0.6353,0.6633,0.003,0.031,0.014425,0.679,0.6743,0.7017,0.705,-0.325823223570185,1.5736568457539,1.80242634315425
"24",20020502,48,0.6225,0.6288,0.6588,0.00629999999999997,0.0363,0.0143,0.6692,0.6713,0.7017,0.7107,0.146853146853146,2.27272727272727,2.9020979020979
"25",20020503,48,0.6213,0.6285,0.6578,0.00719999999999998,0.0365000000000001,0.01401,0.668,0.6825,0.702,0.7167,1.0349750178444,2.42683797287652,3.47608850820843
"26",20020506,48,0.6363,0.6435,0.6718,0.00719999999999998,0.0355,0.01381,0.683,0.6858,0.7027,0.7222,0.202751629254173,1.42650253439537,2.83852280955829
"27",20020507,48,0.6418,0.6468,0.6703,0.005,0.0285,0.013635,0.6885,0.684,0.696,0.7277,-0.330033003300326,0.550055005500546,2.87495416208288
"28",20020508,48,0.6365,0.6395,0.6653,0.003,0.0288,0.013485,0.6832,0.6833,0.6972,0.7247,0.00741564701520949,1.0381905821283,3.07749351130887
"29",20020509,48,0.6273,0.633,0.661,0.00570000000000004,0.0337000000000001,0.012895,0.674,0.683,0.6952,0.7265,0.697944939899195,1.64404808065142,4.07134548274526
"30",20020510,48,0.6305,0.6393,0.667,0.00880000000000003,0.0365000000000001,0.012485,0.6772,0.6793,0.7055,0.7275,0.168201842210661,2.2667200640769,4.02883460152184
"31",20020513,48,0.6313,0.6408,0.6683,0.00950000000000006,0.037,0.012275,0.678,0.6838,0.7037,0.7277,0.472505091649706,2.09368635437882,4.04887983706722
"32",20020514,48,0.627,0.636,0.6658,0.00900000000000001,0.0387999999999999,0.012465,0.6737,0.6813,0.702,0.7252,0.609707180104296,2.27035699959888,4.13156839149619
"33",20020515,48,0.6308,0.6378,0.6655,0.00700000000000001,0.0347,0.012315,0.6775,0.6803,0.7132,0.7157,0.227365002030047,2.89890377588307,3.10190824198132
"34",20020516,48,0.6273,0.6358,0.663,0.00850000000000006,0.0357000000000001,0.01165,0.674,0.6815,0.7105,0.7157,0.64377682403434,3.13304721030044,3.57939914163091
"35",20020517,48,0.6175,0.63,0.6585,0.0125,0.0409999999999999,0.01144,0.6642,0.6938,0.7117,0.7217,2.58741258741259,4.1520979020979,5.02622377622378
"36",20020520,48,0.6028,0.6155,0.6473,0.0127,0.0445,0.0118,0.6495,0.6958,0.712,0.712,3.92372881355933,5.29661016949153,5.29661016949153
"37",20020521,48,0.594,0.6058,0.6425,0.0118,0.0485,0.011825,0.6407,0.6908,0.7117,0.7082,4.23678646934462,6.00422832980973,5.70824524312896
"38",20020522,48,0.6013,0.6095,0.6465,0.0082000000000001,0.0452,0.01161,0.648,0.6928,0.7117,0.7105,3.85874246339364,5.48664944013782,5.38329026701121
"39",20020523,48,0.6133,0.6193,0.6518,0.00600000000000001,0.0385000000000001,0.01101,0.66,0.6878,0.71,0.706,2.52497729336968,4.54132606721163,4.1780199818347
"40",20020524,48,0.6208,0.6248,0.6553,0.004,0.0345,0.01082,0.6675,0.6843,0.702,0.7007,1.55268022181146,3.18853974121996,3.06839186691312
"41",20020528,48,0.6283,0.6285,0.656,0.000199999999999978,0.0277000000000001,0.01032,0.675,0.6845,0.7,0.7062,0.92054263565892,2.42248062015504,3.02325581395349
"42",20020529,48,0.623,0.652,NA,0.029,NA,0.01003,0.669,0.6988,0.7067,0.7035,2.97108673978066,3.75872382851445,3.43968095712861
"43",20020530,48,0.608,0.6395,NA,0.0315,NA,0.01028,0.654,0.7,0.6975,0.7027,4.47470817120623,4.23151750972762,4.73735408560311
"44",20020531,48,0.6095,0.644,NA,0.0345,NA,0.00998,0.6555,0.7045,0.696,0.7145,4.90981963927855,4.05811623246492,5.91182364729458
"45",20020603,48,0.6228,0.6528,NA,0.03,NA,0.01027,0.6688,0.6995,0.6952,0.7105,2.98928919182083,2.57059396299902,4.06037000973709
"46",20020604,48,0.6198,0.647,NA,0.0272,NA,0.009945,0.6658,0.7033,0.699,0.7162,3.77073906485671,3.3383609854198,5.06787330316741
"47",20020605,48,0.6118,0.6393,NA,0.0275,NA,0.010325,0.6578,0.7048,0.6962,0.7202,4.55205811138015,3.71912832929782,6.04358353510895
"48",20020606,48,0.6145,0.6438,NA,0.0293,NA,0.00995,0.6605,0.703,0.6972,0.7225,4.2713567839196,3.68844221105527,6.23115577889447
"49",20020607,48,0.6108,0.6378,NA,0.027,NA,0.00988,0.6568,0.704,0.695,0.726,4.77732793522267,3.86639676113359,7.00404858299594
"50",20020610,48,0.6173,0.6423,NA,0.025,NA,0.009955,0.6633,0.6945,0.6957,0.723,3.13410346559518,3.25464590657961,5.99698643897539
"51",20020611,48,0.6275,0.6488,NA,0.0213000000000001,NA,0.01039,0.6735,0.6925,0.7057,0.718,1.82868142444659,3.09913378248316,4.28296438883542
