"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value","CL5.value"
"1",19900102,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.4,82.25,84.25,86.25,89.5,NA
"2",19900103,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",82.1,84,85.5,87.75,90.25,93
"3",19900104,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",82.45,84.2,86.3,88.2,91,NA
"4",19900105,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81,82.8,85,87,90.25,93
"5",19900108,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.55,83.4,85.5,87.1,90.2,NA
"6",19900109,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",82.5,84.1,86,87.75,90.5,94
"7",19900110,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",82.45,83.95,85.8,87.5,90.25,93.25
"8",19900111,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.6,83.25,85,86.75,89.5,92.25
"9",19900112,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",79.65,81.3,83.1,85,87.7,90.5
"10",19900115,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",77.7,79.7,81.4,83.4,86.35,89.25
"11",19900116,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",76.8,78.6,80.7,82.5,85.15,88
"12",19900117,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",78.8,80.5,82.45,84.25,86.95,90.25
"13",19900118,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",79.15,80.75,82.65,84.6,86.9,89.5
"14",19900119,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.8,82.1,83.9,85.9,88.2,NA
"15",19900122,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.4,82.7,84.45,86.25,88.5,NA
"16",19900123,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.35,81.75,83.7,85.5,88.4,90.5
"17",19900124,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.45,82,83.9,85.6,88,NA
"18",19900125,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.15,82.2,84.05,85.75,88,91.4
"19",19900126,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.25,82.45,84,85.8,88.25,NA
"20",19900129,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.3,82.6,84.2,86,88.25,90.5
"21",19900131,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.25,81.8,83.6,85.2,87.6,90
"22",19900201,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.45,82,83.7,85.4,88.25,90
"23",19900202,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.6,82.3,84.1,85.85,88.5,NA
"24",19900205,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.15,82.05,83.75,85.5,87.9,NA
"25",19900206,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",80.15,81.9,83.6,85.3,87.55,89.5
"26",19900207,"KCAH90.b01","KCAH90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01",81.1,82.8,84.5,86.2,88.25,90.5
"27",19900208,"KCAK90.b01","KCAK90.b01","KCAN90.b01","KCAU90.b01","KCAZ90.b01","KCAH91.b01","KCAK91.b01",84.1,85.9,87.5,89.15,91,NA
