"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL0.value","CL1.value","CL2.value","CL3.value","CL4.value"
"1",19900102,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",13.24,13.27,12.92,12.87,12.42
"2",19900103,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",13.69,13.67,13.42,13.21,12.45
"3",19900104,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.08,13.95,13.76,13.54,13
"4",19900105,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.16,14.08,13.88,13.64,13.06
"5",19900108,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.24,14.22,14.04,13.75,13.15
"6",19900109,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.17,14.17,13.97,13.7,13.05
"7",19900110,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.49,14.45,14.26,14.03,13.36
"8",19900111,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.5,14.48,14.29,14.02,13.41
"9",19900112,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.63,14.61,14.43,14.06,13.5
"10",19900115,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.63,14.58,14.45,14.1,13.42
"11",19900116,"SBAH90.b01","SBAH90.b01","SBAK90.b01","SBAN90.b01","SBAV90.b01","SBAH91.b01",14.47,14.48,14.32,14,13.29
