YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,CCH90,926,938,925,929,-92,13
19900103,CCH90,930,934,905,912,-92,29
19900104,CCH90,912,940,909,940,-92,31
19900105,CCH90,940,952,934,949,-92,18
19900108,CCH90,953,957,938,940,-92,19
19900109,CCH90,938,958,937,957,-92,21
19900110,CCH90,960,970,959,967,-92,13
19900111,CCH90,968,1010,968,1006,-92,43
19900112,CCH90,1012,1012,985,987,-92,27
19900115,CCH90,990,997,975,977,-92,22
19900116,CCH90,968,969,951,958,-92,26
19900117,CCH90,960,978,956,972,-92,22
19900118,CCH90,973,973,936,937,-92,37
19900119,CCH90,928,938,925,932,-92,13
19900122,CCH90,932,955,928,954,-92,27
19900123,CCH90,945,974,942,972,-92,32
19900124,CCH90,968,980,951,953,-92,29
19900125,CCH90,965,977,960,971,-92,24
19900126,CCH90,977,996,977,992,-92,25
19900129,CCH90,1000,1000,962,968,-92,38
19900130,CCH90,978,985,972,976,-92,17
19900131,CCH90,972,975,958,962,-92,18
19900201,CCH90,962,970,956,961,-92,14
19900202,CCH90,962,967,954,962,-92,13
19900206,CCH90,980,980,963,965,-92,18
19900207,CCH90,955,955,940,942,-92,25
19900208,CCH90,937,955,936,952,-92,19
19900209,CCH90,951,975,951,973,-92,24
19900212,CCH90,975,980,964,974,-92,16
19900213,CCH90,962,968,953,956,-92,21
19900214,CCK90,972,981,972,978,-101,16
19900215,CCK90,980,988,971,974,-101,17
19900216,CCK90,980,988,978,987,-101,14
19900220,CCK90,988,1001,988,999,-101,14
19900221,CCK90,1002,1041,1002,1035,-101,42
19900222,CCK90,1036,1040,1021,1039,-101,19
19900223,CCK90,1039,1045,1027,1044,-101,18
19900226,CCK90,1036,1037,1017,1019,-101,27
19900227,CCK90,1016,1030,1003,1029,-101,27
19900228,CCK90,1055,1063,1051,1055,-101,34
19900301,CCK90,1062,1062,1046,1054,-101,16
19900302,CCK90,1085,1095,1076,1094,-101,41
19900305,CCK90,1075,1085,1066,1080,-101,28
19900306,CCK90,1080,1095,1061,1090,-101,34
19900307,CCK90,1075,1083,1063,1063,-101,27
19900308,CCK90,1073,1107,1064,1098,-101,44
19900309,CCK90,1090,1090,1067,1074,-101,31
19900312,CCK90,1067,1069,1055,1058,-101,19
19900313,CCK90,1093,1101,1082,1095,-101,43
19900314,CCK90,1102,1114,1070,1072,-101,44
19900315,CCK90,1060,1084,1046,1065,-101,38
19900316,CCK90,1071,1086,1050,1054,-101,36
19900319,CCK90,1025,1040,1025,1030,-101,29
19900320,CCK90,1035,1040,1011,1023,-101,29
19900321,CCK90,1027,1047,1027,1034,-101,24
19900322,CCK90,1047,1075,1047,1075,-101,41
19900323,CCK90,1080,1110,1080,1107,-101,35
19900326,CCK90,1122,1129,1093,1097,-101,36
19900327,CCK90,1116,1123,1098,1117,-101,26
19900328,CCK90,1148,1174,1144,1168,-101,57
19900329,CCK90,1155,1190,1150,1190,-101,40
19900330,CCK90,1200,1204,1179,1183,-101,25
19900402,CCK90,1162,1174,1155,1163,-101,28
19900403,CCK90,1189,1230,1188,1215,-101,67
19900404,CCK90,1228,1243,1221,1235,-101,28
19900405,CCK90,1280,1285,1253,1264,-101,50
19900406,CCN90,1285,1303,1267,1301,-119,36
19900409,CCN90,1299,1300,1268,1275,-119,33
19900410,CCN90,1253,1349,1249,1346,-119,100
19900411,CCN90,1335,1383,1322,1329,-119,61
19900412,CCN90,1325,1360,1323,1344,-119,37
19900416,CCN90,1337,1338,1323,1328,-119,21
19900417,CCN90,1305,1319,1281,1285,-119,47
19900418,CCN90,1278,1316,1278,1299,-119,38
19900419,CCN90,1315,1348,1315,1338,-119,49
19900420,CCN90,1355,1366,1335,1337,-119,31
19900423,CCN90,1334,1335,1316,1325,-119,21
19900424,CCN90,1310,1312,1268,1299,-119,57
19900425,CCN90,1270,1290,1252,1257,-119,47
19900426,CCN90,1265,1293,1256,1260,-119,37
19900430,CCN90,1285,1299,1274,1297,-119,39
19900501,CCN90,1309,1327,1299,1324,-119,30
19900502,CCN90,1325,1333,1291,1301,-119,42
19900503,CCN90,1301,1307,1286,1302,-119,21
19900504,CCN90,1313,1323,1255,1274,-119,68
19900507,CCN90,1274,1300,1267,1293,-119,33
19900508,CCN90,1298,1298,1226,1234,-119,72
19900509,CCN90,1230,1290,1226,1289,-119,64
19900510,CCN90,1295,1333,1295,1313,-119,44
19900511,CCN90,1320,1320,1288,1301,-119,32
19900514,CCN90,1375,1409,1364,1406,-119,108
19900515,CCN90,1390,1406,1378,1398,-119,28
19900516,CCN90,1475,1478,1426,1433,-119,80
19900517,CCN90,1448,1450,1418,1447,-119,32
19900518,CCN90,1420,1493,1413,1477,-119,80
19900521,CCN90,1485,1485,1434,1446,-119,51
19900522,CCN90,1435,1500,1429,1491,-119,71
19900523,CCN90,1482,1482,1451,1466,-119,40
19900524,CCN90,1476,1510,1475,1493,-119,44
19900525,CCN90,1523,1525,1460,1464,-119,65
19900529,CCN90,1489,1498,1412,1424,-119,86
19900530,CCN90,1430,1460,1426,1443,-119,36
19900531,CCN90,1394,1424,1385,1415,-119,58
19900601,CCN90,1410,1419,1331,1347,-119,88
19900604,CCN90,1320,1323,1283,1317,-119,64
19900605,CCN90,1275,1355,1275,1351,-119,80
19900606,CCU90,1360,1366,1334,1342,-149,47
19900607,CCU90,1320,1357,1316,1341,-149,41
19900608,CCU90,1320,1325,1261,1265,-149,80
19900611,CCU90,1272,1283,1208,1211,-149,75
19900612,CCU90,1242,1257,1237,1251,-149,46
19900613,CCU90,1268,1282,1244,1253,-149,38
19900614,CCU90,1250,1257,1219,1226,-149,38
19900615,CCU90,1216,1250,1196,1243,-149,54
19900618,CCU90,1247,1258,1236,1252,-149,22
19900619,CCU90,1250,1265,1238,1243,-149,27
19900620,CCU90,1230,1274,1224,1263,-149,50
19900621,CCU90,1265,1280,1202,1204,-149,78
19900622,CCU90,1210,1210,1174,1194,-149,36
19900625,CCU90,1179,1206,1179,1199,-149,27
19900626,CCU90,1210,1249,1210,1244,-149,50
19900627,CCU90,1253,1274,1238,1240,-149,36
19900628,CCU90,1230,1253,1220,1234,-149,33
19900629,CCU90,1245,1248,1224,1246,-149,24
19900702,CCU90,1259,1312,1259,1309,-149,66
19900703,CCU90,1309,1328,1287,1324,-149,41
19900705,CCU90,1314,1314,1280,1292,-149,44
19900706,CCU90,1285,1320,1276,1311,-149,44
19900709,CCU90,1335,1335,1292,1294,-149,43
19900710,CCU90,1295,1297,1238,1245,-149,59
19900711,CCU90,1220,1223,1196,1209,-149,49
19900712,CCU90,1210,1263,1206,1257,-149,57
19900713,CCU90,1265,1275,1225,1230,-149,50
19900716,CCU90,1240,1257,1231,1246,-149,27
19900717,CCU90,1260,1268,1222,1225,-149,46
19900718,CCU90,1235,1248,1213,1244,-149,35
19900719,CCU90,1235,1249,1225,1237,-149,24
19900720,CCU90,1235,1245,1231,1242,-149,14
19900723,CCU90,1245,1267,1230,1259,-149,37
19900724,CCU90,1261,1290,1202,1268,-149,88
19900725,CCU90,1243,1278,1243,1267,-149,35
19900726,CCU90,1270,1284,1261,1275,-149,23
19900727,CCU90,1305,1307,1286,1291,-149,32
19900730,CCU90,1278,1279,1256,1266,-149,35
19900731,CCU90,1270,1271,1244,1248,-149,27
19900801,CCU90,1243,1248,1223,1224,-149,25
19900802,CCU90,1218,1230,1210,1212,-149,20
19900803,CCU90,1185,1191,1166,1176,-149,46
19900806,CCZ90,1235,1235,1178,1183,-190,57
19900807,CCZ90,1195,1200,1173,1185,-190,27
19900808,CCZ90,1186,1193,1160,1178,-190,33
19900809,CCZ90,1162,1181,1162,1171,-190,19
19900810,CCZ90,1183,1205,1181,1198,-190,34
19900813,CCZ90,1205,1205,1146,1149,-190,59
19900814,CCZ90,1133,1140,1111,1113,-190,38
19900815,CCZ90,1125,1139,1124,1133,-190,26
19900816,CCZ90,1147,1148,1137,1144,-190,15
19900817,CCZ90,1137,1143,1127,1140,-190,17
19900820,CCZ90,1135,1179,1135,1178,-190,44
19900821,CCZ90,1177,1198,1177,1182,-190,21
19900822,CCZ90,1180,1200,1173,1197,-190,27
19900823,CCZ90,1212,1225,1206,1223,-190,28
19900824,CCZ90,1235,1384,1235,1381,-190,161
19900827,CCZ90,1390,1391,1355,1363,-190,36
19900828,CCZ90,1320,1329,1266,1280,-190,97
19900829,CCZ90,1284,1284,1241,1249,-190,43
19900830,CCZ90,1248,1315,1240,1307,-190,75
19900831,CCZ90,1337,1346,1317,1319,-190,39
19900904,CCZ90,1315,1341,1291,1332,-190,50
19900905,CCZ90,1348,1353,1285,1296,-190,68
19900906,CCZ90,1308,1328,1288,1316,-190,40
19900907,CCZ90,1285,1285,1246,1267,-190,70
19900910,CCZ90,1242,1280,1235,1272,-190,45
19900911,CCZ90,1265,1273,1251,1253,-190,22
19900912,CCZ90,1255,1294,1237,1287,-190,57
19900913,CCZ90,1292,1312,1288,1299,-190,25
19900914,CCZ90,1318,1320,1282,1302,-190,38
19900917,CCZ90,1312,1336,1307,1326,-190,34
19900918,CCZ90,1326,1326,1287,1291,-190,39
19900919,CCZ90,1266,1273,1256,1261,-190,35
19900920,CCZ90,1261,1276,1247,1254,-190,29
19900921,CCZ90,1259,1273,1251,1260,-190,22
19900924,CCZ90,1300,1305,1287,1295,-190,45
19900925,CCZ90,1302,1302,1277,1288,-190,25
19900926,CCZ90,1285,1285,1271,1274,-190,17
19900927,CCZ90,1265,1318,1263,1307,-190,55
19900928,CCZ90,1300,1304,1276,1281,-190,31
19901001,CCZ90,1287,1287,1238,1240,-190,49
19901002,CCZ90,1240,1267,1224,1260,-190,43
19901003,CCZ90,1255,1265,1234,1245,-190,31
19901004,CCZ90,1248,1273,1247,1267,-190,28
19901005,CCZ90,1267,1276,1235,1241,-190,41
19901008,CCZ90,1254,1263,1242,1251,-190,22
19901009,CCZ90,1250,1250,1213,1214,-190,38
19901010,CCZ90,1209,1220,1201,1202,-190,19
19901011,CCZ90,1205,1221,1199,1203,-190,22
19901012,CCZ90,1214,1228,1212,1221,-190,25
19901015,CCZ90,1201,1201,1164,1168,-190,57
19901016,CCZ90,1171,1180,1146,1152,-190,34
19901017,CCZ90,1154,1184,1154,1175,-190,32
19901018,CCZ90,1183,1183,1151,1163,-190,32
19901019,CCZ90,1150,1200,1143,1199,-190,57
19901022,CCZ90,1199,1210,1170,1184,-190,40
19901023,CCZ90,1190,1203,1178,1185,-190,25
19901024,CCZ90,1205,1229,1204,1227,-190,44
19901025,CCZ90,1230,1239,1206,1214,-190,33
19901026,CCZ90,1220,1225,1212,1218,-190,13
19901029,CCZ90,1212,1212,1172,1174,-190,46
19901030,CCZ90,1165,1167,1145,1148,-190,29
19901031,CCZ90,1125,1155,1125,1153,-190,30
19901101,CCZ90,1165,1170,1153,1161,-190,17
19901102,CCZ90,1175,1179,1146,1147,-190,33
19901105,CCZ90,1159,1163,1138,1142,-190,25
19901106,CCZ90,1139,1164,1136,1151,-190,28
19901107,CCZ90,1161,1174,1154,1158,-190,23
19901108,CCZ90,1165,1187,1165,1172,-190,29
19901109,CCH91,1244,1250,1227,1227,-251,23
19901112,CCH91,1227,1231,1219,1224,-251,12
19901113,CCH91,1240,1244,1227,1229,-251,20
19901114,CCH91,1237,1249,1225,1240,-251,24
19901115,CCH91,1250,1307,1250,1302,-251,67
19901116,CCH91,1300,1380,1292,1366,-251,88
19901119,CCH91,1375,1385,1334,1343,-251,51
19901120,CCH91,1360,1366,1347,1357,-251,23
19901121,CCH91,1364,1378,1335,1367,-251,43
19901126,CCH91,1350,1365,1341,1357,-251,26
19901127,CCH91,1370,1377,1318,1324,-251,59
19901128,CCH91,1329,1339,1322,1328,-251,17
19901129,CCH91,1316,1325,1283,1292,-251,45
19901130,CCH91,1315,1330,1271,1283,-251,59
19901203,CCH91,1285,1291,1251,1254,-251,40
19901204,CCH91,1261,1265,1225,1236,-251,40
19901205,CCH91,1237,1246,1220,1236,-251,26
19901206,CCH91,1237,1270,1237,1263,-251,34
19901207,CCH91,1255,1257,1224,1227,-251,39
19901210,CCH91,1223,1245,1216,1241,-251,29
19901211,CCH91,1238,1240,1226,1237,-251,15
19901212,CCH91,1235,1240,1228,1233,-251,12
19901213,CCH91,1240,1243,1213,1214,-251,30
19901214,CCH91,1214,1232,1207,1220,-251,25
19901217,CCH91,1217,1223,1164,1169,-251,59
19901218,CCH91,1176,1179,1153,1156,-251,26
19901219,CCH91,1151,1171,1149,1159,-251,22
19901220,CCH91,1159,1173,1159,1166,-251,14
19901221,CCH91,1168,1176,1161,1176,-251,15
19901227,CCH91,1167,1172,1137,1149,-251,39
19901228,CCH91,1155,1155,1141,1150,-251,14
19910102,CCH91,1151,1157,1132,1146,-251,25
19910103,CCH91,1155,1157,1141,1141,-251,16
19910107,CCH91,1137,1157,1130,1153,-251,27
19910108,CCH91,1145,1150,1140,1140,-251,13
19910109,CCH91,1138,1150,1125,1137,-251,25
19910110,CCH91,1137,1190,1137,1186,-251,53
19910111,CCH91,1190,1205,1177,1197,-251,28
19910114,CCH91,1190,1216,1181,1210,-251,35
19910115,CCH91,1205,1210,1191,1198,-251,19
19910116,CCH91,1188,1188,1171,1177,-251,27
19910117,CCH91,1172,1204,1164,1199,-251,40
19910118,CCH91,1187,1207,1186,1194,-251,21
19910121,CCH91,1190,1204,1186,1191,-251,18
19910122,CCH91,1197,1202,1192,1200,-251,11
19910123,CCH91,1193,1198,1160,1167,-251,40
19910124,CCH91,1165,1172,1147,1148,-251,25
19910125,CCH91,1154,1159,1143,1147,-251,16
19910128,CCH91,1147,1157,1141,1155,-251,16
19910129,CCH91,1155,1168,1145,1146,-251,23
19910130,CCH91,1115,1134,1115,1122,-251,31
19910131,CCH91,1125,1132,1122,1128,-251,10
19910201,CCH91,1121,1134,1121,1131,-251,13
19910204,CCH91,1131,1158,1130,1157,-251,28
19910205,CCH91,1155,1155,1126,1136,-251,31
19910206,CCH91,1130,1158,1128,1151,-251,30
19910207,CCH91,1132,1148,1130,1133,-251,21
19910208,CCH91,1123,1142,1123,1132,-251,19
19910211,CCH91,1128,1140,1125,1135,-251,15
19910212,CCH91,1140,1153,1126,1130,-251,27
19910213,CCH91,1135,1149,1135,1140,-251,19
19910214,CCK91,1172,1207,1172,1204,-279,39
19910215,CCK91,1210,1224,1196,1200,-279,28
19910219,CCK91,1190,1202,1177,1185,-279,25
19910220,CCK91,1184,1193,1170,1171,-279,23
19910221,CCK91,1172,1180,1134,1137,-279,46
19910222,CCK91,1135,1141,1126,1131,-279,15
19910225,CCK91,1125,1126,1111,1114,-279,20
19910226,CCK91,1111,1129,1111,1128,-279,18
19910227,CCK91,1128,1132,1120,1121,-279,12
19910228,CCK91,1128,1145,1128,1138,-279,24
19910301,CCK91,1145,1145,1115,1121,-279,30
19910304,CCK91,1113,1142,1106,1135,-279,36
19910305,CCK91,1150,1170,1143,1169,-279,35
19910306,CCK91,1190,1213,1190,1201,-279,44
19910307,CCK91,1190,1205,1182,1200,-279,23
19910308,CCK91,1200,1202,1178,1183,-279,24
19910311,CCK91,1170,1175,1150,1154,-279,33
19910312,CCK91,1162,1177,1151,1175,-279,26
19910313,CCK91,1173,1186,1165,1181,-279,21
19910314,CCK91,1175,1200,1167,1196,-279,33
19910315,CCK91,1200,1220,1160,1162,-279,60
19910318,CCK91,1165,1165,1145,1157,-279,20
19910319,CCK91,1148,1172,1143,1166,-279,29
19910320,CCK91,1155,1162,1147,1154,-279,19
19910321,CCK91,1155,1157,1129,1133,-279,28
19910322,CCK91,1132,1137,1117,1119,-279,20
19910325,CCK91,1115,1115,1096,1098,-279,23
19910326,CCK91,1095,1121,1093,1114,-279,28
19910327,CCK91,1110,1120,1108,1114,-279,12
19910328,CCK91,1110,1111,1103,1105,-279,11
19910401,CCK91,1112,1137,1110,1134,-279,32
19910402,CCK91,1130,1147,1130,1143,-279,17
19910403,CCK91,1140,1140,1097,1100,-279,46
19910404,CCK91,1103,1118,1103,1109,-279,18
19910405,CCK91,1120,1120,1086,1101,-279,34
19910408,CCK91,1090,1090,1070,1085,-279,31
19910409,CCN91,1120,1138,1113,1134,-310,25
19910410,CCN91,1133,1133,1112,1116,-310,22
19910411,CCN91,1118,1131,1116,1126,-310,15
19910412,CCN91,1138,1142,1126,1129,-310,16
19910415,CCN91,1135,1138,1109,1111,-310,29
19910416,CCN91,1116,1137,1115,1119,-310,26
19910417,CCN91,1129,1134,1110,1112,-310,24
19910418,CCN91,1103,1113,1100,1103,-310,13
19910419,CCN91,1080,1084,1070,1074,-310,33
19910422,CCN91,1065,1067,1053,1065,-310,21
19910423,CCN91,1075,1081,1066,1069,-310,16
19910424,CCN91,1063,1069,1052,1059,-310,17
19910425,CCN91,1042,1047,1034,1034,-310,25
19910426,CCN91,1025,1034,1023,1028,-310,11
19910429,CCN91,1013,1027,1011,1019,-310,17
19910430,CCN91,1033,1040,1023,1035,-310,21
19910501,CCN91,1040,1043,1022,1023,-310,21
19910502,CCN91,1023,1039,1022,1032,-310,17
19910503,CCN91,1028,1038,1022,1023,-310,16
19910507,CCN91,1035,1040,1017,1022,-310,23
19910508,CCN91,1016,1016,1006,1013,-310,16
19910509,CCN91,1002,1004,991,1000,-310,22
19910510,CCN91,1003,1017,986,988,-310,31
19910513,CCN91,987,995,979,992,-310,16
19910514,CCN91,991,1004,988,1000,-310,16
19910515,CCN91,999,1007,986,991,-310,21
19910516,CCN91,987,995,983,989,-310,12
19910517,CCN91,988,1005,985,997,-310,20
19910520,CCN91,992,1002,991,992,-310,11
19910521,CCN91,997,1002,990,993,-310,12
