YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,CTH90,69,69,68.09,68.3,-1.81,0.98
19900103,CTH90,68.4,69.1,67.85,69.1,-1.81,1.25
19900104,CTH90,69.15,69.25,67.1,67.35,-1.81,2.15
19900105,CTH90,66.7,67.71,66.3,66.31,-1.81,1.41
19900108,CTH90,66.31,66.85,65.9,66.4,-1.81,0.95
19900109,CTH90,66.87,67.15,66.42,66.63,-1.81,0.75
19900110,CTH90,66.5,66.5,65,65.48,-1.81,1.63
19900111,CTH90,65.9,66.85,65.9,66.65,-1.81,1.37
19900112,CTH90,65.6,68.05,65.25,66.15,-1.81,2.8
19900115,CTH90,66.6,66.68,65.8,66.22,-1.81,0.88
19900116,CTH90,65.9,66.2,65.4,65.85,-1.81,0.82
19900117,CTH90,65.9,66.95,65.85,66.9,-1.81,1.1
19900118,CTH90,67.2,67.2,66.08,66.5,-1.81,1.12
19900119,CTH90,66.5,67.28,66.45,67.02,-1.81,0.83
19900122,CTH90,66.4,66.92,66.2,66.71,-1.81,0.82
19900123,CTH90,66.8,67.03,66.25,66.79,-1.81,0.78
19900124,CTH90,66.4,66.45,65.8,65.95,-1.81,0.99
19900125,CTH90,66.29,66.65,64.78,65.17,-1.81,1.87
19900126,CTH90,65.05,65.6,64.51,64.51,-1.81,1.09
19900129,CTH90,64.26,65.15,64.16,64.66,-1.81,0.99
19900130,CTH90,65.25,66,64.95,65.72,-1.81,1.34
19900131,CTH90,66.5,67.6,66.3,67.05,-1.81,1.88
19900201,CTH90,67.05,67.25,66.75,66.91,-1.81,0.5
19900202,CTH90,67,67.11,66.82,67.11,-1.81,0.29
19900205,CTH90,67.3,67.79,67.3,67.64,-1.81,0.68
19900206,CTH90,67.65,67.65,66.4,66.52,-1.81,1.25
19900207,CTH90,66.5,66.95,66.15,66.93,-1.81,0.8
19900208,CTK90,68.35,68.5,68.25,68.5,-3.16,0.25
19900209,CTK90,69,69.1,68.15,68.15,-3.16,0.95
19900212,CTK90,68.48,68.8,67.95,68.7,-3.16,0.85
19900213,CTK90,69,69.9,68.63,69.67,-3.16,1.27
19900214,CTK90,69.78,70.68,69.6,70.58,-3.16,1.08
19900215,CTK90,70.35,70.96,70.05,70.96,-3.16,0.91
19900216,CTK90,70.65,71.05,70.5,70.59,-3.16,0.55
19900220,CTK90,70.2,70.4,70,70.19,-3.16,0.59
19900221,CTK90,70.05,71.04,69.96,70.98,-3.16,1.08
19900222,CTK90,71.2,71.29,70.45,70.47,-3.16,0.84
19900223,CTK90,70.3,70.48,69.85,70.48,-3.16,0.63
19900226,CTK90,70.25,70.4,70.06,70.08,-3.16,0.42
19900227,CTK90,70,70.7,69.93,70.34,-3.16,0.77
19900228,CTK90,70.35,70.62,70.16,70.16,-3.16,0.46
19900301,CTK90,70.3,70.4,69.5,69.55,-3.16,0.9
19900302,CTK90,69.4,69.83,69.35,69.79,-3.16,0.48
