YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
19900102,SBH90,13.22,13.28,13.02,13.02,-0.55,0.26
19900103,SBH90,13,14.22,12.98,14.22,-0.55,1.24
19900104,SBH90,14.08,14.24,13.93,14.17,-0.55,0.31
19900105,SBH90,14.15,14.27,14.02,14.16,-0.55,0.25
19900108,SBH90,14.2,14.37,14.05,14.06,-0.55,0.32
19900109,SBH90,14.13,14.33,14.04,14.33,-0.55,0.29
19900110,SBH90,14.5,14.59,14.35,14.54,-0.55,0.26
19900111,SBH90,14.52,14.57,14.44,14.52,-0.55,0.13
19900112,SBH90,14.53,14.75,14.49,14.56,-0.55,0.26
19900115,SBH90,14.55,14.69,14.49,14.65,-0.55,0.2
19900116,SBH90,14.25,14.64,14.18,14.48,-0.55,0.47
19900117,SBH90,14.53,14.73,14.3,14.3,-0.55,0.43
19900118,SBH90,14.3,14.43,14.27,14.41,-0.55,0.16
19900119,SBH90,14.41,14.42,14.25,14.26,-0.55,0.17
19900122,SBH90,14.2,14.66,14.2,14.6,-0.55,0.46
19900123,SBH90,14.68,14.9,14.68,14.71,-0.55,0.3
19900124,SBH90,14.65,14.85,14.59,14.85,-0.55,0.26
19900125,SBH90,14.99,15.25,14.89,15.16,-0.55,0.4
19900126,SBH90,15.15,15.15,14.86,14.86,-0.55,0.3
19900129,SBH90,14.94,14.96,14.77,14.87,-0.55,0.19
19900130,SBH90,14.95,15.05,14.44,14.44,-0.55,0.61
19900131,SBH90,14.49,14.73,14.42,14.73,-0.55,0.31
19900201,SBH90,14.85,15.12,14.11,14.8,-0.55,1.01
19900202,SBH90,14.83,14.92,14.68,14.81,-0.55,0.24
19900205,SBH90,14.7,14.9,14.7,14.86,-0.55,0.2
19900206,SBH90,14.77,14.77,14.58,14.6,-0.55,0.28
19900207,SBH90,14.55,14.97,14.45,14.97,-0.55,0.52
19900208,SBH90,14.9,14.95,14.8,14.86,-0.55,0.17
19900209,SBH90,14.9,15.13,14.84,15.12,-0.55,0.29
19900212,SBH90,15.06,15.17,14.92,14.94,-0.55,0.25
19900213,SBH90,14.85,14.86,14.55,14.56,-0.55,0.39
