05/08/18,26/06/18,01/09/17,19/03/15,23/09/13,24/09/12,08/06/09,22/09/08,19/02/08,21/11/05,08/04/04,01/11/99,12/03/97
AAPL,AAPL,AAPL,T,T,T,T,T,T,SBC,SBC,UK,UK
AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP
BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA
CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT
CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,C,C,C,C,C,CVX,CVX
CVX,CVX,CVX,CVX,CVX,CVX,CVX,CVX,HON,HON,HON,HON,HON
KO,KO,KO,KO,KO,KO,KO,KO,KO,KO,KO,KO,KO
DWDP,DWDP,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM
WBA,GE,GE,GE,GE,GE,GE,GE,GE,GE,GE,GE,GE
GS,GS,GS,GS,AA,AA,AA,AA,AA,AA,AA,AA,AA
HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,CVX,CVX
IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM
INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,GT,GT
JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM
MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD
MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM
MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK
MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,SHLD,SHLD
NKE,NKE,NKE,NKE,BAC,BAC,BAC,BAC,MO,MO,MO,MO,MO
PFE,PFE,PFE,PFE,PFE,PFE,PFE,PFE,PFE,PFE,EK,EK,EK
PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG
TRV,TRV,TRV,TRV,TRV,TRV,GM,GM,GM,GM,GM,GM,GM
UNH,UNH,UNH,UNH,UNH,KFT,KFT,AIG,AIG,AIG,T,T,T
UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX
V,V,V,V,HPQ,HPQ,HPQ,HPQ,HPQ,HPQ,HPQ,HPQ,HPQ
VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,IP,IP,IP
WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT
DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS
