"","AAPL","AXP","BA","CAT","CSCO","CVX","KO","DWDP","XOM","GS","HD","IBM","INTC","JNJ","JPM","MCD","MMM","MRK","MSFT","NKE","PFE","PG","TRV","UNH","UTX","V","VZ","WMT","DIS","WBA","GE","T","BAC","NKE.1","AA","BAC.1","C","MO","IP","GT","SHLD","HPQ"
"1997-03-12",0.580357,19.329542,53.5,20.15625,5.652778,33.4375,30.5,28.166666,25.375,NA,12.527778,36.21875,17.84375,29.8125,34.625,22.1875,45.5,46.125,12.34375,8.234375,15.791667,31.25,35.8125,6.859375,19.25,NA,29.340405,14.375,24.778107,10.90625,17.458334,28,31.375,8.234375,45.104309,31.375,182.083328,46,42.529587,53.5,NA,12.403497
"1997-03-13",0.584821,18.782478,51.5625,19.9375,5.777778,33.125,29.9375,27.875,25,NA,12.666667,35.71875,17.65625,29.375,33.041668,22,44.5625,45.25,12.453125,8.0625,15.3125,30.28125,35,6.75,18.78125,NA,28.441082,14.5,24.079554,10.59375,17.270834,27,29.875,8.0625,44.046989,29.875,176.25,42,42.159763,53.125,NA,12.630563
"1997-03-14",0.591518,18.818951,51.5,20.28125,5.618055,33.6875,29.75,27.75,25.28125,NA,12.916667,35.90625,17.234375,28.9375,33.458332,22.0625,44.875,44.1875,12.375,8.203125,15.1875,31.4375,34.75,6.75,19,NA,28.946951,14.375,24.572649,10.78125,17.166666,27.8125,29.4375,8.203125,44.695801,29.4375,177.5,43.041668,42.776134,53.875,NA,12.573796
"1997-03-17",0.589286,18.600124,53.25,20.125,5.458333,33.5625,30.125,28,25.21875,NA,12.833333,34.875,17.046875,28.9375,34.25,23.125,45,45.5625,12.5625,8.203125,15.4375,31.375,35,6.75,18.84375,NA,29.003159,14.4375,24.983564,10.875,17.395834,27.75,29.5,8.203125,45.15237,29.5,172.916672,42.208332,42.776134,55.125,NA,12.630563
"1997-03-18",0.580357,18.527184,51.875,20.03125,5.597222,33.4375,30.1875,27.625,25.3125,NA,12.972222,34.84375,17.09375,28.8125,33.166668,23.5,44.625,45.1875,12.453125,8.1875,15.270833,31.0625,34.6875,6.578125,18.46875,NA,29.284197,14.5625,24.819199,10.875,17.166666,27.8125,28.875,8.1875,44.19117,28.875,175.416672,41.791668,42.652859,54.375,NA,12.715713
"1997-03-19",0.575893,18.563654,52,20.15625,5.555555,33.875,29.8125,27.75,25.3125,NA,12.861111,34.46875,16.671875,28.6875,33.791668,23.6875,44.3125,45.75,12.09375,8.53125,15.229167,30.5625,34.5,6.390625,19.0625,NA,28.49729,14.9375,24.654833,10.75,17.25,27,29.4375,8.53125,44.19117,29.4375,173.75,40.666668,42.036488,54.375,NA,12.573796
"1997-03-20",0.616071,18.746008,52.5,20.15625,5.680555,33.9375,29.5,27.583334,25.28125,NA,12.805555,34.21875,16.65625,28.5625,33.916668,23.5625,44.3125,45.375,12,8.4375,15,30.09375,33.9375,6.484375,19,NA,28.160044,14.6875,24.490467,10.6875,17.104166,26.875,29,8.4375,43.902809,29,168.333328,38.625,41.78994,54.125,NA,12.94278
"1997-03-21",0.59375,18.928362,52.875,20.28125,5.472222,34.625,30,27.625,25.875,NA,12.777778,33.125,16.3125,28.3125,34,23.625,43.5625,45.5625,11.75,8.15625,15,30.4375,34.6875,6.390625,19.28125,NA,28.272459,14.875,24.326101,10.75,17.125,27.25,29.3125,8.15625,43.302059,29.3125,169.166672,37.166668,41.296844,54.5,NA,12.914396
"1997-03-24",0.589286,19.329542,52.875,20.84375,5.236111,35.1875,29.875,27.791666,26.125,NA,12.861111,34.1875,16.328125,28.9375,34.458332,23.75,44.3125,44.9375,11.265625,8.046875,15.104167,30.84375,34.875,6.734375,19.59375,NA,28.216251,14.875,24.654833,11,17.645834,28.125,30.8125,8.046875,43.254002,30.8125,177.5,38.583332,42.283039,55.25,NA,12.914396
"1997-03-25",0.589286,19.110716,52.8125,20.570299,5.319445,35.8125,29.75,27.708334,26.4375,NA,12.5,33.96875,16.65625,28.75,33.916668,23.75,44.375,45.5,11.289063,8.15625,15.083333,30.0625,34.5625,6.5,19.78125,NA,28.103836,14.625,24.572649,10.8125,17.5,27.3125,30.5,8.15625,42.052502,30.5,179.166672,39.5,41.42012,54.375,NA,12.715713
"1997-03-26",0.598214,18.782478,52.625,20.25,5.819445,36.0625,29.3125,27.291666,27.34375,NA,12.388889,35.0625,17.578125,28.5625,33.291668,24.25,43.6875,45.4375,11.78125,8.15625,14.916667,30.25,34.125,6.515625,19.84375,NA,28.160044,14.8125,24.737015,10.96875,17.3125,27.125,29.875,8.15625,42.196678,29.875,174.166672,39.833332,40.557198,53.875,NA,12.658946
"1997-03-27",0.665179,18.126003,50.875,20.03125,5.666667,34.8125,28.6875,26.75,27.03125,NA,12.083333,34.25,17.390625,27.5625,32.125,24.1875,42.75,44.4375,11.71875,7.953125,14.5625,29.40625,33.5,6.3125,19.5,NA,26.867268,14.4375,24.654833,10.71875,16.875,25.875,28.9375,7.953125,41.091301,28.9375,169.583328,39.041668,40.433926,54.25,NA,12.488647
"1997-03-31",0.651786,17.46953,49.3125,20.0625,5.347222,34.8125,27.875,26.625,26.9375,NA,11.888889,34.3125,17.390625,26.4375,31.291666,23.625,42.3125,42.125,11.460938,7.734375,14.020833,28.6875,32.4375,5.953125,18.9375,NA,27.316929,13.9375,23.956278,10.46875,16.541666,26.25,27.75,7.734375,40.851002,27.75,160,38.041668,38.46154,52.25,NA,12.091281
"1997-04-01",0.625,17.724825,50,19.75,5.375,34.4375,28.0625,26.666666,26.71875,NA,11.833333,34.1875,17.414063,27.4375,31.875,24.125,42.8125,43.3125,11.65625,7.796875,14.1875,29.3125,32.75,6.09375,19,NA,27.148306,13.875,23.791914,10.5,16.4375,26.4375,28.0625,7.796875,41.451752,28.0625,166.25,38.666668,39.694279,52.75,NA,11.864214
"1997-04-02",0.642857,17.06835,49.125,19.59375,5.277778,33.5,27.875,26.625,26.1875,NA,11.805555,33.4375,17.125,27.1875,30.791666,23.75,42.0625,42.6875,11.5,7.640625,13.916667,28.8125,32.4375,6.234375,19,NA,26.417606,13.875,23.791914,10.28125,16.291666,26.0625,27.9375,7.640625,40.899059,27.9375,157.5,38.125,39.324459,52.125,NA,11.495232
"1997-04-03",0.674107,17.323647,47.9375,19.3125,5.375,32.1875,27.6875,26.333334,25.5625,NA,11.75,32.78125,17.578125,27,31.166666,24.25,41.875,42.625,11.890625,7.359375,14.0625,28.75,32.1875,6.0625,18.71875,NA,26.698645,13.875,23.874096,10.3125,16.395834,25.75,27.75,7.359375,40.44249,27.75,161.25,38.083332,38.46154,51.25,NA,11.495232
"1997-04-04",0.6875,17.360117,49,19.78125,5.652778,32.5,28.6875,26.375,25.46875,NA,12.138889,32.3125,18.125,27.3125,31.291666,24.125,41.625,43.4375,11.773438,7.390625,14.604167,29.75,32.0625,6.265625,18.5,NA,26.81106,13.9375,24.243919,10.53125,16.8125,25.6875,27.9375,7.390625,40.490551,27.9375,160,37.791668,39.447731,51,NA,11.977748
"1997-04-07",0.696429,17.506001,50.0625,19.6875,6.048611,32.5,28.1875,26.5,26.25,NA,12.388889,33.125,18.140625,27.25,31.416666,24.375,41.0625,43.3125,11.984375,6.859375,14.645833,29.3125,32.6875,6.3125,18.78125,NA,27.597967,14,24.243919,10.4375,16.75,26.375,28.125,6.859375,39.937859,28.125,163.333328,37.75,39.447731,53.25,NA,11.92098
"1997-04-08",0.683036,17.907179,50.75,19.46875,6.152778,32.5625,28.375,26.666666,26,NA,12.416667,34.15625,18.326162,27.25,32.291668,24.9375,42.3125,42.625,12.28125,6.84375,14.333333,28.9375,33.1875,6.28125,18.71875,NA,27.148306,14.3125,24.285009,10.71875,16.875,26.4375,29.3125,6.84375,39.84174,29.3125,164.166672,38.083332,40.31065,52.375,NA,12.034514
"1997-04-09",0.678571,17.688354,50.75,19.5625,6.006945,32.625,28.8125,26.625,25.90625,NA,12.638889,33.28125,17.78125,26.8125,31.833334,24.8125,41.1875,40.75,12.25,7.046875,14.020833,29.9375,32.6875,6.390625,18.71875,NA,26.867268,14.3125,24.243919,10.625,16.979166,25.75,28.625,7.046875,39.937859,28.625,164.166672,37.833332,39.817554,51.5,NA,11.693914
