PERMNO,date,TICKER,PRC,VOL,BID,ASK
66800,080404,AIG,76.27000,5688800,76.28000,76.29000
66800,120404,AIG,76.77000,3895300,76.76000,76.77000
66800,130404,AIG,75.35000,7048500,75.28000,75.31000
66800,140404,AIG,75.05000,7142200,75.03000,75.05000
66800,150404,AIG,74.68000,6452500,74.59000,74.60000
66800,160404,AIG,75.18000,4844200,75.15000,75.18000
66800,190404,AIG,74.98000,3702800,74.89000,74.92000
66800,200404,AIG,73.00000,6003200,73.03000,73.11000
66800,210404,AIG,73.20000,6296400,73.14000,73.30000
66800,220404,AIG,73.70000,9116200,73.79000,73.80000
66800,230404,AIG,73.96000,4260000,73.92000,73.98000
66800,260404,AIG,73.03000,4548500,73.00000,73.01000
66800,270404,AIG,72.66000,4741300,72.69000,72.70000
66800,280404,AIG,71.51000,5820400,71.51000,71.51000
66800,290404,AIG,71.80000,6571400,71.82000,71.87000
66800,300404,AIG,71.65000,4937600,71.60000,71.61000
66800,030504,AIG,71.86000,4372500,71.83000,71.85000
66800,040504,AIG,71.67000,5071400,71.65000,71.67000
66800,050504,AIG,71.50000,4255300,71.55000,71.56000
66800,060504,AIG,71.20000,4315500,71.15000,71.17000
66800,070504,AIG,70.36000,6909900,70.34000,70.35000
66800,100504,AIG,69.75000,6664000,69.67000,69.80000
66800,110504,AIG,70.57000,6964900,70.63000,70.65000
66800,120504,AIG,71.25000,6695700,71.29000,71.30000
66800,130504,AIG,71.01000,5128400,71.00000,71.01000
66800,140504,AIG,70.80000,4046400,70.80000,70.82000
66800,170504,AIG,69.39000,6005600,69.37000,69.38000
66800,180504,AIG,69.43000,4372700,69.45000,69.48000
66800,190504,AIG,69.55000,5038100,69.57000,69.60000
66800,200504,AIG,70.01000,3829500,70.01000,70.03000
66800,210504,AIG,70.15000,4898200,70.15000,70.16000
66800,240504,AIG,69.80000,4283300,69.83000,69.88000
66800,250504,AIG,72.00000,5916600,71.99000,72.01000
66800,260504,AIG,72.11000,4563200,72.14000,72.18000
66800,270504,AIG,72.80000,5000200,72.82000,72.87000
66800,280504,AIG,73.30000,4006700,73.29000,73.31000
66800,010604,AIG,73.00000,5332400,72.94000,72.96000
66800,020604,AIG,73.86000,4075500,73.91000,73.95000
66800,030604,AIG,73.45000,4084800,73.37000,73.40000
66800,040604,AIG,74.10000,4264500,74.15000,74.16000
66800,070604,AIG,74.80000,3476400,74.79000,74.83000
66800,080604,AIG,74.12000,3584600,73.97000,74.14000
66800,090604,AIG,73.38000,3417800,73.31000,73.32000
66800,100604,AIG,73.26000,3279500,73.21000,73.27000
66800,140604,AIG,72.76000,3315900,72.75000,72.76000
66800,150604,AIG,72.15000,6075100,72.16000,72.18000
66800,160604,AIG,72.32000,3185000,72.32000,72.33000
66800,170604,AIG,72.26000,3170700,72.28000,72.33000
66800,180604,AIG,72.17000,4730300,72.08000,72.14000
66800,210604,AIG,71.57000,3902300,71.52000,71.53000
66800,220604,AIG,72.30000,4061100,72.37000,72.38000
66800,230604,AIG,72.08000,4897500,72.11000,72.14000
66800,240604,AIG,71.40000,4337600,71.45000,71.46000
66800,250604,AIG,71.75000,8378600,71.93000,71.96000
66800,280604,AIG,71.53000,4686200,71.53000,71.61000
66800,290604,AIG,71.35000,4350600,71.36000,71.37000
66800,300604,AIG,71.28000,5866800,71.32000,71.36000
66800,010704,AIG,71.50000,5139200,71.45000,71.48000
66800,020704,AIG,71.60000,2895500,71.57000,71.61000
66800,060704,AIG,71.10000,3145900,71.09000,71.11000
66800,070704,AIG,70.78000,4547600,70.77000,70.78000
66800,080704,AIG,70.12000,3470300,70.10000,70.11000
66800,090704,AIG,69.97000,3739300,69.98000,69.99000
