PERMNO,date,TICKER,PRC,VOL,BID,ASK
11703,120397,DD,112.25000,1357200,111.62500,112.25000
11703,130397,DD,111.37500,912400,111.12500,111.62500
11703,140397,DD,112.75000,1173700,112.12500,113.25000
11703,170397,DD,113.87500,1439800,113.25000,114.12500
11703,180397,DD,111.00000,1106500,110.62500,111.25000
11703,190397,DD,110.00000,1136100,109.62500,110.12500
11703,200397,DD,108.25000,1130400,108.00000,108.62500
11703,210397,DD,110.75000,1777500,110.12500,111.25000
11703,240397,DD,114.25000,1651100,113.62500,114.50000
11703,250397,DD,112.00000,1425800,111.62500,112.25000
11703,260397,DD,109.75000,1436400,109.12500,110.50000
11703,270397,DD,107.37500,1172100,106.87500,107.62500
11703,310397,DD,106.00000,1330200,105.87500,106.00000
11703,010497,DD,103.75000,1701900,103.00000,104.12500
11703,020497,DD,103.00000,1426300,102.87500,103.50000
11703,030497,DD,103.50000,1083300,103.50000,103.87500
11703,040497,DD,104.50000,1478800,103.75000,104.37500
11703,070497,DD,103.12500,1268300,102.75000,104.00000
11703,080497,DD,105.75000,1653200,105.37500,105.87500
11703,090497,DD,104.37500,1167900,104.12500,105.00000
11703,100497,DD,102.37500,1180900,102.00000,102.50000
11703,110497,DD,99.50000,1653700,99.25000,99.75000
11703,140497,DD,100.25000,1152500,99.87500,100.25000
11703,150497,DD,101.50000,1461600,101.62500,101.75000
11703,160497,DD,103.12500,973300,102.50000,103.25000
11703,170497,DD,104.62500,1154800,104.25000,104.87500
11703,180497,DD,104.87500,939700,104.37500,105.12500
11703,210497,DD,106.37500,881100,105.00000,106.37500
11703,220497,DD,108.25000,1056200,108.25000,108.50000
11703,230497,DD,106.00000,1078800,105.12500,106.37500
11703,240497,DD,102.25000,1829500,101.75000,102.87500
11703,250497,DD,103.37500,1204500,102.75000,103.87500
11703,280497,DD,102.62500,1010800,102.25000,102.87500
11703,290497,DD,107.00000,1127300,106.50000,107.50000
11703,300497,DD,106.12500,1247600,105.50000,106.75000
11703,010597,DD,103.25000,1279500,102.62500,103.25000
11703,020597,DD,107.37500,1188000,106.75000,107.50000
11703,050597,DD,108.00000,1183500,107.62500,108.75000
11703,060597,DD,110.25000,1556500,109.87500,110.37500
11703,070597,DD,107.00000,1246300,106.37500,107.00000
11703,080597,DD,107.25000,1041100,106.62500,107.25000
11703,090597,DD,108.25000,960800,107.87500,108.62500
11703,120597,DD,110.62500,1222200,110.00000,111.12500
11703,130597,DD,108.12500,1417000,107.62500,108.62500
11703,140597,DD,110.25000,884600,109.62500,110.25000
11703,150597,DD,110.25000,919300,109.75000,110.00000
11703,160597,DD,108.25000,1437700,107.37500,108.50000
11703,190597,DD,109.00000,751000,109.00000,109.62500
11703,200597,DD,110.87500,1472800,110.25000,111.00000
11703,210597,DD,110.00000,1183900,109.37500,110.50000
11703,220597,DD,108.87500,747100,108.62500,109.12500
11703,230597,DD,109.75000,560800,109.50000,110.00000
11703,270597,DD,111.75000,956100,111.75000,112.50000
11703,280597,DD,109.37500,1078400,108.87500,110.00000
11703,290597,DD,108.50000,779500,108.00000,108.87500
11703,300597,DD,108.62500,933700,108.25000,109.37500
11703,020697,DD,107.87500,1144700,107.00000,108.00000
11703,030697,DD,108.12500,1177200,107.62500,108.37500
11703,040697,DD,107.75000,1069600,107.50000,107.87500
11703,050697,DD,108.37500,1022600,107.87500,108.62500
11703,060697,DD,110.75000,1232800,110.12500,110.62500
11703,090697,DD,111.00000,1080600,110.25000,111.00000
11703,100697,DD,111.12500,1204900,110.25000,111.12500
11703,110697,DD,113.87500,1661400,113.12500,113.87500
11703,120697,DD,115.62500,1699700,115.75000,116.75000
11703,130697,DD,58.87500,7677200,58.25000,59.50000
11703,160697,DD,59.75000,3549800,59.12500,59.87500
11703,170697,DD,59.75000,2937000,59.12500,60.25000
11703,180697,DD,59.50000,1954100,59.37500,59.50000
11703,190697,DD,61.12500,2247300,60.75000,61.12500
11703,200697,DD,60.87500,3406900,60.62500,61.00000
11703,230697,DD,59.12500,1664800,59.00000,59.37500
11703,240697,DD,61.50000,2431400,61.43750,61.50000
11703,250697,DD,61.43750,2215800,61.12500,61.43750
11703,260697,DD,61.12500,2828800,60.81250,61.12500
11703,270697,DD,61.12500,2623400,60.93750,61.25000
11703,300697,DD,62.87500,2284100,62.00000,62.75000
11703,010797,DD,62.68750,1868500,62.50000,62.75000
11703,020797,DD,62.43750,2153600,62.00000,62.62500
11703,030797,DD,63.37500,1767500,63.18750,63.56250
11703,070797,DD,62.68750,1872400,62.43750,62.81250
11703,080797,DD,65.06250,2718600,64.93750,65.12500
11703,090797,DD,63.12500,3377800,62.87500,63.00000
11703,100797,DD,63.81250,1958700,63.50000,64.00000
11703,110797,DD,63.25000,1781700,63.00000,63.43750
11703,140797,DD,62.31250,2850400,62.12500,62.31250
11703,150797,DD,61.62500,3406600,61.56250,61.75000
11703,160797,DD,63.12500,3230200,62.87500,63.25000
11703,170797,DD,65.50000,3111700,65.18750,65.62500
11703,180797,DD,62.25000,3369000,62.00000,62.37500
11703,210797,DD,63.00000,1750000,62.93750,63.12500
11703,220797,DD,66.18750,3106000,65.50000,66.18750
11703,230797,DD,67.62500,4748800,67.50000,68.00000
11703,240797,DD,67.12500,2285400,66.93750,67.25000
11703,250797,DD,67.00000,1788600,66.62500,67.00000
11703,280797,DD,66.93750,1491800,66.75000,67.12500
11703,290797,DD,67.25000,2419000,67.06250,67.37500
11703,300797,DD,67.75000,1840400,67.56250,68.00000
11703,310797,DD,67.06250,1938900,66.68750,66.93750
11703,010897,DD,66.87500,2141200,66.68750,67.00000
11703,040897,DD,67.12500,2014500,66.87500,67.18750
11703,050897,DD,68.25000,3469100,68.00000,68.37500
11703,060897,DD,68.75000,2331800,68.31250,68.75000
11703,070897,DD,69.00000,2731300,68.56250,69.37500
11703,080897,DD,67.50000,2678200,66.87500,68.00000
