PERMNO,date,TICKER,PRC,VOL,BID,ASK
11754,120397,EK,91.87500,585300,91.50000,92.00000
11754,130397,EK,89.62500,596300,89.37500,90.00000
11754,140397,EK,88.37500,923100,88.12500,88.75000
11754,170397,EK,88.37500,835300,88.12500,88.75000
11754,180397,EK,87.87500,556100,87.62500,88.25000
11754,190397,EK,87.00000,572300,86.75000,87.37500
11754,200397,EK,88.25000,807500,87.87500,88.50000
11754,210397,EK,79.00000,11462000,78.62500,79.12500
11754,240397,EK,76.37500,5156901,76.37500,77.12500
11754,250397,EK,77.12500,4659700,76.62500,77.25000
11754,260397,EK,78.25000,2511900,78.00000,78.37500
11754,270397,EK,77.87500,1243200,77.50000,78.12500
11754,310397,EK,76.00000,2431800,75.87500,76.00000
11754,010497,EK,75.25000,1658600,75.00000,75.37500
11754,020497,EK,74.50000,2608400,74.00000,74.62500
11754,030497,EK,74.50000,1407300,73.87500,74.62500
11754,040497,EK,75.25000,1578000,75.00000,75.62500
11754,070497,EK,77.00000,923000,76.62500,77.25000
11754,080497,EK,77.50000,723600,77.00000,77.75000
11754,090497,EK,77.25000,1024900,76.87500,77.50000
11754,100497,EK,75.50000,953100,75.12500,75.75000
11754,110497,EK,75.00000,1178900,74.50000,75.12500
11754,140497,EK,73.12500,1004800,72.75000,73.50000
11754,150497,EK,75.37500,1570700,75.00000,75.37500
11754,160497,EK,78.12500,2070800,77.75000,78.37500
11754,170497,EK,78.12500,1236400,77.75000,78.37500
11754,180497,EK,79.00000,979700,78.75000,79.37500
11754,210497,EK,79.00000,976300,78.62500,79.25000
11754,220497,EK,79.50000,847800,79.25000,79.87500
11754,230497,EK,81.12500,1164700,80.75000,81.37500
11754,240497,EK,80.12500,949100,79.62500,80.25000
11754,250497,EK,79.50000,498300,79.25000,79.75000
11754,280497,EK,80.75000,766100,80.50000,81.12500
11754,290497,EK,83.25000,1543400,83.00000,83.62500
11754,300497,EK,83.12500,1144600,83.00000,83.75000
11754,010597,EK,82.75000,1057000,82.25000,83.00000
11754,020597,EK,81.62500,1151500,81.25000,81.87500
11754,050597,EK,82.87500,1016000,82.50000,83.12500
11754,060597,EK,83.50000,1257500,83.12500,83.75000
11754,070597,EK,81.50000,631800,81.12500,81.75000
11754,080597,EK,81.00000,1173100,80.50000,81.12500
11754,090597,EK,82.00000,820300,81.62500,82.25000
11754,120597,EK,83.00000,846700,83.00000,83.12500
11754,130597,EK,82.25000,731600,82.25000,82.50000
11754,140597,EK,82.12500,541300,81.75000,82.50000
11754,150597,EK,82.00000,869400,81.62500,82.25000
11754,160597,EK,80.00000,1316100,80.00000,80.37500
11754,190597,EK,79.87500,827600,79.62500,80.25000
11754,200597,EK,81.00000,1845300,80.62500,81.25000
11754,210597,EK,80.87500,999100,80.50000,81.12500
11754,220597,EK,81.50000,1161300,81.12500,81.75000
11754,230597,EK,82.75000,1270400,82.62500,83.25000
11754,270597,EK,84.50000,1562500,84.12500,84.75000
11754,280597,EK,83.37500,1067700,83.00000,83.62500
11754,290597,EK,83.25000,522300,82.87500,83.50000
11754,300597,EK,82.87500,891800,82.50000,83.12500
11754,020697,EK,82.87500,559200,82.50000,83.12500
11754,030697,EK,83.62500,866000,83.25000,83.87500
11754,040697,EK,83.25000,730200,82.87500,83.50000
11754,050697,EK,83.75000,495400,83.37500,84.00000
11754,060697,EK,85.00000,707000,84.50000,85.12500
11754,090697,EK,84.12500,732300,83.62500,84.25000
11754,100697,EK,83.87500,928000,83.50000,84.12500
11754,110697,EK,79.62500,3599800,79.12500,79.50000
11754,120697,EK,81.00000,3419300,80.62500,81.00000
11754,130697,EK,80.12500,2243200,80.12500,80.25000
11754,160697,EK,80.62500,1489900,80.25000,81.00000
11754,170697,EK,80.48438,2214600,80.00000,80.62500
11754,180697,EK,78.62500,2478800,78.62500,78.87500
11754,190697,EK,79.87500,1717400,79.50000,80.12500
11754,200697,EK,78.87500,1513400,78.37500,79.12500
11754,230697,EK,77.25000,1236400,77.00000,77.62500
11754,240697,EK,77.50000,1976900,77.37500,77.43750
11754,250697,EK,77.50000,1809100,77.12500,77.68750
11754,260697,EK,77.87500,1307900,77.56250,78.12500
11754,270697,EK,78.50000,1081700,78.25000,78.81250
11754,300697,EK,76.75000,1346600,76.75000,77.06250
11754,010797,EK,77.12500,1641600,77.12500,77.43750
11754,020797,EK,77.87500,1256000,77.56250,78.12500
11754,030797,EK,78.93750,723000,78.62500,79.18750
11754,070797,EK,79.31250,1212200,79.00000,79.56250
11754,080797,EK,80.50000,1165700,80.18750,80.75000
11754,090797,EK,79.50000,2005600,80.25000,80.43750
11754,100797,EK,78.00000,1662500,77.68750,78.25000
11754,110797,EK,77.75000,1528800,77.62500,78.00000
11754,140797,EK,77.18750,1083200,76.81250,77.43750
11754,150797,EK,76.87500,1726800,76.56250,77.12500
11754,160797,EK,68.37500,16763800,68.00000,68.25000
11754,170797,EK,66.25000,9779200,65.93750,66.12500
11754,180797,EK,66.25000,4111000,66.25000,66.50000
11754,210797,EK,67.50000,3452300,67.50000,67.68750
11754,220797,EK,68.68750,4526400,68.81250,68.93750
11754,230797,EK,68.75000,3454200,68.43750,69.00000
11754,240797,EK,68.12500,2190500,67.68750,68.25000
11754,250797,EK,67.06250,2283600,66.93750,67.50000
11754,280797,EK,67.92188,2320900,67.06250,69.06250
11754,290797,EK,67.50000,1987000,67.25000,68.18750
11754,300797,EK,68.31250,2729000,68.00000,68.56250
11754,310797,EK,67.00000,3200200,66.68750,67.25000
11754,010897,EK,68.00000,2571300,67.68750,68.25000
11754,040897,EK,68.18750,1153100,68.00000,68.43750
11754,050897,EK,67.93750,1517400,67.87500,68.37500
11754,060897,EK,67.93750,1317700,67.62500,68.18750
11754,070897,EK,67.12500,1860200,66.81250,67.43750
11754,080897,EK,66.62500,1739200,65.56250,67.56250
11754,110897,EK,65.62500,2140000,65.43750,66.00000
11754,120897,EK,64.87500,2026100,64.62500,65.18750
11754,130897,EK,65.00000,1648400,63.87500,65.87500
11754,140897,EK,63.12500,2429300,62.75000,63.31250
11754,150897,EK,63.25000,2485800,63.00000,63.25000
11754,180897,EK,63.75000,2724600,62.75000,63.56250
11754,190897,EK,63.62500,1455000,63.18750,63.81250
11754,200897,EK,67.62500,2956100,67.50000,67.75000
11754,210897,EK,66.62500,2667600,66.31250,66.87500
11754,220897,EK,66.75000,1701600,66.37500,67.00000
