PERMNO,date,TICKER,PRC,VOL,BID,ASK
89006,220908,KFT,33.09000,13287300,33.09000,33.10000
89006,230908,KFT,32.59000,9477800,32.50000,32.71000
89006,240908,KFT,32.60000,8249800,32.64000,32.65000
89006,250908,KFT,33.01000,11072200,33.04000,33.07000
89006,260908,KFT,32.93000,7837600,32.94000,32.96000
89006,290908,KFT,31.86000,16848300,31.99000,32.91000
89006,300908,KFT,32.75000,12605000,32.67000,32.68000
89006,011008,KFT,33.45000,10823300,33.45000,33.46000
89006,021008,KFT,33.54000,14059700,33.55000,33.56000
89006,031008,KFT,33.08000,14682300,33.07000,33.08000
89006,061008,KFT,31.73000,21206900,31.76000,31.79000
89006,071008,KFT,30.74000,17409600,30.73000,30.74000
89006,081008,KFT,29.97000,22752100,29.91000,29.94000
89006,091008,KFT,27.70000,21094200,28.13000,28.14000
89006,101008,KFT,27.25000,35001400,27.74000,27.75000
89006,131008,KFT,28.33000,23151600,28.48000,28.47000
89006,141008,KFT,27.91000,24479800,27.96000,27.97000
89006,151008,KFT,26.37000,23665900,26.28000,26.37000
89006,161008,KFT,27.50000,26890000,27.47000,27.49000
89006,171008,KFT,28.62000,20519000,28.63000,28.70000
89006,201008,KFT,29.59000,14485600,29.55000,29.56000
89006,211008,KFT,29.23000,9723500,29.23000,29.25000
89006,221008,KFT,28.18000,14558800,28.15000,28.24000
89006,231008,KFT,28.41000,17327300,28.44000,28.45000
89006,241008,KFT,27.10000,15143200,27.06000,27.09000
89006,271008,KFT,26.92000,11901500,26.97000,26.98000
89006,281008,KFT,28.88000,18856600,28.80000,28.92000
89006,291008,KFT,28.47000,15621400,28.30000,28.54000
89006,301008,KFT,28.95000,15952500,28.88000,28.97000
89006,311008,KFT,29.18000,12346200,29.13000,29.20000
89006,031108,KFT,29.31000,8425500,29.28000,29.30000
89006,041108,KFT,30.51000,12051000,30.37000,30.40000
89006,051108,KFT,29.23000,10727200,29.18000,29.22000
89006,061108,KFT,28.02000,14725600,28.02000,28.05000
89006,071108,KFT,28.49000,12077900,28.49000,28.53000
89006,101108,KFT,28.20000,10505000,28.26000,28.28000
89006,111108,KFT,28.04000,10285600,28.04000,28.07000
89006,121108,KFT,27.05000,14967200,27.08000,27.12000
89006,131108,KFT,28.11000,22937100,28.11000,28.15000
89006,141108,KFT,27.44000,13374000,27.38000,27.45000
89006,171108,KFT,26.83000,12631500,26.81000,26.82000
89006,181108,KFT,27.12000,18011700,27.06000,27.13000
89006,191108,KFT,25.99000,17775700,25.98000,26.06000
89006,201108,KFT,24.87000,20479900,24.86000,24.94000
89006,211108,KFT,26.56000,19215800,26.53000,26.54000
89006,241108,KFT,26.96000,14471500,26.85000,26.90000
89006,251108,KFT,26.87000,15865100,26.73000,26.93000
89006,261108,KFT,26.97000,12097400,26.92000,26.96000
89006,281108,KFT,27.21000,6125000,27.16000,27.15000
89006,011208,KFT,25.56000,14361700,25.56000,25.58000
89006,021208,KFT,26.15000,11829600,26.14000,26.28000
89006,031208,KFT,26.63000,12380900,26.64000,26.67000
89006,041208,KFT,26.11000,10178400,26.11000,26.14000
89006,051208,KFT,27.65000,16901300,27.57000,27.58000
89006,081208,KFT,27.68000,15621900,27.59000,27.61000
89006,091208,KFT,26.95000,16469600,26.93000,27.00000
89006,101208,KFT,26.87000,11687300,26.88000,26.89000
89006,111208,KFT,26.81000,15339500,26.79000,26.80000
89006,121208,KFT,26.96000,11848100,26.90000,26.96000
89006,151208,KFT,26.74000,10080800,26.75000,26.79000
89006,161208,KFT,27.31000,15825900,27.35000,27.36000
89006,171208,KFT,27.02000,13332100,27.00000,27.01000
89006,181208,KFT,26.73000,12807600,26.75000,26.77000
89006,191208,KFT,26.67000,19801400,26.61000,26.63000
89006,221208,KFT,26.86000,9258200,26.83000,26.84000
89006,231208,KFT,26.27000,6446700,26.26000,26.29000
89006,241208,KFT,26.47000,2195700,26.45000,26.47000
89006,261208,KFT,26.64000,2736300,26.61000,26.63000
89006,291208,KFT,26.52000,5978900,26.49000,26.51000
89006,301208,KFT,26.60000,8455200,26.58000,26.60000
89006,311208,KFT,26.85000,9757500,26.81000,26.83000
89006,020109,KFT,27.34000,7794200,27.30000,27.31000
89006,050109,KFT,27.62000,10196400,27.64000,27.67000
89006,060109,KFT,27.78000,10245700,27.76000,27.77000
89006,070109,KFT,27.76000,11029100,27.78000,27.80000
89006,080109,KFT,27.99000,13669700,28.00000,28.02000
89006,090109,KFT,27.78000,8161400,27.76000,27.78000
89006,120109,KFT,28.53000,13797900,28.52000,28.53000
89006,130109,KFT,28.82000,12475100,28.81000,28.79000
89006,140109,KFT,27.99000,13733700,28.00000,28.01000
89006,150109,KFT,28.07000,13851400,28.02000,28.04000
89006,160109,KFT,28.64000,12432700,28.62000,28.63000
89006,200109,KFT,28.22000,11163000,28.25000,28.28000
89006,210109,KFT,28.33000,23904400,28.34000,28.35000
89006,220109,KFT,28.91000,16888400,28.90000,28.92000
89006,230109,KFT,28.67000,11483400,28.68000,28.69000
89006,260109,KFT,28.85000,9172900,28.79000,28.81000
89006,270109,KFT,29.15000,10557200,29.16000,29.17000
89006,280109,KFT,29.57000,10587700,29.54000,29.55000
89006,290109,KFT,29.28000,9664700,29.23000,29.27000
89006,300109,KFT,28.05000,17533600,28.06000,28.08000
89006,020209,KFT,28.24000,11928600,28.25000,28.27000
89006,030209,KFT,28.74000,8648100,28.71000,28.72000
89006,040209,KFT,26.11000,26375100,26.11000,26.12000
89006,050209,KFT,26.00000,14236400,25.96000,26.04000
89006,060209,KFT,26.34000,11156800,26.32000,26.33000
