"","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Fund-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0382293313640886,0.0725837607331151,0.105999256166178,0.00131076221188678,0.135823660224465,0.0970026415705488,0.0747358031973413,0.0270673357994304,0.0614933232668517,0.0366933570336772,0.0438027372027856,0.016371654343705,0.0218661946619941,0.00126342210163672,-0.0105500252032987,0.0765225060900602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0214810503467044,0.00290286298794516,0.0228606416910129,0.0137029095849301,0.00658144460495972,0.00301137247212421,0.0176091263155903,-0.00359918858155924,0.00981830602908722,0.0156549515192873,-0.00382035656381227,0.00355926631117821,-0.00514315756972446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0451254482212987,-0.0131810360721146,0.00922213879135129,0.0480482593590231,0.0249935561370605,-0.00209802411943224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0584852220537411,-0.00588606017838943,-0.0211040222923837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0636210413405539,-0.0114842368938396,0.00195913209222309,0.0151325194037695,0.00458884600941827,-0.000452058168741325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0620001683519412,-0.00209852201619906,-0.00267890366720616,-0.00566932114820293,-0.00917933848796238,-0.00926549278303047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0329820987522588,0.0136559133541564,0.0206044977575244,0.000213280973748624,0.0189499398185092,0.00248263361287031,0.074376529389784,-0.00654665506658175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0406703313771042,0.0340260175970431,0.0138886084704886,0.0250672774388453,-0.00535180165561346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0233440109244417,0.0037255080569072,0.00245998280389865,0.00678775656640446,0.00371667687079208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129331840974021,0.0208316036859415,0.0105388743276659,0.00359067801081108,0.0226673163035043,0.0306092387561339,0.0127976697028665,0.0193367882764221,0.0050771934445466,0.0213392046375621,0.0115147730294484,-0.000322098712218891,-0.00874694691678012,0.0126900628165485,0.000554340438739448,-0.00315780434782586,0.015008386344777,0.0342581285127145,-0.0178139196662216,0.00561479262493724,0.00666524474674698,-0.00427947332835128,-0.00778954479560226,0.0344870255702649,-0.000635067790634316,-0.0086796257111953,0.00593161214858192,0.00648079960490053,NA
"Fund-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
