,Dates,Daily.Returns,Close,,Dates,Daily.Returns,Close
30,15/03/91,0,373.589996,,01/02/91,-0.003,343.049988
98,21/06/91,0.006,377.75,,04/02/91,0.015,348.339996
161,20/09/91,0.001,387.920013,,05/02/91,0.008,351.26001
225,20/12/91,0.012,387.040009,,06/02/91,0.019,358.070007
287,20/03/92,0.004,411.299988,,07/02/91,-0.004,356.519989
350,19/06/92,0.007,403.670013,,08/02/91,0.008,359.350006
413,18/09/92,0.007,422.929993,,11/02/91,0.026,368.579987
477,18/12/92,0.013,441.279999,,12/02/91,-0.008,365.5
539,19/03/93,-0.004,450.179993,,13/02/91,0.01,369.019989
602,18/06/93,-0.011,443.679993,,14/02/91,-0.013,364.220001
665,17/09/93,-0.001,458.829987,,15/02/91,0.013,369.059998
729,17/12/93,0.007,466.380005,,19/02/91,0.001,369.390015
792,18/03/94,0,471.059998,,20/02/91,-0.012,365.140015
854,17/06/94,-0.008,458.450012,,21/02/91,0,364.970001
917,16/09/94,-0.008,471.190002,,22/02/91,0.002,365.649994
981,16/12/94,0.008,458.799988,,25/02/91,0.004,367.26001
1043,17/03/95,0,495.519989,,26/02/91,-0.012,362.809998
1106,16/06/95,0.005,539.830017,,27/02/91,0.014,367.73999
1169,15/09/95,0,583.349976,,28/02/91,-0.002,367.070007
1233,15/12/95,-0.001,616.340027,,01/03/91,0.009,370.470001
1295,15/03/96,0.001,641.429993,,04/03/91,-0.003,369.329987
1363,21/06/96,0.007,666.840027,,05/03/91,0.02,376.720001
1426,20/09/96,0.006,687.030029,,06/03/91,-0.001,376.170013
1490,20/12/96,0.004,748.869995,,07/03/91,-0.001,375.910004
1552,21/03/97,0.002,784.099976,,08/03/91,-0.003,374.950012
1615,20/06/97,0.001,898.700012,,11/03/91,-0.005,372.959991
1678,19/09/97,0.003,950.51001,,12/03/91,-0.008,370.029999
1742,19/12/97,-0.009,946.780029,,13/03/91,0.012,374.570007
1803,20/03/98,0.009,1099.160034,,14/03/91,-0.003,373.5
1866,19/06/98,-0.005,1100.650024,,15/03/91,0,373.589996
1929,18/09/98,0.001,1020.090027,,18/03/91,-0.004,372.109985
1993,18/12/98,0.007,1188.030029,,19/03/91,-0.015,366.589996
2054,19/03/99,-0.013,1299.290039,,20/03/91,0.004,367.920013
2117,18/06/99,0.002,1342.839966,,21/03/91,-0.004,366.579987
2180,17/09/99,0.013,1335.420044,,22/03/91,0.002,367.480011
2244,17/12/99,0.002,1421.030029,,25/03/91,0.006,369.829987
2306,17/03/00,0.004,1464.469971,,26/03/91,0.017,376.299988
2369,16/06/00,-0.01,1464.459961,,27/03/91,-0.003,375.350006
2432,15/09/00,-0.01,1465.810059,,28/03/91,0,375.220001
2496,15/12/00,-0.021,1312.150024,,01/04/91,-0.01,371.299988
2557,16/03/01,-0.02,1150.530029,,02/04/91,0.022,379.5
2620,15/06/01,-0.005,1214.359985,,03/04/91,-0.001,378.940002
2684,21/09/01,-0.019,965.799988,,04/04/91,0.002,379.769989
2748,21/12/01,0.004,1144.890015,,05/04/91,-0.012,375.359985
2804,15/03/02,0.011,1166.160034,,08/04/91,0.009,378.660004
2872,21/06/02,-0.017,989.140015,,09/04/91,-0.013,373.559998
2935,20/09/02,0.002,845.390015,,10/04/91,-0.001,373.149994
2999,20/12/02,0.013,895.76001,,11/04/91,0.012,377.630005
3060,21/03/03,0.023,895.789978,,12/04/91,0.007,380.399994
3123,20/06/03,0.001,995.690002,,15/04/91,0.002,381.190002
3186,19/09/03,-0.003,1036.300049,,16/04/91,0.017,387.619995
3250,19/12/03,0,1088.660034,,17/04/91,0.007,390.450012
3311,19/03/04,-0.011,1109.780029,,18/04/91,-0.005,388.459991
3373,18/06/04,0.003,1135.02002,,19/04/91,-0.011,384.200012
3436,17/09/04,0.004,1128.550049,,22/04/91,-0.008,380.950012
3500,17/12/04,-0.007,1194.199951,,23/04/91,0.002,381.76001
3562,18/03/05,0,1189.650024,,24/04/91,0.003,382.76001
3625,17/06/05,0.005,1216.959961,,25/04/91,-0.009,379.25
3688,16/09/05,0.008,1237.910034,,26/04/91,-0.001,379.019989
3752,16/12/05,-0.003,1267.319946,,29/04/91,-0.014,373.660004
3813,17/03/06,0.001,1307.25,,30/04/91,0.004,375.339996
3876,16/06/06,-0.004,1251.540039,,01/05/91,0.013,380.290009
3939,15/09/06,0.003,1319.660034,,02/05/91,0.001,380.519989
4003,15/12/06,0.001,1427.089966,,03/05/91,0.001,380.799988
4063,16/03/07,-0.004,1386.949951,,06/05/91,-0.002,380.079987
4126,15/06/07,0.007,1532.910034,,07/05/91,-0.007,377.320007
4194,21/09/07,0.005,1525.75,,08/05/91,0.003,378.51001
4258,21/12/07,0.017,1484.459961,,09/05/91,0.013,383.25
4382,20/06/08,-0.019,1317.930054,,10/05/91,-0.02,375.73999
4445,19/09/08,0.04,1255.079956,,13/05/91,0.003,376.76001
4509,19/12/08,0.003,887.880005,,14/05/91,-0.014,371.619995
4570,20/03/09,-0.02,768.539978,,15/05/91,-0.008,368.570007
4633,19/06/09,0.003,921.22998,,16/05/91,0.01,372.190002
4696,18/09/09,0.003,1068.300049,,17/05/91,0.001,372.390015
4760,18/12/09,0.006,1102.469971,,20/05/91,0,372.279999
4821,19/03/10,-0.005,1159.900024,,21/05/91,0.008,375.350006
4884,18/06/10,0.001,1117.51001,,22/05/91,0.002,376.190002
4947,17/09/10,0.001,1125.589966,,23/05/91,-0.003,374.959991
5011,17/12/10,0.001,1243.910034,,24/05/91,0.007,377.48999
5073,18/03/11,0.004,1279.209961,,28/05/91,0.012,381.940002
5136,17/06/11,0.003,1271.5,,29/05/91,0.002,382.790009
5199,16/09/11,0.006,1216.01001,,30/05/91,0.011,386.959991
5263,16/12/11,0.003,1219.660034,,31/05/91,0.007,389.829987
5324,16/03/12,0.001,1404.170044,,03/06/91,-0.005,388.059998
5387,15/06/12,0.01,1342.839966,,04/06/91,-0.001,387.73999
5455,21/09/12,0,1460.150024,,05/06/91,-0.007,385.089996
5517,21/12/12,-0.009,1430.150024,,06/06/91,-0.004,383.630005
5573,15/03/13,-0.002,1560.699951,,07/06/91,-0.011,379.429993
5641,21/06/13,0.003,1592.430054,,10/06/91,-0.002,378.570007
5704,20/09/13,-0.007,1709.910034,,11/06/91,0.007,381.049988
5768,20/12/13,0.005,1818.319946,,12/06/91,-0.012,376.649994
5829,21/03/14,-0.003,1866.52002,,13/06/91,0.003,377.630005
5892,20/06/14,0.002,1962.869995,,14/06/91,0.012,382.290009
5955,19/09/14,0,2010.400024,,17/06/91,-0.006,380.130005
6019,19/12/14,0.005,2070.649902,,18/06/91,-0.004,378.589996
6080,20/03/15,0.009,2108.100098,,19/06/91,-0.009,375.089996
6143,19/06/15,-0.005,2109.98999,,20/06/91,0.001,375.420013
6206,18/09/15,-0.016,1958.030029,,21/06/91,0.006,377.75
6270,18/12/15,-0.018,2005.550049,,24/06/91,-0.018,370.940002
6331,18/03/16,0.004,2049.580078,,25/06/91,-0.001,370.649994
6394,17/06/16,-0.003,2071.219971,,26/06/91,0.003,371.589996
6457,16/09/16,-0.004,2139.159912,,27/06/91,0.008,374.399994
6521,16/12/16,-0.002,2258.070068,,28/06/91,-0.009,371.160004
6582,17/03/17,-0.001,2378.25,,01/07/91,0.018,377.920013
6645,16/06/17,0,2433.149902,,02/07/91,-0.001,377.470001
,,,,,03/07/91,-0.011,373.329987
,,,,,05/07/91,0.002,374.079987
,,,,,08/07/91,0.01,377.940002
,,,,,09/07/91,-0.005,376.109985
,,,,,10/07/91,-0.001,375.73999
,,,,,11/07/91,0.003,376.970001
,,,,,12/07/91,0.009,380.25
,,,,,15/07/91,0.006,382.390015
,,,,,16/07/91,-0.002,381.540009
,,,,,17/07/91,-0.001,381.179993
,,,,,18/07/91,0.011,385.369995
,,,,,19/07/91,-0.003,384.220001
,,,,,22/07/91,-0.003,382.880005
,,,,,23/07/91,-0.009,379.420013
,,,,,24/07/91,-0.002,378.640015
,,,,,25/07/91,0.006,380.959991
,,,,,26/07/91,0,380.929993
,,,,,29/07/91,0.006,383.149994
,,,,,30/07/91,0.009,386.690002
,,,,,31/07/91,0.003,387.809998
,,,,,01/08/91,-0.002,387.119995
,,,,,02/08/91,0,387.179993
,,,,,05/08/91,-0.005,385.059998
,,,,,06/08/91,0.014,390.619995
,,,,,07/08/91,0,390.559998
,,,,,08/08/91,-0.003,389.320007
,,,,,09/08/91,-0.006,387.119995
,,,,,12/08/91,0.002,388.019989
,,,,,13/08/91,0.004,389.619995
,,,,,14/08/91,0.001,389.899994
,,,,,15/08/91,-0.001,389.329987
,,,,,16/08/91,-0.01,385.579987
,,,,,19/08/91,-0.024,376.470001
,,,,,20/08/91,0.008,379.429993
,,,,,21/08/91,0.029,390.589996
,,,,,22/08/91,0.002,391.329987
,,,,,23/08/91,0.007,394.170013
,,,,,26/08/91,-0.001,393.850006
,,,,,27/08/91,-0.002,393.059998
,,,,,28/08/91,0.009,396.640015
,,,,,29/08/91,0,396.470001
,,,,,30/08/91,-0.003,395.429993
,,,,,03/09/91,-0.008,392.149994
,,,,,04/09/91,-0.006,389.970001
,,,,,05/09/91,-0.002,389.140015
,,,,,06/09/91,0,389.100006
,,,,,09/09/91,-0.001,388.570007
,,,,,10/09/91,-0.01,384.559998
,,,,,11/09/91,0.001,385.089996
,,,,,12/09/91,0.006,387.339996
,,,,,13/09/91,-0.01,383.589996
,,,,,16/09/91,0.006,385.779999
,,,,,17/09/91,-0.001,385.5
,,,,,18/09/91,0.004,386.940002
,,,,,19/09/91,0.002,387.559998
,,,,,20/09/91,0.001,387.920013
,,,,,23/09/91,-0.005,385.920013
