"","Dates","Daily.Returns","X200.MA","Close","X200.D.MA.Price","X50.D.MA.Price","X100.D.MA.Price"
"21","04/03/1991",-0.003,0.1028,369.329987,334.917,NA,NA
"25","08/03/1991",-0.003,0.1183,374.950012,335.28,NA,NA
"29","14/03/1991",-0.003,0.113,373.5,335.578,NA,NA
"33","20/03/1991",0.004,0.0958,367.920013,335.743,NA,NA
"37","26/03/1991",0.017,0.1205,376.299988,335.835,NA,NA
"86","05/06/1991",-0.007,0.1263,385.089996,341.901,378.825199,NA
"90","11/06/1991",0.007,0.1104,381.049988,343.165,379.4255993,NA
"94","17/06/1991",-0.006,0.1039,380.130005,344.361,379.5877997,NA
"98","21/06/1991",0.006,0.0935,377.75,345.463,379.7578003,NA
"102","27/06/1991",0.008,0.0806,374.399994,346.485,379.0396002,374.7458996
"151","06/09/1991",0,0.0669,389.100006,364.698,384.4053986,381.8827994
"155","12/09/1991",0.006,0.058,387.339996,366.12,385.4503986,381.8486994
"159","18/09/1991",0.004,0.053,386.940002,367.458,386.2381989,382.0235989
"163","24/09/1991",0.005,0.0517,387.709991,368.652,387.0235999,382.4238992
"167","30/09/1991",0.005,0.0488,387.859985,369.821,387.3535992,382.7064993
"212","03/12/1991",-0.001,-0.0012,380.959991,381.421,386.3773998,386.6437997
"216","09/12/1991",-0.002,-0.009,378.26001,381.683,385.7878002,386.5653997
"220","13/12/1991",0.008,0.0066,384.470001,381.935,385.0716003,386.4005996
"224","19/12/1991",-0.003,0.001,382.519989,382.148,385.2567999,386.5152996
"228","26/12/1991",0.014,0.0584,404.839996,382.507,386.0655999,386.6843997
"273","02/03/1992",-0.001,0.0552,412.450012,390.858,411.6985991,398.4495995
"277","06/03/1992",-0.005,0.0328,404.440002,391.603,413.5241991,399.6662997
"281","12/03/1992",0,0.0299,403.890015,392.153,413.4201995,400.2499996
"285","18/03/1992",-0.001,0.0423,409.149994,392.543,412.5011999,400.9241
"289","24/03/1992",-0.003,0.0402,408.880005,393.065,411.9401995,401.8229995
"293","30/03/1992",-0.001,0.0238,403,393.634,411.0201996,402.4304992
"338","03/06/1992",0.003,0.0357,414.589996,400.319,410.5400007,411.2920001
"342","09/06/1992",-0.008,0.0228,410.059998,400.903,410.9504011,411.1324002
"346","15/06/1992",0.001,0.0227,410.290009,401.195,411.3844007,410.8329004
"350","19/06/1992",0.007,0.0056,403.670013,401.434,411.7070014,410.4156006
"354","25/06/1992",-0.002,0.0034,403.119995,401.752,411.8958014,410.1081009
"403","03/09/1992",0,0.0231,417.980011,408.539,415.3828009,413.6617011
"407","10/09/1992",0.009,0.026,419.950012,409.297,416.3130005,413.8124008
"411","16/09/1992",0,0.0237,419.920013,410.195,417.0717999,414.2396005
"415","22/09/1992",-0.012,0.0149,417.140015,411.02,417.8044,414.7028009
"419","28/09/1992",0.005,0.0117,416.619995,411.792,417.8086004,414.764501
"464","01/12/1992",-0.001,0.0414,430.779999,413.645,417.4539996,417.5539996
"468","07/12/1992",0.008,0.0513,435.309998,414.054,418.4029993,418.1376999
"472","11/12/1992",-0.002,0.0464,433.730011,414.507,419.9433997,418.9568997
"476","17/12/1992",0.009,0.0494,435.429993,414.924,421.7263995,419.8019998
"480","23/12/1992",-0.003,0.0564,439.029999,415.597,424.4387994,420.5003998
"484","30/12/1992",0.002,0.0542,438.820007,416.276,426.7573993,421.1373999
"525","01/03/1993",-0.003,0.0469,442.01001,422.204,438.3329981,429.7862988
"529","05/03/1993",-0.003,0.0549,446.109985,422.874,439.0845984,431.432999
"533","11/03/1993",-0.006,0.0709,453.720001,423.665,440.150398,433.1913986
"537","17/03/1993",-0.007,0.0564,448.309998,424.389,441.3195972,434.6762979
"541","23/03/1993",0,0.0556,448.76001,425.111,442.7319977,436.0123981
"545","29/03/1993",0.007,0.0584,450.769989,425.89,444.0225977,437.1430985
"590","02/06/1993",0,0.0483,453.850006,432.948,445.2434003,443.7893988
"594","08/06/1993",-0.007,0.0257,444.709991,433.576,445.3933996,444.5895987
"598","14/06/1993",0.001,0.031,447.709991,434.238,445.0121997,444.9702988
"602","18/06/1993",-0.011,0.0202,443.679993,434.895,445.308399,445.4199988
"606","24/06/1993",0.008,0.0256,446.619995,435.453,445.2455987,445.6551987
"610","30/06/1993",0,0.0333,450.529999,436.031,445.3115991,445.8044989
"655","02/09/1993",-0.004,0.0391,461.299988,443.921,450.7489997,448.0575992
"659","09/09/1993",0.002,0.0289,457.5,444.648,451.7199988,448.4834989
"663","15/09/1993",0.004,0.0366,461.600006,445.294,452.621999,449.1387989
"667","21/09/1993",-0.005,0.0159,452.950012,445.859,453.6999989,450.0218985
"671","27/09/1993",0.009,0.0348,461.799988,446.281,454.2629993,450.6111988
"720","06/12/1993",0.003,0.0308,466.429993,452.487,463.049798,458.5722986
"724","10/12/1993",-0.001,0.024,463.929993,453.039,463.5015985,459.3257987
"728","16/12/1993",0.003,0.0219,463.339996,453.399,463.7371985,459.9922986
"732","22/12/1993",0.004,0.03,467.320007,453.69,464.1323987,460.6629987
"736","29/12/1993",-0.001,0.0365,470.579987,454.014,464.4771997,461.463899
"781","03/03/1994",-0.004,0.0064,463.01001,460.087,471.3854004,467.7146997
"785","09/03/1994",0.003,0.0144,467.059998,460.43,471.1854004,467.8169
"789","15/03/1994",-0.001,0.0136,467.01001,460.73,470.9490002,467.7625
"793","21/03/1994",-0.005,0.0162,468.540009,461.07,471.1768005,467.9751004
"797","25/03/1994",-0.008,-0.002,460.579987,461.504,470.7120008,467.9847007
"801","31/03/1994",0,-0.0344,445.769989,461.653,469.1856006,467.6856006
"842","01/06/1994",0.002,-0.0092,457.630005,461.902,451.4390009,461.2685007
"846","07/06/1994",-0.001,-0.0082,458.209991,461.983,450.586001,460.7472009
"850","13/06/1994",0.001,-0.0062,459.100006,461.986,450.4738006,460.1167008
"854","17/06/1994",-0.008,-0.0076,458.450012,461.971,451.7834002,459.5743005
"858","23/06/1994",-0.008,-0.0264,449.630005,461.841,452.2326007,458.8265006
"862","29/06/1994",0.003,-0.0302,447.630005,461.58,452.2210003,457.4653006
"907","01/09/1994",-0.005,0.0273,473.170013,460.582,456.7282007,454.4482007
"911","08/09/1994",0.005,0.0269,473.140015,460.728,458.6118005,455.4175003
"915","14/09/1994",0.003,0.0172,468.799988,460.875,460.4292004,456.4365005
"919","20/09/1994",-0.016,0.005,463.359985,461.06,462.3336004,457.2836004
"923","26/09/1994",0.003,-3e-04,460.820007,460.967,463.2857995,457.6806002
"927","30/09/1994",0.001,0.0039,462.709991,460.932,463.9879992,458.2476998
"972","05/12/1994",0,-0.0119,453.320007,458.765,461.9192004,462.5398999
"976","09/12/1994",0.003,-0.0249,446.959991,458.38,461.0338006,462.4045001
"980","15/12/1994",0.001,-0.006,455.339996,458.078,460.239201,462.3043002
"984","21/12/1994",0.005,0.0037,459.609985,457.926,460.4218011,462.4115002
"988","28/12/1994",-0.003,0.0066,460.859985,457.818,459.8906,462.4131997
"1033","03/03/1995",0.001,0.0496,485.420013,462.481,471.5517993,466.0062003
"1037","09/03/1995",0,0.0434,483.160004,463.071,473.5536004,466.7884003
"1041","15/03/1995",-0.002,0.0607,491.880005,463.722,475.791601,467.5851004
"1045","21/03/1995",-0.002,0.0659,495.070007,464.457,478.5538019,468.8336005
"1049","27/03/1995",0.004,0.0816,503.200012,465.235,481.3908026,469.9643008
"1053","31/03/1995",-0.003,0.0743,500.709991,466.093,484.1374029,471.4375006
"1098","06/06/1995",0,0.115,535.549988,480.295,515.7966015,498.2004022
"1102","12/06/1995",0.006,0.1022,530.880005,481.643,518.1522009,500.8197018
"1106","16/06/1995",0.005,0.1179,539.830017,482.882,520.7622003,503.5523013
"1110","22/06/1995",0.013,0.1379,551.070007,484.295,523.7407989,506.5723007
"1114","28/06/1995",0.004,0.1212,544.72998,485.839,526.9263989,509.6245007
"1163","07/09/1995",0,0.1209,570.289978,508.759,557.716399,541.958399
"1167","13/09/1995",0.004,0.1322,578.77002,511.173,560.0685987,544.6751984
"1171","19/09/1995",0.002,0.1371,584.200012,513.756,562.5443983,547.4987988
"1175","25/09/1995",0,0.1267,581.809998,516.38,564.5811976,550.2819989
"1179","29/09/1995",-0.002,0.1259,584.409973,519.07,566.5427967,552.7322986
"1224","04/12/1995",0.011,0.1229,613.679993,546.49,588.6725977,576.4195978
"1228","08/12/1995",0.002,0.1244,617.47998,549.145,591.5069983,578.6759974
"1232","14/12/1995",-0.008,0.118,616.919983,551.807,594.3695996,581.3029981
"1236","20/12/1995",-0.01,0.093,605.940002,554.376,596.9104004,583.3143989
"1240","27/12/1995",0,0.1036,614.530029,556.86,599.2723999,585.3486988
"1285","01/03/1996",0.006,0.1031,644.369995,584.169,628.145404,612.1923022
"1289","07/03/1996",0.003,0.114,653.650024,586.736,631.3986034,615.0375018
"1293","13/03/1996",0.002,0.0841,638.549988,589.01,633.5062048,617.2626019
"1297","19/03/1996",-0.001,0.1022,651.690002,591.263,635.4470043,619.5005017
"1301","25/03/1996",-0.001,0.0951,650.039978,593.587,638.8950036,622.2939019
"1305","29/03/1996",-0.005,0.0832,645.5,595.935,642.583402,624.8424017
"1350","04/06/1996",0.007,0.0875,672.559998,618.463,654.0471973,645.9918005
"1354","10/06/1996",-0.002,0.0828,672.159973,620.779,655.9431995,648.8376007
