Holding Length days,Levene's test p-value MA 200 ,,Levene's test p-value MA 100,,Levene's test p-value MA 50
1,0.419133538,,0.227850378,,0.806300199
2,0.005855521,,0.135655596,,0.494246482
3,0.014067724,,0.036201454,,0.10634648
4,0.003068843,,0.115237218,,0.533796654
5,0.014405484,,0.030489671,,0.461055671
6,0.014148754,,0.044013304,,0.886974303
7,0.003576341,,0.24856577,,0.535442111
8,0.002306203,,0.521493702,,0.680493269
9,0.002141526,,0.427086922,,0.882973794
10,0.038814093,,0.334343987,,0.719967108
11,0.05354831,,0.982207311,,0.727405925
12,0.119854916,,0.95805745,,0.328776852
13,0.001298116,,0.78080214,,0.612634579
14,0.001676057,,0.871145014,,0.30185975
15,0.023379699,,0.912885205,,0.42644325
16,0.005845198,,0.54050404,,0.634454896
17,0.052373775,,0.954728508,,0.633161406
18,0.006525103,,0.712829368,,0.697809236
19,0.037013691,,0.947009678,,0.660304894
20,0.019993648,,0.826367058,,0.309538878
21,0.038772779,,0.975611002,,0.964513702
22,0.101269662,,0.813796791,,0.857767014
23,0.013160082,,0.717070548,,0.998737045
24,0.148259261,,0.967244288,,0.716412926
25,0.042461184,,0.465675836,,0.769454957
26,0.1094708,,0.543337873,,0.915021348
27,0.065449306,,0.559044087,,0.936909183
28,0.028633745,,0.900179462,,0.805781091
29,0.065214002,,0.726748047,,0.475161729
30,0.241093196,,0.611592908,,0.740068011
31,0.43303694,,0.601739768,,0.604569982
32,0.212218974,,0.736168173,,0.841062093
33,0.432259398,,0.733678931,,0.588893276
34,0.163280278,,0.740675259,,0.801419775
35,0.327202299,,0.783486831,,0.606660037
36,0.076128291,,0.709905143,,0.51505051
37,0.054061168,,0.635688376,,0.812976279
38,0.206107118,,0.85621955,,0.330257884
39,0.324730227,,0.928688344,,0.776038324
40,0.530433356,,0.374423544,,0.982259661
41,0.216261351,,0.583059396,,0.695597469
42,0.250055127,,0.42821632,,0.619703054
43,0.169852952,,0.967480189,,0.519845853
44,0.298350995,,0.491329546,,0.707046433
45,0.070163531,,0.87447944,,0.843157355
46,0.361389477,,0.612459741,,0.953242628
47,0.235744809,,0.777899605,,0.944714885
48,0.407322522,,0.952270757,,0.757326757
49,0.124049971,,0.898896655,,0.77967149
50,0.416792382,,0.939923098,,0.8558188
