Dates,Daily.Returns,200.MA,Close,200.D.MA.Price,50.D.MA.Price,100.D.MA.Price
01/02/91,-0.003,0.0315,343.049988,332.572,,
04/02/91,0.015,0.0473,348.339996,332.596,,
05/02/91,0.008,0.0559,351.26001,332.662,,
06/02/91,0.019,0.076,358.070007,332.763,,
07/02/91,-0.004,0.0709,356.519989,332.902,,
08/02/91,0.008,0.079,359.350006,333.024,,
11/02/91,0.026,0.1063,368.579987,333.157,,
12/02/91,-0.008,0.0964,365.5,333.354,,
13/02/91,0.01,0.1064,369.019989,333.527,,
14/02/91,-0.013,0.0914,364.220001,333.711,,
15/02/91,0.013,0.1054,369.059998,333.86,,
19/02/91,0.001,0.1059,369.390015,334.027,,
20/02/91,-0.012,0.0926,365.140015,334.182,,
21/02/91,0,0.0917,364.970001,334.306,,
22/02/91,0.002,0.0934,365.649994,334.42,,
25/02/91,0.004,0.0978,367.26001,334.534,,
26/02/91,-0.012,0.0841,362.809998,334.651,,
27/02/91,0.014,0.0987,367.73999,334.706,,
28/02/91,-0.002,0.0965,367.070007,334.77,,
01/03/91,0.009,0.1064,370.470001,334.834,,
04/03/91,-0.003,0.1028,369.329987,334.917,,
05/03/91,0.02,0.1246,376.720001,334.991,,
06/03/91,-0.001,0.1226,376.170013,335.101,,
07/03/91,-0.001,0.1215,375.910004,335.192,,
08/03/91,-0.003,0.1183,374.950012,335.28,,
11/03/91,-0.005,0.1121,372.959991,335.358,,
12/03/91,-0.008,0.1031,370.029999,335.431,,
13/03/91,0.012,0.1164,374.570007,335.508,,
14/03/91,-0.003,0.113,373.5,335.578,,
15/03/91,0,0.1131,373.589996,335.641,,
18/03/91,-0.004,0.1085,372.109985,335.703,,
19/03/91,-0.015,0.0919,366.589996,335.747,,
20/03/91,0.004,0.0958,367.920013,335.743,,
21/03/91,-0.004,0.0918,366.579987,335.75,,
22/03/91,0.002,0.0945,367.480011,335.758,,
25/03/91,0.006,0.1014,369.829987,335.779,,
26/03/91,0.017,0.1205,376.299988,335.835,,
27/03/91,-0.003,0.1174,375.350006,335.908,,
28/03/91,0,0.1169,375.220001,335.954,,
01/04/91,-0.01,0.105,371.299988,336.006,,
02/04/91,0.022,0.1293,379.5,336.048,,
03/04/91,-0.001,0.1274,378.940002,336.13,,
04/04/91,0.002,0.1295,379.769989,336.241,,
05/04/91,-0.012,0.116,375.359985,336.347,,
08/04/91,0.009,0.1255,378.660004,336.429,,
09/04/91,-0.013,0.1101,373.559998,336.52,,
10/04/91,-0.001,0.1086,373.149994,336.61,,
11/04/91,0.012,0.1215,377.630005,336.714,,
12/04/91,0.007,0.1293,380.399994,336.842,,
15/04/91,0.002,0.1312,381.190002,336.969,,
16/04/91,0.017,0.1499,387.619995,337.086,369.5607989,
17/04/91,0.007,0.1578,390.450012,337.234,370.4521991,
18/04/91,-0.005,0.1514,388.459991,337.389,371.2943994,
19/04/91,-0.011,0.1383,384.200012,337.53,372.038399,
22/04/91,-0.008,0.1282,380.950012,337.673,372.5609991,
23/04/91,0.002,0.1302,381.76001,337.786,373.0495996,
24/04/91,0.003,0.1328,382.76001,337.897,373.4977997,
25/04/91,-0.009,0.1219,379.25,338.028,373.7814001,
26/04/91,-0.001,0.121,379.019989,338.118,374.0564001,
29/04/91,-0.014,0.1049,373.660004,338.186,374.2564001,
30/04/91,0.004,0.1098,375.339996,338.218,374.4452002,
01/05/91,0.013,0.1243,380.290009,338.25,374.5708001,
02/05/91,0.001,0.1248,380.519989,338.314,374.7888,
03/05/91,0.001,0.1253,380.799988,338.395,375.0963995,
06/05/91,-0.002,0.1229,380.079987,338.473,375.4129992,
07/05/91,-0.007,0.1145,377.320007,338.565,375.7015991,
08/05/91,0.003,0.1176,378.51001,338.675,375.902799,
09/05/91,0.013,0.1312,383.25,338.789,376.2167993,
10/05/91,-0.02,0.1086,375.73999,338.919,376.5269995,
13/05/91,0.003,0.1113,376.76001,339.019,376.7003991,
14/05/91,-0.014,0.0958,371.619995,339.135,376.8261993,
15/05/91,-0.008,0.0865,368.570007,339.216,376.8719995,
16/05/91,0.01,0.097,372.190002,339.278,376.7089996,
17/05/91,0.001,0.0973,372.390015,339.361,376.6293994,
20/05/91,0,0.0967,372.279999,339.466,376.5589996,
21/05/91,0.008,0.1053,375.350006,339.603,376.5055993,
22/05/91,0.002,0.1071,376.190002,339.807,376.5533996,
23/05/91,-0.003,0.1028,374.959991,340.014,376.6765997,
24/05/91,0.007,0.1096,377.48999,340.197,376.6843994,
28/05/91,0.012,0.1221,381.940002,340.385,376.7641992,
29/05/91,0.002,0.1238,382.790009,340.617,376.9311993,
30/05/91,0.011,0.1353,386.959991,340.837,377.1447998,
31/05/91,0.007,0.1429,389.829987,341.075,377.5521997,
03/06/91,-0.005,0.1369,388.059998,341.323,377.9903992,
04/06/91,-0.001,0.1351,387.73999,341.602,378.4199994,
05/06/91,-0.007,0.1263,385.089996,341.901,378.825199,
06/06/91,-0.004,0.1211,383.630005,342.184,379.1303991,
07/06/91,-0.011,0.1078,379.429993,342.493,379.2769995,
10/06/91,-0.002,0.1043,378.570007,342.807,379.3585992,
11/06/91,0.007,0.1104,381.049988,343.165,379.4255993,
12/06/91,-0.012,0.0965,376.649994,343.513,379.6205993,
13/06/91,0.003,0.0984,377.630005,343.789,379.5635992,
14/06/91,0.012,0.1111,382.290009,344.07,379.5373993,
17/06/91,-0.006,0.1039,380.130005,344.361,379.5877997,
18/06/91,-0.004,0.0984,378.589996,344.668,379.6832001,
19/06/91,-0.009,0.0874,375.089996,344.948,379.6817999,
20/06/91,0.001,0.0875,375.420013,345.208,379.7123999,
21/06/91,0.006,0.0935,377.75,345.463,379.7578003,
24/06/91,-0.018,0.0729,370.940002,345.75,379.7602002,
25/06/91,-0.001,0.0713,370.649994,345.987,379.5710003,
26/06/91,0.003,0.0732,371.589996,346.232,379.3602002,374.4604996
27/06/91,0.008,0.0806,374.399994,346.485,379.0396002,374.7458996
28/06/91,-0.009,0.0704,371.160004,346.744,378.7185998,375.0064996
01/07/91,0.018,0.0891,377.920013,347.007,378.3726001,375.2054996
02/07/91,-0.001,0.0868,377.470001,347.312,378.2470001,375.4039996
03/07/91,-0.011,0.074,373.329987,347.611,378.1773999,375.6134997
05/07/91,0.002,0.0753,374.079987,347.885,378.0087994,375.7532995
08/07/91,0.01,0.0855,377.940002,348.172,377.835199,375.8082995
09/07/91,-0.005,0.0792,376.109985,348.504,377.808999,375.9326996
10/07/91,-0.001,0.0771,375.73999,348.828,377.7507989,376.0035995
11/07/91,0.003,0.0796,376.970001,349.184,377.7923986,376.1187994
12/07/91,0.009,0.0879,380.25,349.527,377.8249987,376.1978994
15/07/91,0.006,0.0928,382.390015,349.903,377.8241986,376.3064993
16/07/91,-0.002,0.0891,381.540009,350.311,377.8615991,376.4789993
