50.SD,sp500.returns,50.Change.SD,Levene test,,100.SD,sp500.returns,100.Change.SD,Levene test,,200.SD,sp500.returns,200.Change.SD,Levene Test
0.009889201,0,0.009889201,0,,0.012542012,0,0.012542012,0,,0.011139135,0,0.011139135,0
0.016960522,0.015398693,0.001561829,0.494246482,,0.017586077,0.015430817,0.00215526,0.135655596,,0.020992701,0.015385753,0.005606949,0.005855521
0.021655852,0.017553153,0.004102699,0.10634648,,0.019703346,0.01793377,0.001769576,0.036201454,,0.023160142,0.018905371,0.004254771,0.014067724
0.022830948,0.020541032,0.002289916,0.533796654,,0.021858065,0.020879194,0.000978871,0.115237218,,0.026716482,0.020828102,0.00588838,0.003068843
0.020669756,0.022883404,-0.002213648,0.461055671,,0.025119747,0.022934809,0.002184937,0.030489671,,0.028107479,0.022881721,0.005225759,0.014405484
0.023114482,0.023029377,8.51E-05,0.886974303,,0.028233128,0.024527132,0.003705996,0.044013304,,0.031415069,0.026162062,0.005253007,0.014148754
0.023660599,0.02708555,-0.003424951,0.535442111,,0.027247679,0.026316282,0.000931398,0.24856577,,0.033052803,0.026870908,0.006181895,0.003576341
0.025953645,0.027474593,-0.001520948,0.680493269,,0.026578267,0.028299245,-0.001720978,0.521493702,,0.035361955,0.027140683,0.008221272,0.002306203
0.02704537,0.029377507,-0.002332138,0.882973794,,0.027161863,0.028339276,-0.001177413,0.427086922,,0.035924729,0.027947333,0.007977395,0.002141526
0.027324995,0.031357247,-0.004032252,0.719967108,,0.030792336,0.031407685,-0.000615349,0.334343987,,0.036682518,0.031379219,0.005303299,0.038814093
0.028185175,0.031734158,-0.003548983,0.727405925,,0.029218418,0.032339303,-0.003120884,0.982207311,,0.036498719,0.032889948,0.003608771,0.05354831
0.02772461,0.032283059,-0.004558449,0.328776852,,0.030516686,0.031650358,-0.001133672,0.95805745,,0.039887142,0.036824392,0.00306275,0.119854916
0.030125911,0.034124142,-0.003998232,0.612634579,,0.031653601,0.035684974,-0.004031373,0.78080214,,0.042040066,0.032609499,0.009430566,0.001298116
0.030264674,0.038957133,-0.008692459,0.30185975,,0.032297222,0.033422158,-0.001124936,0.871145014,,0.04304127,0.033640424,0.009400845,0.001676057
0.032383669,0.036132442,-0.003748773,0.42644325,,0.033444269,0.036865559,-0.00342129,0.912885205,,0.042542451,0.037181099,0.005361352,0.023379699
0.034734445,0.037339577,-0.002605131,0.634454896,,0.032327696,0.037967944,-0.005640248,0.54050404,,0.044195787,0.036233078,0.007962709,0.005845198
0.035237058,0.038789322,-0.003552264,0.633161406,,0.034283432,0.037435945,-0.003152513,0.954728508,,0.045482339,0.041076906,0.004405433,0.052373775
0.0375229,0.038808422,-0.001285522,0.697809236,,0.037885514,0.039008506,-0.001122992,0.712829368,,0.046970761,0.038537706,0.008433055,0.006525103
0.036044733,0.040014501,-0.003969768,0.660304894,,0.038282991,0.041776851,-0.003493861,0.947009678,,0.047505617,0.043071651,0.004433966,0.037013691
0.037652406,0.0432083,-0.005555894,0.309538878,,0.042487145,0.042633137,-0.000145993,0.826367058,,0.047850152,0.042564653,0.005285498,0.019993648
0.040771226,0.041279311,-0.000508085,0.964513702,,0.04203359,0.044010646,-0.001977057,0.975611002,,0.048831182,0.042541166,0.006290016,0.038772779
0.042668485,0.045855607,-0.003187122,0.857767014,,0.042575289,0.042208929,0.00036636,0.813796791,,0.049844782,0.045988426,0.003856356,0.101269662
0.043863889,0.046400882,-0.002536993,0.998737045,,0.043425512,0.045560912,-0.0021354,0.717070548,,0.050344671,0.04321646,0.007128211,0.013160082
0.048366971,0.04589758,0.002469391,0.716412926,,0.043940468,0.043606573,0.000333896,0.967244288,,0.052705554,0.049286659,0.003418894,0.148259261
0.046804298,0.043777995,0.003026303,0.769454957,,0.041553554,0.043859042,-0.002305488,0.465675836,,0.051877811,0.043917929,0.007959882,0.042461184
0.049361733,0.049776241,-0.000414508,0.915021348,,0.045971314,0.046829482,-0.000858168,0.543337873,,0.052222193,0.04607786,0.006144333,0.1094708
0.050938685,0.050587466,0.000351219,0.936909183,,0.045479433,0.047259736,-0.001780303,0.559044087,,0.056050003,0.048725347,0.007324656,0.065449306
0.050481292,0.050654913,-0.000173621,0.805781091,,0.047735534,0.045493463,0.00224207,0.900179462,,0.055758275,0.047223884,0.008534391,0.028633745
0.051064273,0.053471725,-0.002407452,0.475161729,,0.049160456,0.046869517,0.002290939,0.726748047,,0.056127665,0.049086316,0.007041349,0.065214002
0.053667853,0.050617804,0.003050049,0.740068011,,0.050239815,0.050395403,-0.000155589,0.611592908,,0.055522734,0.052681914,0.00284082,0.241093196
0.05195976,0.052654095,-0.000694335,0.604569982,,0.046476725,0.047501692,-0.001024967,0.601739768,,0.05423604,0.053647085,0.000588956,0.43303694
0.056051444,0.050886441,0.005165003,0.841062093,,0.047212303,0.051864974,-0.004652671,0.736168173,,0.053525548,0.05051329,0.003012257,0.212218974
0.057404902,0.050298188,0.007106713,0.588893276,,0.049558861,0.054104893,-0.004546032,0.733678931,,0.055499823,0.055188481,0.000311342,0.432259398
0.052854204,0.051898249,0.000955955,0.801419775,,0.048040381,0.053128858,-0.005088477,0.740675259,,0.057653316,0.058310928,-0.000657613,0.163280278
0.053289244,0.052503092,0.000786152,0.606660037,,0.048646736,0.050840523,-0.002193787,0.783486831,,0.055850663,0.054798671,0.001051992,0.327202299
0.059069271,0.054726978,0.004342294,0.51505051,,0.049895573,0.054982512,-0.005086939,0.709905143,,0.057336631,0.051743912,0.005592719,0.076128291
0.057973057,0.059159137,-0.00118608,0.812976279,,0.051470095,0.051068076,0.00040202,0.635688376,,0.058992804,0.050401674,0.00859113,0.054061168
0.059862843,0.054992813,0.004870031,0.330257884,,0.052304867,0.056874338,-0.004569471,0.85621955,,0.058873993,0.057508978,0.001365015,0.206107118
0.058923832,0.05659594,0.002327892,0.776038324,,0.051555124,0.05625095,-0.004695826,0.928688344,,0.057012379,0.056943934,6.84E-05,0.324730227
0.061571432,0.061185447,0.000385985,0.982259661,,0.054023939,0.051919758,0.002104181,0.374423544,,0.057848841,0.063869107,-0.006020266,0.530433356
0.064178533,0.062645269,0.001533265,0.695597469,,0.054308609,0.065580983,-0.011272374,0.583059396,,0.059204271,0.056726385,0.002477886,0.216261351
0.065714995,0.057705487,0.008009508,0.619703054,,0.056307311,0.053865925,0.002441386,0.42821632,,0.060603993,0.059780691,0.000823302,0.250055127
0.069000419,0.06009588,0.008904539,0.519845853,,0.054496679,0.058818267,-0.004321588,0.967480189,,0.064068957,0.063912213,0.000156743,0.169852952
0.068081037,0.061227928,0.006853109,0.707046433,,0.055598001,0.054209576,0.001388425,0.491329546,,0.064889783,0.066011844,-0.001122061,0.298350995
0.064464881,0.061448028,0.003016853,0.843157355,,0.056876588,0.064200923,-0.007324336,0.87447944,,0.064987411,0.057375942,0.007611468,0.070163531
0.06633062,0.068654241,-0.002323621,0.953242628,,0.057595492,0.067322943,-0.009727451,0.612459741,,0.063571786,0.065246428,-0.001674643,0.361389477
0.065268708,0.065780483,-0.000511776,0.944714885,,0.059947924,0.062562354,-0.00261443,0.777899605,,0.065167359,0.064522471,0.000644888,0.235744809
