"","MA.50","MA.100","MA.200"
"1",369.56079894,374.46049955,380.343299535
"2",370.45219908,374.74589963,380.54114957
"3",371.2943994,375.00649961,380.72564954
"4",372.03839902,375.20549955,380.866449555
"5",372.56099912,375.40399961,380.968749515
"6",373.04959958,375.61349973,381.08644956
"7",373.49779966,375.75329954,381.170399605
"8",373.78140012,375.80829954,381.20419965
"9",374.05640012,375.93269956,381.266499605
"10",374.25640012,376.00359952,381.3041496
"11",374.44520018,376.11879941,381.3591496
"12",374.57080014,376.19789944,381.42084958
"13",374.78880002,376.30649929,381.47869946
"14",375.0963995,376.47899929,381.55334942
"15",375.41299924,376.64469937,381.61544949
"16",375.7015991,376.79999936,381.68269955
"17",375.90279904,376.98109921,381.73769955
"18",376.21679928,377.19519924,381.81314953
"19",376.52699948,377.34659939,381.86294964
"20",376.70039914,377.47009945,381.935349545
"21",376.82619932,377.55179959,382.005349545
"22",376.87199948,377.66809963,382.080999565
"23",376.7089996,377.71019955,382.11109951
"24",376.62939938,377.77999936,382.1476495
"25",376.5589996,377.88779934,382.180699425
"26",376.50559934,378.0163992,382.24114941
"27",376.55339964,378.15799924,382.36044949
"28",376.6765997,378.32949918,382.50694943
"29",376.68439938,378.43439909,382.658299375
"30",376.76419918,378.60559904,382.82309933
"31",376.9311993,378.77529906,383.030849425
"32",377.14479978,378.94739928,383.25574948
"33",377.55219968,379.15269927,383.50909955
"34",377.99039916,379.35369903,383.766199465
"35",378.41999938,379.58409911,384.023099485
"36",378.82519896,379.80829894,384.2726994
"37",379.13039914,380.00329894,384.514049495
"38",379.27699948,380.09609893,384.72059948
"39",379.35859922,380.10729888,384.91934948
"40",379.42559934,380.1493988,385.114949455
"41",379.62059934,380.34229888,385.360649525
"42",379.56359922,380.46059875,385.56699947
"43",379.53739928,380.61289886,385.763349415
"44",379.58779968,380.75369903,385.958799395
"45",379.68320008,380.93069916,386.163799395
"46",379.68179992,381.11049927,386.33369945
"47",379.71239988,381.3395993,386.556549485
"48",379.75780026,381.56239929,386.76559947
"49",379.76020016,381.70759918,386.9548495
"50",379.57100032,381.80329925,387.12779948
"51",379.36020016,381.88279938,387.296649425
"52",379.03960018,381.89759949,387.41024943
"53",378.71859982,381.87879944,387.516099345
"54",378.37260008,381.83979951,387.617699385
"55",378.2470001,381.84869935,387.74434932
"56",378.17739988,381.91259919,387.90884929
"57",378.00879942,381.93089905,388.06924922
"58",377.83519896,381.96109894,388.224549205
"59",377.808999,382.02359894,388.383749185
"60",377.75079892,382.10279907,388.557499185
"61",377.79239864,382.24179901,388.757999215
"62",377.82499874,382.36759918,388.96694926
"63",377.82419856,382.42389922,389.133949225
"64",377.86159908,382.49579924,389.293749335
"65",377.8763995,382.55659941,389.42664942
"66",377.89839962,382.62069944,389.567549535
"67",378.05939938,382.70649931,389.75044947
"68",378.1735992,382.79999906,389.915049385
"69",378.1661993,382.85949918,390.06014933
"70",378.23979976,382.98469938,390.23369944
"71",378.27739986,383.06179929,390.42664942
"72",378.46419978,383.15809934,390.63784937
"73",378.7113995,383.26739927,390.858499395
"74",378.93059934,383.35219938,391.059799445
"75",379.21659908,383.39629911,391.2620994
"76",379.52719906,383.478999,391.44734934
"77",379.76259884,383.53999906,391.60314936
"78",379.98239866,383.64279905,391.74439936
"79",380.1843988,383.80329924,391.89564936
"80",380.4469989,383.95639922,392.042649485
"81",380.61939882,384.05619933,392.15309947
"82",380.74999878,384.15329924,392.2585995
"83",380.75319886,384.18389922,392.352999525
"84",380.7169989,384.16389922,392.435799665
"85",380.74819884,384.16269926,392.54339961
"86",380.79139892,384.13599943,392.65044963
"87",380.87619874,384.12709959,392.77399959
"88",380.91519838,384.18599943,392.912349505
"89",380.85599854,384.30649961,393.06474956
"90",380.87319826,384.45039945,393.21629955
"91",381.06399842,384.56439969,393.348649555
"92",381.35759828,384.71109982,393.50469951
"93",381.68839844,384.83759976,393.634049485
"94",381.91959838,384.90179958,393.73759944
"95",382.17819824,385.00019954,393.855399425
"96",382.53919862,385.15149959,393.9835995
"97",382.96679872,385.32949978,394.11064952
"98",383.36699832,385.5064996,394.241299395
"99",383.6549982,385.6963995,394.380499375
"100",384.03559818,385.96109952,394.516099355
"101",384.4053986,386.22609952,394.635349385
"102",384.7555988,386.33639951,394.78059948
"103",385.03899906,386.44479947,394.930049555
"104",385.30699894,386.52739956,395.10464947
"105",385.4503986,386.53349942,395.27699948
"106",385.6477985,386.55939939,395.47104947
"107",385.85299868,386.58749967,395.68459958
"108",386.08699892,386.60009976,395.86509961
"109",386.23819888,386.60029965,396.02669965
"110",386.45479922,386.60469968,396.195199715
"111",386.69119938,386.59949979,396.374499795
"112",386.91019962,386.64379972,396.534749735
"113",387.02359988,386.65089963,396.675749795
"114",387.1299994,386.62769955,396.809349645
"115",387.23679932,386.58619961,396.961749545
"116",387.34299926,386.56539974,397.13059964
"117",387.35359924,386.49429989,397.26639966
"118",387.42639892,386.43109982,397.429849675
"119",387.55279906,386.37929989,397.59964963
"120",387.729599,386.40059964,397.78649961
"121",387.84619872,386.4588995,397.972549565
"122",387.8519989,386.4938995,398.14799955
"123",387.82339904,386.51199947,398.335799535
"124",387.77379942,386.51529964,398.50149961
"125",387.57599914,386.47359951,398.65029966
"126",387.43079894,386.46589962,398.776949745
"127",387.31739928,386.56289974,398.89179975
"128",387.30319944,386.68439968,399.019949775
"129",387.42219968,386.88219966,399.17649976
"130",387.46579954,387.04059962,399.30034986
"131",387.49299984,387.28639979,399.4105499
"132",387.5565997,387.56409968,399.53404981
"133",387.61459958,387.86549983,399.655499855
