dates,days.returns,MA.50.Returns,Days.Returns.0,temp.0,Days.Returns.1,temp.1,Days.Returns.2,temp.2,Days.Returns.3,temp.3,Days.Returns.4,temp.4,Days.Returns.5,temp.5,Days.Returns.6,temp.6,Days.Returns.7,temp.7,Days.Returns.8,temp.8,Days.Returns.9,temp.9,Days.Returns.10,temp.10
0091-11-15,-0.037,-0.020482392,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1,-0.037,1
0091-11-18,0.007,-0.012240426,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1
0091-11-19,-0.015,-0.019958343,0,0,0,0,0,0,-0.015,1,-0.015,1,-0.015,1,-0.015,1,-0.015,1,-0.015,1,-0.015,1,-0.015,1
0091-11-20,-0.002,-0.001196141,0,0,0,0,0,0,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1
0091-11-21,0.004,-0.002054211,0,0,0,0,0,0,0.004,1,0.004,1,0.004,1,0.004,1,0.004,1,0.004,1,0.004,1,0.004,1
0091-11-22,-0.01,-0.012817828,0,0,0,0,0,0,-0.01,1,-0.01,1,-0.01,1,-0.01,1,-0.01,1,-0.01,1,-0.01,1,-0.01,1
0091-11-25,-0.002,-0.010393442,0,0,0,0,0,0,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1
0091-11-26,0.007,0.000277378,0,0,0,0,0,0,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1,0.007,1
0091-11-27,-0.004,-0.004497018,-0.004,1,0,0,0,0,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1
0091-11-29,-0.004,-0.00532311,-0.004,1,0,0,0,0,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1
0091-12-02,0.016,-0.002176851,0.016,1,0,0,0,0,0.016,1,0.016,1,0.016,1,0.016,1,0.016,1,0.016,1,0.016,1,0.016,1
0091-12-03,-0.001,0.006418319,0,0,0,0,0,0,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1
0091-12-04,-0.002,0.0120845,-0.002,1,0,0,0,0,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1
0091-12-05,-0.007,0.009734807,-0.007,1,-0.007,1,0,0,-0.007,1,-0.007,1,-0.007,1,-0.007,1,-0.007,1,-0.007,1,-0.007,1,-0.007,1
0091-12-06,0.005,0.008742524,0.005,1,0.005,1,0,0,0.005,1,0.005,1,0.005,1,0.005,1,0.005,1,0.005,1,0.005,1,0.005,1
0091-12-09,-0.002,0.01977144,-0.002,1,-0.002,1,0,0,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1,-0.002,1
0091-12-10,-0.001,0.016295327,-0.001,1,-0.001,1,0,0,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1
0091-12-11,-0.001,0.012445093,-0.001,1,-0.001,1,0,0,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1,-0.001,1
0091-12-12,0.01,0.00331551,0.01,1,0.01,1,0,0,0.01,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01,1
0091-12-13,0.008,0.001058099,0.008,1,0.008,1,0,0,0.008,1,0.008,1,0.008,1,0.008,1,0.008,1,0.008,1,0.008,1,0.008,1
0091-12-16,0,0.007091598,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0091-12-17,-0.004,0.006515261,-0.004,1,-0.004,1,0,0,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1,-0.004,1
0091-12-18,0.002,0.011720256,0.002,1,0.002,1,0,0,0.002,1,0.002,1,0.002,1,0.002,1,0.002,1,0.002,1,0.002,1,0.002,1
0091-12-19,-0.003,0.020477108,-0.003,1,-0.003,1,0,0,-0.003,1,-0.003,1,-0.003,1,-0.003,1,-0.003,1,-0.003,1,-0.003,1,-0.003,1
0091-12-20,0.012,0.022660925,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1,0.012,1
