,Date1,Went.Down,Date2,Min.point,Date3,Recovery.Point,,,,
1,17/04/91,390.450012,15/05/91,368.570007,31/07/91,387.809998,,,,
2,12/11/91,396.73999,29/11/91,375.220001,18/02/92,407.380005,,,,
3,30/07/92,423.920013,09/10/92,402.660004,12/11/92,422.869995,,,,
4,29/12/93,470.579987,04/04/94,438.920013,14/06/94,462.369995,,,,
5,26/08/94,473.799988,23/11/94,449.929993,02/02/95,472.790009,,,,
6,13/05/96,661.51001,24/07/96,626.650024,15/08/96,662.280029,,,,
7,20/01/97,776.700012,11/04/97,737.650024,29/04/97,794.049988,,,,
8,29/07/97,942.289978,27/10/97,876.98999,03/11/97,938.98999,,,,
9,13/05/98,1118.859985,14/08/98,1062.75,04/11/98,1118.670044,,Date,Went.Most.Done,Went.Most.Up
10,12/04/99,1358.630005,27/05/99,1281.410034,15/07/99,1409.619995,,12/04/99,XLP,XLK
11,16/11/99,1420.069946,18/02/00,1346.089966,16/03/00,1458.469971,,16/11/99,XLP,XLB
12,11/07/00,1480.880005,12/10/00,1329.780029,20/10/00,1396.930054,,11/07/00,XLK,XLK
13,18/01/01,1347.969971,04/04/01,1103.25,24/04/01,1209.469971,,18/01/01,XLK,XLK
14,27/07/01,1205.819946,21/09/01,965.799988,05/11/01,1102.839966,,27/07/01,XLK,XLK
15,11/02/02,1111.939941,07/05/02,1049.48999,17/05/02,1106.589966,,11/02/02,XLK,XLK
16,20/08/02,937.429993,09/10/02,776.76001,21/11/02,933.76001,,20/08/02,XLU,XLU
17,21/03/03,895.789978,31/03/03,848.179993,25/06/03,975.320007,,21/03/03,XLK,XLF
18,10/02/04,1145.540039,10/05/04,1087.119995,08/06/04,1142.180054,,10/02/04,XLK,XLB
19,04/02/05,1203.030029,20/04/05,1137.5,26/05/05,1197.619995,,04/02/05,XLY,XLB
20,09/09/05,1241.47998,13/10/05,1176.839966,13/12/05,1267.430054,,09/09/05,XLE,XLE
21,21/03/06,1297.22998,13/06/06,1223.689941,15/08/06,1285.579956,,21/03/06,XLK,XLE
22,02/02/07,1448.390015,05/03/07,1374.119995,09/05/07,1512.579956,,02/02/07,XLF,XLE
23,04/09/07,1489.420044,26/11/07,1407.219971,06/12/07,1507.339966,,04/09/07,XLF,XLF
24,08/04/08,1365.540039,11/07/08,1239.48999,11/08/08,1305.319946,,08/04/08,XLF,XLF
25,14/10/08,998.01001,20/11/08,752.440002,20/01/09,805.219971,,14/10/08,XLF,XLF
26,08/05/09,929.22998,10/07/09,879.130005,12/08/09,1005.809998,,08/05/09,XLF,XLF
27,14/12/09,1114.109985,08/02/10,1056.73999,22/03/10,1165.810059,,14/12/09,XLU,XLB
28,25/06/10,1076.76001,02/07/10,1022.580017,29/09/10,1144.72998,,25/06/10,XLF,XLB
29,08/02/11,1324.569946,16/03/11,1256.880005,13/05/11,1337.77002,,08/02/11,XLK,XLV
30,17/08/11,1193.890015,03/10/11,1099.22998,18/11/11,1215.650024,,17/08/11,XLB,XLE
31,27/02/12,1367.589966,18/05/12,1295.219971,29/06/12,1362.160034,,27/02/12,XLE,XLE
32,06/09/12,1432.119995,15/11/12,1353.329956,12/12/12,1428.47998,,06/09/12,XLK,XLK
33,15/05/13,1658.780029,24/06/13,1573.089966,20/08/13,1652.349976,,15/05/13,XLU,XLY
34,26/12/13,1842.02002,03/02/14,1741.890015,02/04/14,1890.900024,,26/12/13,XLY,XLB
35,14/07/14,1977.099976,15/10/14,1862.48999,24/10/14,1964.579956,,14/07/14,XLE,XLE
36,19/05/15,2127.830078,21/08/15,1970.890015,23/10/15,2075.149902,,19/05/15,XLE,XLE
37,24/11/15,2089.139893,11/02/16,1829.079956,02/03/16,1986.449951,,24/11/15,XLE,XLE
38,06/06/16,2109.409912,27/06/16,2000.540039,08/09/16,2181.300049,,06/06/16,XLF,XLK
39,04/01/18,2723.98999,08/02/18,2581,10/05/18,2723.070068,,04/01/18,XLP,XLP
