"","XLP","XLY","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XLU"
"1",26.5,25.46875,23.265619,18.937855,25.0312,23.2812,20.828119,NA,32.046799,29.8281
"2",27.140619,25.578119,23.75,19.21706,25.5937,23.6875,21.046881,NA,32.8125,29.7031
"3",27.09375,26.046881,23.625,19.344028,25.75,24,21.53125,NA,32.6875,30.25
"4",26.9375,25.8125,23.5,19.09017,25.375,24.125,21.34375,NA,32.7812,30.0937
"5",27.53125,26.375,23.734381,19.293257,25.9375,24.4687,21.734381,NA,32.875,30.5937
"6",27.359381,26.15625,23.375,19.21706,25.7187,24.359301,21.671881,NA,32.75,30.3437
"7",27.15625,26.125,23.34375,19.039398,26,24.5625,21.921881,NA,32.625,30.234301
"8",26.9375,25.96875,23.328119,19.039398,25.9375,24.2187,21.65625,NA,33,29.75
"9",27.140619,26.40625,23.203119,19.21706,26.3437,24.7187,22.1875,NA,33.8437,30.109301
"10",27.46875,27.15625,23.96875,19.826321,26.7812,25.25,22.578119,NA,34.8437,30.421801
"11",27.15625,27.125,23.859381,20.130951,26.6562,25.0312,22.40625,NA,34.734299,30.3125
"12",27.046881,27.15625,23.96875,20.257921,26.984301,25.2187,23.171881,NA,34.875,30.484301
"13",26.5,27.015619,23.515619,19.953291,27.046801,24.984301,23.21875,NA,35.2187,29.671801
"14",26.296881,26.3125,23.15625,19.3948,26.9375,24.6875,22.625,NA,34.265598,29.6875
"15",26.34375,26.4375,22.8125,19.140942,26.6875,24.0625,22.125,NA,34.25,29.8906
"16",25.84375,25.84375,22.375,18.658569,26.4687,23.9531,21.75,NA,33.7812,29.3906
"17",26.125,26.171881,22.71875,19.191713,26.8281,24.359301,22.078119,NA,34.7812,29.5312
"18",25.828119,26.15625,22.71875,19.09017,27.5937,24.3125,21.671881,NA,35.984299,30.5312
"19",25.90625,26.59375,22.53125,19.229733,27.75,24.2031,21.59375,NA,36.3125,30.4062
"20",25.515619,26.34375,22.71875,18.887083,26.7812,24,21.5,NA,35.375,30.296801
"21",25.390619,26.46875,22.59375,18.760115,26.671801,23.5312,21.078119,NA,34.75,30.5
"22",25.328119,26.40625,22.5625,18.91243,26.8906,23.921801,21.5,NA,35.359299,29.359301
"23",25.921881,27.03125,22.34375,18.925102,27.0156,23.921801,21.4375,NA,36.7812,29.9375
"24",26.265619,27,21.9375,18.683996,26.75,24.109301,21.265619,NA,36,29.484301
"25",26.734381,27.28125,21.8125,18.963202,27.25,24.1406,21,NA,37.265598,29.5312
"26",26.796881,27.46875,21.8125,19.369375,27.25,24.296801,21.109381,NA,37.8125,29.484301
"27",26.6875,27.53125,21.59375,19.039398,27.4062,24.3281,21.28125,NA,37.8437,29.421801
"28",26.90625,27.1875,21.625,18.836311,27,24.1406,21.296881,NA,37.203098,29.0312
"29",26.8125,27.625,22.125,18.975874,27.5156,24.375,21.3125,NA,37.4687,29.1875
"30",26.6875,27.46875,22.25,18.531681,27.3125,24.4062,21.9375,NA,36.1875,28.75
"31",26.28125,26.78125,22.875,18.379366,27,24.3281,22.234381,NA,35.3125,28.7656
"32",26.234381,27.21875,23.1875,18.328594,26.984301,24.4062,22.125,NA,35.9062,28.7656
"33",25.765619,26.375,22.75,18.074736,26.5,24.0781,21.703119,NA,34.5,28.8906
"34",25.953119,26.375,22.8125,18.227051,26.5625,24.171801,21.75,NA,34.75,28.6875
"35",26.390619,27.234381,22.625,18.963202,27.2812,24.5,21.53125,NA,36.2187,28.8125
"36",26.171881,26.75,22.15625,18.683996,26.875,24.359301,21.421881,NA,34.7812,28.3437
"37",26.484381,27.09375,22,18.963202,27.125,24.484301,21.21875,NA,34.625,28.859301
"38",26.21875,27,21.78125,19.039398,26.8437,24.484301,21,NA,33.8437,28.6562
"39",26.5,27.03125,21.84375,19.229733,27.1875,24.484301,21.15625,NA,34.0312,29.171801
"40",26.390619,27.171881,21.71875,19.293257,27.2656,24.6406,21.328119,NA,34.3437,28.859301
"41",26.953119,27.859381,21.9375,19.851746,27.8437,25.0156,21.6875,NA,35.5625,29.796801
"42",26.90625,27.71875,21.75,20.105606,27.796801,25,21.5,NA,36.0312,28.859301
"43",26.75,27.375,21.65625,19.445572,27.4687,24.9375,21.4375,NA,35.0312,29.125
"44",26.4375,27.0625,21.765619,19.318604,27.2031,24.4375,21.4375,NA,35.125,28.5
"45",26.515619,27.296881,21.625,19.674006,27.2812,24.5156,21.4375,NA,34.0625,28.671801
"46",26.390619,27.3125,21.40625,19.750202,27.234301,24.5,21.1875,NA,33.9062,28.25
"47",26.3125,27.375,21.1875,19.800974,27.2187,24.296801,21,NA,33,27.8281
"48",26.3125,27.234381,21.65625,19.610561,27.046801,24.1562,20.859381,NA,33.5625,27.8437
"49",26.671881,27.8125,22.4375,20.054834,27.5312,24.625,20.921881,NA,33.9062,28.2812
"50",27.078119,28.65625,22.859381,20.562551,28.1562,25.171801,21.625,NA,34.6875,28.7656
"51",27.203119,28.78125,23.1875,20.422909,28.1875,25.3125,21.765619,NA,35.6875,28.4375
"52",27.234381,28.859381,22.9375,20.587896,27.9687,25.4375,21.578119,NA,35.3125,28.359301
"53",26.9375,28.78125,24.25,20.968725,28.2187,25.3906,21.875,NA,35.3125,28.2656
"54",27.203119,29.09375,24.59375,21.070269,28.4062,25.421801,22.109381,NA,35.25,28.484301
"55",27.4375,29.21875,24.5,21.108286,28.25,25.5,22.015619,NA,34.9375,28.796801
"56",27.671881,29.28125,24.3125,21.171812,28.3437,25.4375,22.0625,NA,35.5,28.875
"57",27.796881,29.125,24.1875,20.867182,28.2812,25.2656,21.96875,NA,36.109299,28.7656
"58",27.328119,29,24.8125,20.68944,28.125,25.2187,21.90625,NA,35.875,28.5
"59",27.796881,29.5,25.125,21.171812,28.5156,25.2812,22.375,NA,36.375,28.921801
"60",27.625,29.0625,24.78125,20.714867,28.3906,25.3437,22.328119,NA,35.5,28.2031
"61",27.609381,28.75,24.9375,20.765638,28.3125,25.1562,22.390619,NA,35.5,28.296801
"62",26.828119,27.875,24.5,20.054834,27.5312,24.5625,21.828119,NA,34.4687,27.4062
"63",26.8125,27.65625,24.375,20.004063,27.6562,24.5,21.84375,NA,35.140598,27.7812
"64",27.015619,28.5,24.4375,20.461008,28.125,24.7656,21.921881,NA,35.9687,27.6875
"65",26.921881,28.3125,24.75,20.283266,27.9062,24.8281,21.75,NA,35.7812,27.3281
"66",27.265619,29,25.4375,20.740211,28.25,25.234301,22.109381,NA,37.125,27.1875
"67",27.03125,29.03125,24.96875,20.499025,28.1562,25.2187,22.0625,NA,37.0625,26.75
"68",26.4375,28.59375,24.59375,20.257921,28,24.9375,21.75,NA,36.5937,26.6875
"69",26.484381,28.5625,24.5625,20.308693,28,25.2031,22,NA,37.171799,27.25
"70",26.625,28.9375,25.15625,20.714867,28.625,25.75,22.265619,NA,38.453098,27.4687
"71",26.328119,29.09375,24.90625,20.562551,28.6562,25.609301,21.875,NA,38.7812,27.3281
"72",26.296881,29.34375,24.65625,21.12104,29.2031,25.6562,22.109381,NA,38.6875,27.6875
"73",26.90625,30,24.90625,21.501787,29.5,25.796801,22.421881,NA,39.0625,28.421801
"74",26.96875,30.28125,25.375,21.451015,29.5937,25.8125,22.3125,NA,39,28.2187
"75",27.421881,30.53125,25.5625,21.831844,30.3437,26.4375,22.96875,NA,38.4062,28.625
