"","Date","Went.Most.Done","Went.Most.Up"
"1","12/04/99","XLP","XLK"
"2","16/11/99","XLP","XLB"
"3","11/07/00","XLK","XLK"
"4","18/01/01","XLK","XLK"
"5","27/07/01","XLK","XLK"
"6","11/02/02","XLK","XLK"
"7","20/08/02","XLU","XLU"
"8","21/03/03","XLK","XLF"
"9","10/02/04","XLK","XLB"
"10","04/02/05","XLY","XLB"
"11","09/09/05","XLE","XLE"
"12","21/03/06","XLK","XLE"
"13","02/02/07","XLF","XLE"
"14","04/09/07","XLF","XLF"
"15","08/04/08","XLF","XLF"
"16","14/10/08","XLF","XLF"
"17","08/05/09","XLF","XLF"
"18","14/12/09","XLU","XLB"
"19","25/06/10","XLF","XLB"
"20","08/02/11","XLK","XLV"
"21","17/08/11","XLB","XLE"
"22","27/02/12","XLE","XLE"
"23","06/09/12","XLK","XLK"
"24","15/05/13","XLU","XLY"
"25","26/12/13","XLY","XLB"
"26","14/07/14","XLE","XLE"
"27","19/05/15","XLE","XLE"
"28","24/11/15","XLE","XLE"
"29","06/06/16","XLF","XLK"
"30","04/01/18","XLP","XLP"
